X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109536E+02   0.500000E+01   0.215012E+01   0.373019E+02   0.180000E+02   0.230058E-02  -0.999900E+04  -0.999900E+04  -0.330192E+01  -0.999900E+04   0.182451E+01  -0.999900E+04  -0.999900E+04  -0.817631E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109492E+02   0.500000E+01   0.213346E+01   0.371146E+02   0.180000E+02   0.136399E-02  -0.999900E+04  -0.999900E+04  -0.311465E+01  -0.999900E+04   0.108173E+01  -0.999900E+04  -0.999900E+04  -0.388395E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109448E+02   0.500000E+01   0.211694E+01   0.369274E+02   0.180000E+02   0.695770E-03  -0.999900E+04  -0.999900E+04  -0.292737E+01  -0.999900E+04   0.551791E+00  -0.999900E+04  -0.999900E+04  -0.365042E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109404E+02   0.500000E+01   0.210059E+01   0.367401E+02   0.180000E+02  -0.646056E-03  -0.999900E+04  -0.999900E+04  -0.274010E+01  -0.999900E+04  -0.512364E+00  -0.999900E+04  -0.999900E+04  -0.341689E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109361E+02   0.500000E+01   0.208441E+01   0.365528E+02   0.180000E+02   0.156348E-03  -0.999900E+04  -0.999900E+04  -0.255282E+01  -0.999900E+04   0.123994E+00  -0.999900E+04  -0.999900E+04  -0.318336E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109318E+02   0.500000E+01   0.206840E+01   0.363655E+02   0.180000E+02  -0.528471E-03  -0.999900E+04  -0.999900E+04  -0.236555E+01  -0.999900E+04  -0.419112E+00  -0.999900E+04  -0.999900E+04  -0.294983E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109275E+02   0.500000E+01   0.205255E+01   0.361783E+02   0.180000E+02  -0.864745E-03  -0.999900E+04  -0.999900E+04  -0.217827E+01  -0.999900E+04  -0.685799E+00  -0.999900E+04  -0.999900E+04  -0.271630E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.109207E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109207E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109232E+02   0.500000E+01   0.203690E+01   0.359910E+02   0.180000E+02  -0.256315E-02  -0.999900E+04  -0.999900E+04  -0.199100E+01  -0.999900E+04  -0.203274E+01  -0.999900E+04  -0.999900E+04  -0.248277E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109190E+02   0.500000E+01   0.202142E+01   0.358037E+02   0.180000E+02  -0.269342E-02  -0.999900E+04  -0.999900E+04  -0.180372E+01  -0.999900E+04  -0.213605E+01  -0.999900E+04  -0.999900E+04  -0.224923E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109148E+02   0.500000E+01   0.200612E+01   0.356164E+02   0.180000E+02  -0.187538E-02  -0.999900E+04  -0.999900E+04  -0.161645E+01  -0.999900E+04  -0.148730E+01  -0.999900E+04  -0.999900E+04  -0.201570E+00  -0.999900E+04
