Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.351018E+02  -0.195093E+01  -0.668839E+00   0.304727E+02  -0.405121E+01  -0.374594E+01   0.192732E-03   0.918323E+01   0.886753E+01   0.213719E+01   0.141223E+02   0.903026E+02
   0.351018E+02  -0.194332E+01  -0.668839E+00   0.301153E+02  -0.362057E+01  -0.904156E+00   0.180273E-03   0.121567E+02   0.112317E+02   0.316719E-01   0.127062E+02   0.967959E+02
   0.350640E+02  -0.186759E+01  -0.757549E+00   0.301213E+02  -0.372844E+01  -0.169145E+01   0.399231E-03   0.905172E+01   0.927974E+01   0.659744E+00   0.128419E+02   0.981587E+02
   0.350548E+02  -0.185778E+01  -0.771445E+00   0.303582E+02  -0.372844E+01  -0.169145E+01   0.625990E-03   0.768710E+01   0.127027E+02   0.721203E+00   0.162359E+02   0.961465E+02
   0.350755E+02  -0.185778E+01  -0.851791E+00   0.305178E+02  -0.420681E+01  -0.192543E+01   0.670990E-03   0.863602E+01   0.113429E+02   0.154678E+01   0.165644E+02   0.946939E+02
   0.350441E+02  -0.186748E+01  -0.926022E+00   0.304387E+02  -0.383248E+01  -0.287470E+00   0.489300E-03   0.941261E+01   0.137077E+02   0.122093E-01   0.115394E+02   0.954953E+02
   0.350327E+02  -0.184100E+01  -0.740943E+00   0.303785E+02  -0.376452E+01  -0.287470E+00   0.253590E-03   0.920604E+01   0.119038E+02   0.245372E+00   0.111385E+02   0.966931E+02
   0.350551E+02  -0.181260E+01  -0.637119E+00   0.300469E+02  -0.397207E+01  -0.292886E+01   0.393366E-03   0.105366E+02   0.103932E+02   0.129537E+01   0.196804E+02   0.938125E+02
   0.350776E+02  -0.184620E+01  -0.831286E+00   0.299593E+02  -0.283483E+01  -0.159491E+01   0.512164E-03   0.104259E+02   0.106979E+02   0.179043E+00   0.196893E+02   0.955830E+02
   0.350776E+02  -0.186804E+01  -0.876066E+00   0.302383E+02  -0.400069E+01  -0.105871E+01   0.902209E-03   0.903631E+01   0.930853E+01   0.441316E+00   0.185837E+02   0.942412E+02
   0.350518E+02  -0.180341E+01  -0.852054E+00   0.301808E+02  -0.334500E+01  -0.245300E+01   0.342083E-03   0.930828E+01   0.756713E+01   0.441316E+00   0.201058E+02   0.961625E+02
   0.350518E+02  -0.187775E+01  -0.695817E+00   0.301101E+02  -0.282866E+01  -0.140255E+01   0.175295E-03   0.108036E+02   0.983587E+01   0.203845E+01   0.147073E+02   0.956762E+02
   0.350424E+02  -0.178699E+01  -0.626419E+00   0.301101E+02  -0.352130E+01  -0.140255E+01   0.843785E-05   0.116194E+02   0.112891E+02   0.804798E+00   0.209978E+02   0.925658E+02
   0.350330E+02  -0.183133E+01  -0.948374E+00   0.300758E+02  -0.271223E+01  -0.200023E+01   0.843785E-05   0.112314E+02   0.120454E+02   0.452248E+00   0.131974E+02   0.959596E+02
   0.350674E+02  -0.182376E+01  -0.835528E+00   0.300308E+02  -0.319326E+01  -0.223588E+01   0.317579E-03   0.692148E+01   0.114168E+02   0.418012E+00   0.143246E+02   0.964266E+02
   0.350638E+02  -0.191142E+01  -0.850422E+00   0.300186E+02  -0.282443E+01  -0.782277E+00   0.232667E-03   0.116999E+02   0.140656E+02   0.210113E+01   0.163434E+02   0.923763E+02
   0.350638E+02  -0.177963E+01  -0.724622E+00   0.301540E+02  -0.337793E+01  -0.139737E+01   0.926532E-03   0.188966E+02   0.117360E+02   0.745184E+00   0.149341E+02   0.863950E+02
   0.350236E+02  -0.174364E+01  -0.125645E+01   0.304006E+02  -0.328378E+01  -0.157832E+01   0.693553E-04   0.778058E+01   0.140076E+02   0.620665E+00   0.180069E+02   0.907188E+02
   0.350251E+02  -0.177244E+01  -0.933394E+00   0.304854E+02  -0.316197E+01  -0.332639E+00   0.296406E-03   0.114076E+02   0.107913E+02   0.187201E+01   0.171478E+02   0.910387E+02
   0.350506E+02  -0.182309E+01  -0.622705E+00   0.298573E+02  -0.352475E+01  -0.289009E+01   0.473624E-03   0.110690E+02   0.821624E+01   0.526671E-01   0.176583E+02   0.947090E+02
   0.350506E+02  -0.186614E+01  -0.746985E+00   0.298573E+02  -0.214811E+01  -0.401790E+01   0.733606E-05   0.938373E+01   0.105355E+02   0.238538E+01   0.167837E+02   0.925087E+02
   0.350924E+02  -0.191772E+01  -0.562143E+00   0.299013E+02  -0.313752E+01  -0.312539E+01   0.316534E-03   0.930885E+01   0.897290E+01   0.469198E+00   0.169958E+02   0.962870E+02
   0.350604E+02  -0.193684E+01  -0.498683E+00   0.301421E+02  -0.325585E+01  -0.101016E+01   0.331981E-03   0.105748E+02   0.994178E+01   0.104672E+01   0.149681E+02   0.961877E+02
