Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.350585E+02  -0.194890E+01  -0.971233E+00   0.101039E+00   0.303352E+02  -0.242939E+01  -0.121366E+01  -0.909799E+00   0.616699E-03   0.840739E+01   0.123560E+02   0.414852E+00   0.159092E+02   0.215300E+03  -0.631756E+01   0.000000E+00   0.221618E+03  -0.443235E+03
   0.349924E+02  -0.170504E+01  -0.119427E+01   0.469028E+00   0.303352E+02  -0.313668E+01  -0.906326E+00  -0.133899E+00   0.836449E-03   0.111304E+02   0.113442E+02   0.188693E+00   0.213242E+02   0.212087E+03  -0.771590E+01   0.000000E+00   0.219803E+03  -0.439606E+03
   0.350191E+02  -0.182254E+01  -0.100735E+01   0.846392E-01   0.302316E+02  -0.263376E+01  -0.109378E+01  -0.419479E+00   0.600752E-03   0.109372E+02   0.108985E+02   0.162034E+00   0.121207E+02   0.219546E+03  -0.596490E+01   0.000000E+00   0.225511E+03  -0.451022E+03
   0.350106E+02  -0.186696E+01  -0.866526E+00  -0.320265E-01   0.301986E+02  -0.292411E+01  -0.520741E+00  -0.602108E+00   0.679368E-03   0.116493E+02   0.105161E+02   0.468540E+00   0.167693E+02   0.214496E+03  -0.603458E+01   0.000000E+00   0.220531E+03  -0.441061E+03
   0.350565E+02  -0.196007E+01  -0.671248E+00  -0.180104E+00   0.301986E+02  -0.287983E+01  -0.220490E+01  -0.506108E+00   0.207114E-03   0.113199E+02   0.806879E+01   0.396611E+00   0.163215E+02   0.213000E+03  -0.609236E+01   0.000000E+00   0.219092E+03  -0.438185E+03
   0.350889E+02  -0.196007E+01  -0.545520E+00   0.296737E+00   0.304146E+02  -0.401553E+01  -0.203623E+01   0.551162E+00   0.109709E-03   0.109767E+02   0.144950E+02   0.809550E+00   0.132611E+02   0.209985E+03  -0.760379E+01   0.000000E+00   0.217589E+03  -0.435178E+03
   0.350889E+02  -0.205332E+01  -0.646263E+00   0.138864E+00   0.302624E+02  -0.283543E+01  -0.121782E+01   0.217712E+01   0.694780E-03   0.111710E+02   0.944224E+01   0.101762E+01   0.143607E+02   0.213424E+03  -0.546968E+01   0.000000E+00   0.218894E+03  -0.437787E+03
   0.351105E+02  -0.199353E+01  -0.646263E+00  -0.270072E+00   0.298645E+02  -0.283543E+01  -0.142105E+01   0.151953E+01   0.937217E-04   0.111228E+02   0.908461E+01   0.804421E+00   0.151647E+02   0.215076E+03  -0.552129E+01   0.000000E+00   0.220597E+03  -0.441195E+03
   0.350670E+02  -0.193160E+01  -0.547573E+00  -0.204072E+00   0.298645E+02  -0.297967E+01  -0.143615E+01   0.628752E+00   0.211144E-03   0.101753E+02   0.582772E+01   0.132015E+01   0.164811E+02   0.210214E+03  -0.857237E+01   0.000000E+00   0.218786E+03  -0.437573E+03
   0.351078E+02  -0.200199E+01  -0.572165E+00  -0.108892E+00   0.302193E+02  -0.367673E+01  -0.768221E+00   0.108961E+01   0.300445E-03   0.821574E+01   0.105768E+02   0.845980E+00   0.124911E+02   0.216742E+03  -0.585913E+01   0.000000E+00   0.222601E+03  -0.445202E+03
   0.351078E+02  -0.199335E+01  -0.639992E+00   0.107055E+00   0.300752E+02  -0.337744E+01  -0.128957E+01   0.144048E+01   0.486895E-03   0.117146E+02   0.968726E+01   0.594449E+00   0.192877E+02   0.216200E+03  -0.673541E+01   0.000000E+00   0.222935E+03  -0.445871E+03
   0.351078E+02  -0.199335E+01  -0.948833E+00   0.107055E+00   0.302156E+02  -0.310767E+01  -0.498285E+00   0.131566E+01   0.332047E-03   0.989629E+01   0.109500E+02   0.561620E+00   0.139818E+02   0.215192E+03  -0.541784E+01   0.000000E+00   0.220610E+03  -0.441220E+03
