Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_TR_a0    Kmin_TR_a1    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.509862E+03
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.551768E-03  0.939983E+01  0.891986E+01  0.150824E+02  0.149992E+02 -0.479800E+03
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.112245E-02  0.101368E+02  0.881923E+01  0.162258E+02  0.174708E+02 -0.191113E+03
  0.340000E+02  0.000000E+00  0.280424E+02  0.000000E+00  0.112245E-02  0.910907E+01  0.912580E+01  0.156934E+02  0.166749E+02 -0.190025E+03
  0.340000E+02  0.000000E+00  0.280424E+02 -0.264056E+00  0.182754E-02  0.935461E+01  0.852192E+01  0.145459E+02  0.164261E+02 -0.515699E+01
  0.340000E+02  0.000000E+00  0.280424E+02 -0.264056E+00  0.182754E-02  0.900180E+01  0.857049E+01  0.145459E+02  0.146036E+02 -0.497275E+01
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.182754E-02  0.102220E+02  0.841077E+01  0.127754E+02  0.156584E+02 -0.372240E+01
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.418763E-02  0.105914E+02  0.976827E+01  0.127754E+02  0.170740E+02  0.126425E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.418763E-02  0.100102E+02  0.841206E+01  0.108588E+02  0.175634E+02  0.125356E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.485137E-02  0.112594E+02  0.880892E+01  0.108588E+02  0.170485E+02  0.131454E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.663490E-02  0.112594E+02  0.856123E+01  0.122982E+02  0.183760E+02  0.135831E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.663490E-02  0.107267E+02  0.916187E+01  0.142365E+02  0.166779E+02  0.136916E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.667961E-02  0.116961E+02  0.871965E+01  0.156451E+02  0.157431E+02  0.136558E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.667961E-02  0.113673E+02  0.772082E+01  0.137179E+02  0.157431E+02  0.136262E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.718146E-02  0.110044E+02  0.772082E+01  0.136133E+02  0.142017E+02  0.136133E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.718146E-02  0.102496E+02  0.772082E+01  0.142728E+02  0.135065E+02  0.137708E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.636004E-02  0.110094E+02  0.772082E+01  0.153886E+02  0.137317E+02  0.138217E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.725900E-02  0.119726E+02  0.772082E+01  0.153886E+02  0.140760E+02  0.137038E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.692014E-02  0.119967E+02  0.847754E+01  0.154712E+02  0.140760E+02  0.137375E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.619575E-02  0.122009E+02  0.799326E+01  0.150731E+02  0.143768E+02  0.137385E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.619575E-02  0.122009E+02  0.916843E+01  0.150731E+02  0.126736E+02  0.137575E+03
  0.340000E+02  0.000000E+00  0.287037E+02 -0.581457E+01  0.636774E-02  0.125991E+02  0.985652E+01  0.150731E+02  0.138300E+02  0.137684E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.581457E+01  0.636774E-02  0.125991E+02  0.108562E+02  0.160662E+02  0.128415E+02  0.138491E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.361578E+01  0.636774E-02  0.125668E+02  0.111013E+02  0.163745E+02  0.107152E+02  0.137089E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.583579E-02  0.122996E+02  0.115835E+02  0.165553E+02  0.105765E+02  0.137378E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.584564E-02  0.122996E+02  0.117612E+02  0.141218E+02  0.121433E+02  0.138375E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.584564E-02  0.123103E+02  0.109963E+02  0.141218E+02  0.142964E+02  0.139018E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.584564E-02  0.123103E+02  0.104858E+02  0.129841E+02  0.122998E+02  0.138707E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.662095E-02  0.102997E+02  0.104859E+02  0.136121E+02  0.122998E+02  0.139318E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.627784E-02  0.999559E+01  0.972947E+01  0.135612E+02  0.122998E+02  0.139674E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.626968E-02  0.915482E+01  0.100298E+02  0.115871E+02  0.130398E+02  0.139286E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.626968E-02  0.947351E+01  0.100298E+02  0.115871E+02  0.145111E+02  0.139437E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.715784E-02  0.943604E+01  0.895798E+01  0.115871E+02  0.141260E+02  0.138485E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.715784E-02  0.963559E+01  0.895798E+01  0.130227E+02  0.152696E+02  0.138919E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.586893E-02  0.963559E+01  0.864099E+01  0.144272E+02  0.137068E+02  0.139861E+03
  0.339868E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.586893E-02  0.106245E+02  0.864099E+01  0.150804E+02  0.137068E+02  0.139336E+03
  0.339868E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.585780E-02  0.104383E+02  0.923996E+01  0.150130E+02  0.129030E+02  0.139374E+03
  0.339868E+02  0.000000E+00  0.292086E+02 -0.356796E+01  0.662391E-02  0.996288E+01  0.101671E+02  0.160593E+02  0.126941E+02  0.138712E+03
  0.339868E+02  0.000000E+00  0.292086E+02 -0.356796E+01  0.662391E-02  0.949442E+01  0.106238E+02  0.174229E+02  0.126941E+02  0.138337E+03
  0.339868E+02  0.000000E+00  0.292086E+02 -0.562848E+01  0.662391E-02  0.105596E+02  0.109038E+02  0.168820E+02  0.116410E+02  0.138270E+03
  0.339868E+02  0.000000E+00  0.292086E+02 -0.562848E+01  0.662391E-02  0.954196E+01  0.993566E+01  0.160010E+02  0.125709E+02  0.139079E+03
  0.339868E+02  0.000000E+00  0.306460E+02 -0.562848E+01  0.868729E-02  0.854845E+01  0.993566E+01  0.180488E+02  0.135086E+02  0.134262E+03
  0.339868E+02  0.000000E+00  0.306460E+02 -0.562848E+01  0.868729E-02  0.834988E+01  0.101535E+02  0.178082E+02  0.135086E+02  0.134236E+03
  0.339868E+02  0.000000E+00  0.306460E+02 -0.562848E+01  0.868729E-02  0.768407E+01  0.101535E+02  0.178476E+02  0.114498E+02  0.133237E+03
  0.339868E+02  0.000000E+00  0.306460E+02 -0.562848E+01  0.885436E-02  0.880937E+01  0.113988E+02  0.178476E+02  0.132300E+02  0.133639E+03
  0.339868E+02  0.000000E+00  0.306460E+02 -0.562848E+01  0.892955E-02  0.869019E+01  0.113988E+02  0.168021E+02  0.132300E+02  0.133714E+03
  0.339868E+02  0.000000E+00  0.305121E+02 -0.562848E+01  0.802593E-02  0.984054E+01  0.100534E+02  0.176817E+02  0.142810E+02  0.136163E+03
  0.339868E+02 -0.176056E+00  0.305121E+02 -0.562848E+01  0.836282E-02  0.103958E+02  0.113190E+02  0.177346E+02  0.146243E+02  0.135449E+03
  0.339868E+02 -0.176056E+00  0.300621E+02 -0.562848E+01  0.761528E-02  0.103958E+02  0.113190E+02  0.192043E+02  0.150617E+02  0.136763E+03
  0.339868E+02 -0.176056E+00  0.297896E+02 -0.343313E+01  0.761528E-02  0.905568E+01  0.112010E+02  0.175041E+02  0.142588E+02  0.136883E+03
  0.339868E+02 -0.176056E+00  0.297896E+02  0.813230E-01  0.706927E-02  0.978814E+01  0.122561E+02  0.175219E+02  0.138038E+02  0.134576E+03
