Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.350337E+02  -0.183286E+01  -0.850421E+00   0.304019E+02  -0.355505E+01  -0.983406E+00   0.339099E-03   0.122993E+02   0.866240E+01   0.161856E+02   0.214068E+02   0.212700E+03
   0.350337E+02  -0.181899E+01  -0.855663E+00   0.305184E+02  -0.342195E+01  -0.851528E+00   0.459008E-03   0.125369E+02   0.111886E+02   0.152162E+02   0.185648E+02   0.210859E+03
   0.350067E+02  -0.170157E+01  -0.820954E+00   0.302336E+02  -0.417722E+01  -0.365981E+00   0.814894E-04   0.921370E+01   0.111765E+02   0.116795E+02   0.130939E+02   0.212771E+03
   0.350067E+02  -0.173427E+01  -0.835761E+00   0.303525E+02  -0.411870E+01  -0.236125E+01   0.530855E-03   0.833268E+01   0.132715E+02   0.110834E+02   0.135712E+02   0.211415E+03
   0.350067E+02  -0.170910E+01  -0.860234E+00   0.301026E+02  -0.324377E+01  -0.164853E+01   0.281754E-03   0.846415E+01   0.120248E+02   0.117191E+02   0.962259E+01   0.210639E+03
   0.350067E+02  -0.173604E+01  -0.777333E+00   0.301026E+02  -0.343400E+01  -0.247538E+01   0.184306E-03   0.832787E+01   0.101451E+02   0.166214E+02   0.112054E+02   0.213114E+03
   0.350067E+02  -0.178318E+01  -0.777333E+00   0.301294E+02  -0.343400E+01   0.153561E+00   0.743900E-03   0.785770E+01   0.108041E+02   0.121252E+02   0.164551E+02   0.210546E+03
   0.349876E+02  -0.172498E+01  -0.753449E+00   0.301982E+02  -0.395979E+01  -0.129804E+01   0.712725E-03   0.718829E+01   0.101506E+02   0.147110E+02   0.162756E+02   0.211813E+03
   0.349923E+02  -0.178330E+01  -0.669982E+00   0.300913E+02  -0.325043E+01  -0.118977E+01   0.480226E-03   0.131584E+02   0.931980E+01   0.108509E+02   0.190855E+02   0.209347E+03
   0.350376E+02  -0.176279E+01  -0.844677E+00   0.304104E+02  -0.405904E+01  -0.127791E+01   0.357254E-03   0.132350E+02   0.775756E+01   0.139957E+02   0.134745E+02   0.213232E+03
   0.350537E+02  -0.176280E+01  -0.844677E+00   0.304104E+02  -0.434484E+01  -0.115832E+01   0.395265E-03   0.849284E+01   0.983860E+01   0.133331E+02   0.103876E+02   0.213074E+03
   0.350272E+02  -0.174505E+01  -0.873964E+00   0.305753E+02  -0.486991E+01   0.125488E+01   0.481666E-03   0.102892E+02   0.104112E+02   0.149849E+02   0.158009E+02   0.213185E+03
   0.349932E+02  -0.175297E+01  -0.102622E+01   0.305753E+02  -0.387930E+01   0.478959E+00   0.449712E-03   0.109725E+02   0.111752E+02   0.151841E+02   0.237670E+02   0.209372E+03
   0.351070E+02  -0.191905E+01  -0.688239E+00   0.305260E+02  -0.441680E+01  -0.118280E+01   0.304373E-03   0.874279E+01   0.117625E+02   0.141477E+02   0.142771E+02   0.213287E+03
   0.351070E+02  -0.200372E+01  -0.587413E+00   0.301634E+02  -0.428146E+01  -0.109179E+01   0.400314E-03   0.938639E+01   0.116494E+02   0.170296E+02   0.179964E+02   0.211444E+03
   0.351276E+02  -0.201985E+01  -0.734435E+00   0.301634E+02  -0.393166E+01  -0.285593E+01   0.585943E-03   0.687825E+01   0.881680E+01   0.163134E+02   0.765136E+01   0.201895E+03
   0.351427E+02  -0.201985E+01  -0.521540E+00   0.301148E+02  -0.348129E+01  -0.217907E+01   0.330871E-03   0.116964E+02   0.114342E+02   0.153999E+02   0.143547E+02   0.211863E+03
