Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.350532E+02  -0.183375E+01  -0.702284E+00   0.280469E+00   0.303348E+02  -0.375223E+01  -0.135969E+01  -0.416740E+00   0.147366E-03   0.115108E+02   0.985200E+01   0.197618E+02   0.105369E+02   0.218448E+03  -0.100671E+02   0.000000E+00   0.228515E+03  -0.457030E+03
   0.350532E+02  -0.183375E+01  -0.903224E+00   0.374118E+00   0.303546E+02  -0.357822E+01  -0.126555E+01   0.400741E+01   0.631854E-04   0.113435E+02   0.839065E+01   0.177775E+02   0.133905E+02   0.222149E+03  -0.837154E+01   0.000000E+00   0.230521E+03  -0.461041E+03
   0.350558E+02  -0.180082E+01  -0.911199E+00   0.136003E+00   0.303182E+02  -0.442874E+01   0.534302E+00   0.281297E+00   0.316667E-04   0.946392E+01   0.123341E+02   0.204900E+02   0.186786E+02   0.217073E+03  -0.103505E+02   0.000000E+00   0.227423E+03  -0.454847E+03
   0.350753E+02  -0.180082E+01  -0.733768E+00  -0.588019E-01   0.302851E+02  -0.442874E+01   0.534302E+00  -0.127105E+01   0.453587E-03   0.127214E+02   0.998897E+01   0.132755E+02   0.151253E+02   0.216596E+03  -0.829659E+01   0.000000E+00   0.224893E+03  -0.449785E+03
   0.350652E+02  -0.184605E+01  -0.751382E+00  -0.588019E-01   0.307075E+02  -0.535893E+01  -0.414462E+00  -0.127105E+01   0.544099E-03   0.993581E+01   0.853944E+01   0.143385E+02   0.935558E+01   0.217870E+03  -0.970104E+01   0.000000E+00   0.227571E+03  -0.455142E+03
   0.350880E+02  -0.200877E+01  -0.749922E+00  -0.516573E+00   0.308011E+02  -0.529420E+01   0.138218E+01  -0.931612E+00   0.106878E-02   0.106251E+02   0.714116E+01   0.127823E+02   0.173554E+02   0.212639E+03  -0.901806E+01   0.000000E+00   0.221657E+03  -0.443314E+03
   0.351054E+02  -0.197107E+01  -0.431125E+00  -0.277139E+00   0.310493E+02  -0.676247E+01   0.138218E+01  -0.156168E+01   0.740376E-03   0.802406E+01   0.910053E+01   0.189099E+02   0.994869E+01   0.213707E+03  -0.102609E+02   0.000000E+00   0.223968E+03  -0.447936E+03
   0.351111E+02  -0.199839E+01  -0.464552E+00  -0.277139E+00   0.312816E+02  -0.725748E+01   0.245427E+01  -0.156168E+01   0.529693E-03   0.836735E+01   0.876299E+01   0.175774E+02   0.228028E+02   0.212503E+03  -0.106485E+02   0.000000E+00   0.223152E+03  -0.446303E+03
   0.350876E+02  -0.200517E+01  -0.464552E+00  -0.277139E+00   0.312816E+02  -0.725748E+01   0.270266E+01  -0.167908E+01   0.965361E-03   0.896973E+01   0.114102E+02   0.186452E+02   0.206719E+02   0.212153E+03  -0.100634E+02   0.000000E+00   0.222216E+03  -0.444433E+03
   0.350713E+02  -0.185299E+01  -0.578222E+00  -0.277139E+00   0.313155E+02  -0.705259E+01   0.270266E+01  -0.508074E+01   0.104908E-02   0.872508E+01   0.811966E+01   0.152094E+02   0.168433E+02   0.213175E+03  -0.798953E+01   0.000000E+00   0.221165E+03  -0.442329E+03
