Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_MC_Up_a4  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.351038E+02  -0.200166E+01  -0.362988E+00  -0.399777E+00   0.520561E+00   0.298814E+02  -0.282939E+01  -0.100850E+01   0.351924E+01   0.107939E+01   0.432064E-03   0.115912E+02   0.886483E+01   0.185374E+02   0.135534E+02   0.218599E+03
   0.351088E+02  -0.200166E+01  -0.533868E+00  -0.692569E-01   0.426506E+00   0.300974E+02  -0.315713E+01  -0.209037E+01   0.350965E+01  -0.171941E+01   0.344834E-03   0.766175E+01   0.849093E+01   0.114322E+02   0.151118E+02   0.222000E+03
   0.351360E+02  -0.201611E+01  -0.533868E+00  -0.384411E+00   0.452525E+00   0.302572E+02  -0.327633E+01  -0.328711E+01   0.129907E+01  -0.149832E+01   0.380117E-03   0.113208E+02   0.115625E+02   0.149659E+02   0.165376E+02   0.219840E+03
   0.351001E+02  -0.193679E+01  -0.587954E+00  -0.122902E+00   0.644592E+00   0.301085E+02  -0.327633E+01  -0.285974E+01   0.253261E+01  -0.207916E+01   0.271575E-03   0.819940E+01   0.115151E+02   0.149659E+02   0.119715E+02   0.220234E+03
   0.350868E+02  -0.191375E+01  -0.587954E+00  -0.157106E+00   0.224707E+00   0.299872E+02  -0.304967E+01  -0.383002E+01   0.413220E+01   0.145851E+01   0.290330E-03   0.980939E+01   0.839635E+01   0.166060E+02   0.155816E+02   0.221305E+03
   0.350868E+02  -0.192216E+01  -0.535039E+00  -0.206982E+00   0.103877E+00   0.301499E+02  -0.367298E+01  -0.428051E+01   0.475882E+01  -0.143335E+01   0.542729E-03   0.705099E+01   0.114837E+02   0.180552E+02   0.146029E+02   0.217498E+03
   0.350868E+02  -0.193284E+01  -0.539836E+00   0.161283E+00   0.332235E+00   0.301230E+02  -0.323322E+01  -0.826959E+00   0.115829E+01  -0.951397E-01   0.318156E-03   0.173566E+02   0.128760E+02   0.155378E+02   0.145441E+02   0.216020E+03
   0.350994E+02  -0.193284E+01  -0.750643E+00  -0.106351E+00   0.332235E+00   0.304448E+02  -0.324187E+01  -0.532719E-01   0.138886E+01  -0.537635E+01   0.497670E-03   0.860413E+01   0.111687E+02   0.114792E+02   0.180509E+02   0.216228E+03
   0.350851E+02  -0.196468E+01  -0.709142E+00   0.427225E+00   0.264917E+00   0.304448E+02  -0.345033E+01   0.612241E+00   0.266521E+01   0.128275E+01   0.675774E-03   0.108243E+02   0.107177E+02   0.236932E+02   0.147179E+02   0.216860E+03
   0.350970E+02  -0.202752E+01  -0.636332E+00  -0.115466E+00   0.244810E+00   0.304905E+02  -0.335174E+01  -0.588661E+00   0.390654E+01   0.414113E+01   0.481223E-03   0.957339E+01   0.858312E+01   0.139992E+02   0.132097E+02   0.222001E+03
   0.350753E+02  -0.191021E+01  -0.681849E+00  -0.115466E+00   0.558347E+00   0.304905E+02  -0.360650E+01  -0.242146E+01   0.306916E+01   0.237839E+01   0.425831E-06   0.727539E+01   0.810871E+01   0.185205E+02   0.155067E+02   0.218894E+03
   0.350787E+02  -0.203053E+01  -0.561851E+00  -0.115466E+00   0.558347E+00   0.304905E+02  -0.279649E+01   0.865308E+00   0.264703E+01   0.567889E+01   0.647482E-03   0.116628E+02   0.927178E+01   0.125848E+02   0.164047E+02   0.218461E+03
   0.351233E+02  -0.204857E+01  -0.667559E+00  -0.228418E+00   0.689796E+00   0.304905E+02  -0.322736E+01  -0.157050E+01   0.198679E+00   0.207237E+00   0.771748E-04   0.942862E+01   0.122165E+02   0.987937E+01   0.109222E+02   0.217067E+03
   0.351419E+02  -0.211600E+01  -0.386924E+00  -0.722950E+00   0.870194E+00   0.303352E+02  -0.322736E+01  -0.196291E+01   0.181645E+01   0.278277E+01   0.585389E-03   0.822714E+01   0.123318E+02   0.153080E+02   0.137079E+02   0.218910E+03
   0.351662E+02  -0.221215E+01  -0.354324E+00  -0.541372E+00   0.441170E+00   0.303352E+02  -0.334455E+01  -0.249211E-01   0.259962E+01   0.270275E+01   0.490778E-03   0.880106E+01   0.982403E+01   0.126178E+02   0.101333E+02   0.219631E+03
   0.351662E+02  -0.213332E+01  -0.602013E+00  -0.381760E+00   0.610874E+00   0.303352E+02  -0.263741E+01  -0.251975E+01   0.510778E+01  -0.425898E+01   0.101838E-03   0.971086E+01   0.141651E+02   0.105284E+02   0.162494E+02   0.217274E+03
   0.351662E+02  -0.216931E+01  -0.290833E+00  -0.125110E+00   0.982503E+00   0.303367E+02  -0.251490E+01  -0.175326E+01   0.168050E+01  -0.426707E+00   0.617798E-03   0.862763E+01   0.901420E+01   0.132561E+02   0.166556E+02   0.218064E+03
   0.351541E+02  -0.216931E+01   0.428942E-01  -0.863473E+00   0.937282E+00   0.300916E+02  -0.346124E+01  -0.133785E+01   0.168050E+01   0.296826E+01   0.617798E-03   0.114428E+02   0.743253E+01   0.153147E+02   0.211990E+02   0.213537E+03
   0.351428E+02  -0.218122E+01   0.390581E-01  -0.975820E+00   0.764772E+00   0.304687E+02  -0.408567E+01  -0.133785E+01   0.141982E+01   0.299596E+01   0.340303E-03   0.867980E+01   0.983460E+01   0.146363E+02   0.955739E+01   0.212582E+03
   0.351358E+02  -0.215732E+01  -0.360837E-02  -0.847726E+00   0.927393E+00   0.304251E+02  -0.441362E+01   0.231500E-01   0.141982E+01   0.264686E+01   0.291013E-05   0.118513E+02   0.767750E+01   0.152083E+02   0.162253E+02   0.213892E+03
   0.352489E+02  -0.240205E+01  -0.163335E+00  -0.475334E+00   0.238634E+00   0.305685E+02  -0.483252E+01   0.231500E-01  -0.275846E+01   0.610830E+00   0.412292E-03   0.976342E+01   0.135795E+02   0.168598E+02   0.129417E+02   0.209099E+03
   0.352260E+02  -0.235012E+01  -0.374130E-02  -0.148941E+01   0.755340E+00   0.306437E+02  -0.461541E+01  -0.384276E+00  -0.275846E+01   0.342927E+01   0.991701E-03   0.131223E+02   0.105560E+02   0.146261E+02   0.182932E+02   0.210141E+03
   0.352229E+02  -0.235012E+01  -0.138765E+00  -0.154464E+01   0.511374E+00   0.307743E+02  -0.455632E+01   0.154401E+01  -0.921460E+00   0.415873E+01   0.991701E-03   0.119724E+02   0.721250E+01   0.186933E+02   0.120779E+02   0.208577E+03
   0.351621E+02  -0.225084E+01   0.513221E-01  -0.828586E+00   0.496466E+00   0.307610E+02  -0.542456E+01   0.120255E+01   0.156107E+01   0.320117E+01   0.222479E-03   0.109218E+02   0.153939E+02   0.168777E+02   0.129409E+02   0.211158E+03
   0.351901E+02  -0.233741E+01  -0.146366E+00  -0.894698E+00   0.100646E+01   0.310923E+02  -0.502338E+01   0.234942E+01  -0.631945E+00   0.476394E+01   0.337216E-03   0.103578E+02   0.151434E+02   0.161951E+02   0.126211E+02   0.213670E+03
   0.352010E+02  -0.227273E+01  -0.395019E+00  -0.735405E+00   0.370207E+00   0.309456E+02  -0.458781E+01   0.156544E+01   0.120149E+01   0.282633E+01   0.451292E-03   0.119014E+02   0.116350E+02   0.132210E+02   0.138449E+02   0.217123E+03
   0.351359E+02  -0.223969E+01  -0.395019E+00  -0.470421E+00   0.370207E+00   0.309032E+02  -0.410111E+01   0.156544E+01   0.109147E+01   0.584130E+00   0.869212E-04   0.112227E+02   0.126366E+02   0.164979E+02   0.178477E+02   0.214435E+03
   0.352155E+02  -0.224171E+01  -0.568650E+00  -0.780986E+00   0.102986E+01   0.306694E+02  -0.281082E+01   0.968637E+00   0.120053E+01   0.358009E+01   0.112105E-02   0.968939E+01   0.112510E+02   0.110469E+02   0.129625E+02   0.213803E+03
   0.352036E+02  -0.221105E+01  -0.715847E+00  -0.298653E+00   0.984865E+00   0.307033E+02  -0.187121E+01   0.405634E+00   0.677232E+01  -0.949355E+00   0.295216E-03   0.936257E+01   0.855428E+01   0.135247E+02   0.151506E+02   0.215511E+03
   0.352381E+02  -0.230019E+01  -0.575759E+00  -0.638522E+00   0.133572E+01   0.306625E+02  -0.187121E+01  -0.518993E+00   0.687958E+01   0.142422E-01   0.288934E-03   0.109403E+02   0.963083E+01   0.173341E+02   0.128227E+02   0.214467E+03
