a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        
   0.100148E+03   0.392877E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.640353E-03   0.456397E-03   0.128565E-02   0.170016E-03   0.567981E-03   0.209554E+03
   0.100148E+03   0.392877E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.640353E-03   0.456397E-03   0.128565E-02   0.170016E-03   0.567981E-03   0.209554E+03
   0.100497E+03   0.392877E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.640353E-03   0.456397E-03   0.128565E-02   0.170016E-03   0.567981E-03   0.209281E+03
   0.100497E+03   0.392877E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.640353E-03   0.456397E-03   0.128565E-02   0.170016E-03   0.567981E-03   0.209281E+03
   0.100497E+03   0.582378E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.640353E-03   0.456397E-03   0.128565E-02   0.170016E-03   0.567981E-03   0.209104E+03
   0.992174E+02   0.582378E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.960783E-03   0.456397E-03   0.128565E-02   0.170016E-03   0.567981E-03   0.208456E+03
   0.992174E+02   0.582378E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.148122E-02   0.267092E-02   0.128565E-02   0.170016E-03   0.567981E-03   0.204458E+03
   0.992174E+02   0.262674E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.148122E-02   0.734858E-02   0.128565E-02   0.861901E-04   0.567981E-03   0.200745E+03
   0.992174E+02   0.262674E-03   0.473980E-03   0.615267E-03   0.123488E-02   0.148122E-02   0.889017E-02   0.128565E-02   0.861901E-04   0.759761E-03   0.199582E+03
   0.992174E+02   0.262674E-03   0.212434E-02   0.615267E-03   0.123488E-02   0.148122E-02   0.539949E-02   0.128565E-02   0.861901E-04   0.759761E-03   0.198361E+03
   0.100959E+03   0.593807E-04   0.205141E-02   0.544821E-03   0.147286E-02   0.148122E-02   0.107013E-01   0.766492E-03   0.861901E-04   0.195424E-02   0.193433E+03
   0.100959E+03   0.593807E-04   0.205141E-02   0.699477E-03   0.147286E-02   0.148122E-02   0.107013E-01   0.766492E-03   0.861901E-04   0.195424E-02   0.193447E+03
   0.100959E+03   0.593807E-04   0.103918E-02   0.699477E-03   0.147286E-02   0.148122E-02   0.128285E-01   0.766492E-03   0.861901E-04   0.195424E-02   0.194724E+03
   0.993828E+02   0.543305E-03   0.100980E-02   0.699477E-03   0.100950E-02   0.148122E-02   0.119744E-01   0.766492E-03   0.861901E-04   0.180537E-02   0.196480E+03
   0.993828E+02   0.543305E-03   0.100980E-02   0.699477E-03   0.100950E-02   0.169940E-02   0.573484E-02   0.569166E-03   0.861901E-04   0.185399E-02   0.199235E+03
   0.988708E+02   0.543305E-03   0.100980E-02   0.699477E-03   0.117673E-02   0.169940E-02   0.306969E-02   0.569166E-03   0.861901E-04   0.185399E-02   0.200640E+03
   0.988708E+02   0.330144E-03   0.100980E-02   0.699477E-03   0.117673E-02   0.169940E-02   0.306969E-02   0.569166E-03   0.933193E-03   0.185399E-02   0.199470E+03
   0.988708E+02   0.330144E-03   0.100980E-02   0.711612E-03   0.117673E-02   0.169940E-02   0.306969E-02   0.569166E-03   0.933193E-03   0.277019E-02   0.198027E+03
   0.995342E+02   0.330144E-03   0.196016E-02   0.342362E-03   0.161202E-02   0.169940E-02   0.306969E-02   0.569166E-03   0.933193E-03   0.152005E-02   0.198434E+03
   0.995342E+02   0.330144E-03   0.196016E-02   0.342362E-03   0.161202E-02   0.231614E-02   0.472626E-02   0.569166E-03   0.933193E-03   0.108272E-02   0.196800E+03
   0.995342E+02   0.330144E-03   0.102618E-03   0.544261E-03   0.217152E-02   0.231614E-02   0.472626E-02   0.569166E-03   0.933193E-03   0.100469E-02   0.199099E+03
   0.995342E+02   0.330144E-03   0.102618E-03   0.544261E-03   0.217152E-02   0.231614E-02   0.854409E-02   0.569166E-03   0.933193E-03   0.557428E-04   0.198032E+03
   0.995342E+02   0.330144E-03   0.102618E-03   0.544261E-03   0.132348E-03   0.231614E-02   0.701533E-03   0.569166E-03   0.797270E-03   0.557428E-04   0.206737E+03
   0.995342E+02   0.330144E-03   0.422111E-03   0.544261E-03   0.132348E-03   0.231614E-02   0.701533E-03   0.569166E-03   0.363163E-03   0.557428E-04   0.207701E+03
   0.995342E+02   0.330144E-03   0.422111E-03   0.544261E-03   0.481622E-03   0.231614E-02   0.701533E-03   0.569166E-03   0.363163E-03   0.557428E-04   0.208826E+03
   0.995342E+02   0.209734E-03   0.422111E-03   0.544261E-03   0.481622E-03   0.231614E-02   0.701533E-03   0.569166E-03   0.363163E-03   0.557428E-04   0.208757E+03
   0.995342E+02   0.209734E-03   0.219378E-03   0.725158E-03   0.481622E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.363163E-03   0.557428E-04   0.211303E+03
   0.993862E+02   0.209734E-03   0.219378E-03   0.694573E-03   0.133628E-02   0.366332E-03   0.701533E-03   0.569166E-03   0.363163E-03   0.754454E-03   0.209824E+03
   0.993862E+02   0.209734E-03   0.219378E-03   0.694573E-03   0.796886E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.363163E-03   0.754454E-03   0.210529E+03
   0.989498E+02   0.209734E-03   0.219378E-03   0.694573E-03   0.796886E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.677687E-03   0.754454E-03   0.208857E+03
   0.996454E+02   0.209734E-03   0.219378E-03   0.694573E-03   0.796886E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.677687E-03   0.754454E-03   0.210381E+03
   0.996454E+02   0.222300E-03   0.440153E-03   0.694573E-03   0.796886E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.677687E-03   0.754454E-03   0.210393E+03
   0.996454E+02   0.248300E-03   0.440153E-03   0.694573E-03   0.878545E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.677687E-03   0.727911E-03   0.210399E+03
   0.996454E+02   0.248300E-03   0.620258E-03   0.694573E-03   0.878545E-03   0.366332E-03   0.701533E-03   0.569166E-03   0.890354E-03   0.727911E-03   0.209653E+03
   0.996454E+02   0.248300E-03   0.620258E-03   0.505103E-03   0.878545E-03   0.136743E-02   0.697278E-03   0.569166E-03   0.890354E-03   0.727911E-03   0.208569E+03
   0.996454E+02   0.248300E-03   0.620258E-03   0.505103E-03   0.116232E-02   0.136743E-02   0.697278E-03   0.569166E-03   0.222584E-02   0.727911E-03   0.205471E+03
   0.996454E+02   0.248300E-03   0.437985E-03   0.505103E-03   0.116232E-02   0.136743E-02   0.697278E-03   0.712289E-03   0.222584E-02   0.105847E-02   0.204710E+03
   0.996454E+02   0.248300E-03   0.437985E-03   0.505103E-03   0.116232E-02   0.136743E-02   0.697278E-03   0.712289E-03   0.222584E-02   0.105847E-02   0.204710E+03
   0.996454E+02   0.248300E-03   0.437985E-03   0.505103E-03   0.116232E-02   0.101947E-02   0.697278E-03   0.976337E-03   0.197367E-03   0.105847E-02   0.208717E+03
   0.996454E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.404645E-03   0.697278E-03   0.976337E-03   0.197367E-03   0.105847E-02   0.209005E+03
   0.996454E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.404645E-03   0.697278E-03   0.976337E-03   0.197367E-03   0.105847E-02   0.209005E+03
   0.996454E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.375807E-03   0.697278E-03   0.410407E-03   0.197367E-03   0.702417E-03   0.210741E+03
   0.996454E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.375807E-03   0.808674E-04   0.347051E-03   0.197367E-03   0.702417E-03   0.209538E+03
   0.996454E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.375807E-03   0.165090E-03   0.347051E-03   0.197367E-03   0.544170E-03   0.210122E+03
   0.995635E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.375807E-03   0.291293E-03   0.347051E-03   0.197367E-03   0.544170E-03   0.210521E+03
   0.995635E+02   0.248300E-03   0.668873E-03   0.505103E-03   0.116232E-02   0.375807E-03   0.291293E-03   0.123512E-03   0.197367E-03   0.535334E-03   0.210472E+03
   0.995635E+02   0.248300E-03   0.234639E-02   0.505103E-03   0.116232E-02   0.375807E-03   0.560043E-03   0.714388E-03   0.197367E-03   0.296776E-03   0.207551E+03
   0.995635E+02   0.248300E-03   0.234639E-02   0.505103E-03   0.116232E-02   0.375807E-03   0.560043E-03   0.714388E-03   0.197367E-03   0.296776E-03   0.207551E+03
   0.995635E+02   0.248300E-03   0.234639E-02   0.505103E-03   0.116232E-02   0.375807E-03   0.997458E-03   0.714388E-03   0.197367E-03   0.588084E-03   0.206783E+03
   0.995635E+02   0.248300E-03   0.157681E-02   0.505103E-03   0.102272E-02   0.375807E-03   0.997458E-03   0.714388E-03   0.197367E-03   0.588084E-03   0.208329E+03
   0.995635E+02   0.248300E-03   0.157681E-02   0.609773E-03   0.645023E-03   0.375807E-03   0.997458E-03   0.101336E-02   0.197367E-03   0.435904E-03   0.208217E+03
   0.995635E+02   0.434505E-03   0.157681E-02   0.609773E-03   0.645023E-03   0.375807E-03   0.179763E-02   0.101336E-02   0.197367E-03   0.435904E-03   0.206801E+03
   0.995635E+02   0.452183E-03   0.922637E-03   0.157817E-03   0.476036E-03   0.375807E-03   0.655686E-03   0.491547E-03   0.879644E-03   0.435904E-03   0.209239E+03
   0.995635E+02   0.457597E-03   0.922637E-03   0.157817E-03   0.476036E-03   0.375807E-03   0.655686E-03   0.491547E-03   0.879644E-03   0.435904E-03   0.209234E+03
   0.995635E+02   0.457597E-03   0.922637E-03   0.157817E-03   0.217533E-02   0.375807E-03   0.655686E-03   0.491547E-03   0.879644E-03   0.435904E-03   0.207279E+03
   0.995635E+02   0.457597E-03   0.104850E-02   0.157817E-03   0.545823E-02   0.375807E-03   0.655686E-03   0.491547E-03   0.977453E-03   0.435904E-03   0.203448E+03
   0.100753E+03   0.457597E-03   0.104850E-02   0.676851E-04   0.114835E-01   0.375807E-03   0.655686E-03   0.374498E-03   0.977453E-03   0.435904E-03   0.199518E+03
   0.992771E+02   0.457597E-03   0.757496E-05   0.676851E-04   0.487107E-02   0.375807E-03   0.655686E-03   0.374498E-03   0.977453E-03   0.435904E-03   0.204491E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.676851E-04   0.255207E-02   0.375807E-03   0.655686E-03   0.374498E-03   0.977453E-03   0.435904E-03   0.205961E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.676851E-04   0.255207E-02   0.375807E-03   0.655686E-03   0.468694E-03   0.977453E-03   0.435904E-03   0.205905E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.676851E-04   0.360768E-02   0.375807E-03   0.655686E-03   0.468694E-03   0.977453E-03   0.435904E-03   0.204689E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.676851E-04   0.295032E-02   0.375807E-03   0.722083E-03   0.862937E-03   0.977453E-03   0.268649E-03   0.204881E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.276056E-03   0.295032E-02   0.885207E-03   0.722083E-03   0.862937E-03   0.105395E-02   0.268649E-03   0.204845E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.276056E-03   0.300670E-02   0.885207E-03   0.722083E-03   0.862937E-03   0.105395E-02   0.268649E-03   0.204779E+03
   0.992771E+02   0.108993E-03   0.950156E-03   0.276056E-03   0.300670E-02   0.885207E-03   0.727199E-03   0.862937E-03   0.645140E-03   0.268649E-03   0.205730E+03
   0.989656E+02   0.108993E-03   0.285494E-03   0.452385E-03   0.912305E-02   0.885207E-03   0.727199E-03   0.862937E-03   0.645140E-03   0.268649E-03   0.202075E+03
   0.991208E+02   0.723585E-03   0.285494E-03   0.452385E-03   0.100810E-01   0.885207E-03   0.727199E-03   0.862937E-03   0.645140E-03   0.268649E-03   0.201795E+03
   0.991208E+02   0.819323E-03   0.285494E-03   0.452385E-03   0.603112E-02   0.885207E-03   0.727199E-03   0.862937E-03   0.645140E-03   0.590457E-03   0.203231E+03
   0.991208E+02   0.819323E-03   0.285494E-03   0.452385E-03   0.603112E-02   0.885207E-03   0.727199E-03   0.862937E-03   0.645140E-03   0.590457E-03   0.203231E+03
   0.991208E+02   0.522867E-03   0.285494E-03   0.452385E-03   0.243685E-02   0.885207E-03   0.727199E-03   0.206667E-02   0.645140E-03   0.590457E-03   0.204783E+03
   0.991208E+02   0.564426E-03   0.285494E-03   0.452385E-03   0.243685E-02   0.885207E-03   0.727199E-03   0.114259E-02   0.645140E-03   0.590457E-03   0.206419E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.452385E-03   0.106359E-02   0.731731E-03   0.727199E-03   0.114259E-02   0.645140E-03   0.731627E-03   0.208196E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.452385E-03   0.106359E-02   0.805838E-03   0.727199E-03   0.114259E-02   0.645140E-03   0.731627E-03   0.208113E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.452385E-03   0.106359E-02   0.805838E-03   0.727199E-03   0.119770E-03   0.645140E-03   0.731627E-03   0.209220E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.129498E-02   0.106359E-02   0.805838E-03   0.727199E-03   0.673512E-03   0.645140E-03   0.731627E-03   0.207643E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.129498E-02   0.106359E-02   0.805838E-03   0.727199E-03   0.673512E-03   0.645140E-03   0.387462E-03   0.208265E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.129498E-02   0.129166E-02   0.805838E-03   0.127298E-02   0.673512E-03   0.645140E-03   0.387462E-03   0.207077E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.129498E-02   0.129166E-02   0.805838E-03   0.127298E-02   0.673512E-03   0.645140E-03   0.387462E-03   0.207077E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.129498E-02   0.129166E-02   0.805838E-03   0.127298E-02   0.673512E-03   0.645140E-03   0.387462E-03   0.207077E+03
   0.991208E+02   0.665055E-03   0.285494E-03   0.129498E-02   0.972550E-03   0.507507E-03   0.127298E-02   0.673512E-03   0.645140E-03   0.387462E-03   0.207708E+03
   0.991208E+02   0.665055E-03   0.423985E-03   0.129498E-02   0.972550E-03   0.507507E-03   0.127298E-02   0.673512E-03   0.645140E-03   0.387462E-03   0.207713E+03
   0.991208E+02   0.665055E-03   0.423985E-03   0.129498E-02   0.972550E-03   0.507507E-03   0.127298E-02   0.673512E-03   0.928447E-03   0.387462E-03   0.207060E+03
   0.991208E+02   0.665055E-03   0.423985E-03   0.129498E-02   0.972550E-03   0.507507E-03   0.127298E-02   0.673512E-03   0.928447E-03   0.387462E-03   0.207060E+03
   0.991208E+02   0.130784E-02   0.423985E-03   0.129498E-02   0.972550E-03   0.507507E-03   0.127298E-02   0.673512E-03   0.928447E-03   0.387462E-03   0.205724E+03
   0.991208E+02   0.902718E-04   0.423985E-03   0.270985E-03   0.972550E-03   0.619029E-03   0.127298E-02   0.376603E-03   0.613398E-03   0.387462E-03   0.209292E+03
   0.991208E+02   0.902718E-04   0.423985E-03   0.270985E-03   0.972550E-03   0.619029E-03   0.127298E-02   0.376603E-03   0.613398E-03   0.387462E-03   0.209292E+03
   0.991208E+02   0.902718E-04   0.423985E-03   0.270985E-03   0.972550E-03   0.723064E-03   0.576241E-03   0.376603E-03   0.613398E-03   0.428211E-03   0.210099E+03
   0.991208E+02   0.902718E-04   0.423985E-03   0.270985E-03   0.124274E-02   0.723064E-03   0.576241E-03   0.665849E-03   0.123810E-03   0.428211E-03   0.209969E+03
   0.100321E+03   0.902718E-04   0.423985E-03   0.270985E-03   0.124274E-02   0.243637E-03   0.576241E-03   0.665849E-03   0.123810E-03   0.428211E-03   0.210482E+03
   0.997617E+02   0.902718E-04   0.423985E-03   0.270985E-03   0.826028E-03   0.243637E-03   0.576241E-03   0.665849E-03   0.123810E-03   0.428211E-03   0.211250E+03
   0.997617E+02   0.902718E-04   0.423985E-03   0.144411E-02   0.826028E-03   0.936029E-03   0.576241E-03   0.294110E-03   0.123810E-03   0.428211E-03   0.209991E+03
   0.997617E+02   0.902718E-04   0.223115E-03   0.105930E-02   0.826028E-03   0.105028E-02   0.137315E-02   0.294110E-03   0.123810E-03   0.428211E-03   0.209483E+03
   0.997617E+02   0.902718E-04   0.223115E-03   0.105930E-02   0.826028E-03   0.161978E-03   0.147012E-02   0.294110E-03   0.123810E-03   0.428211E-03   0.209704E+03
   0.997617E+02   0.902718E-04   0.223115E-03   0.134338E-02   0.826028E-03   0.161978E-03   0.113257E-02   0.294110E-03   0.123810E-03   0.428211E-03   0.209742E+03
   0.997617E+02   0.902718E-04   0.218209E-03   0.134338E-02   0.826028E-03   0.161978E-03   0.392774E-03   0.294110E-03   0.123810E-03   0.428211E-03   0.210140E+03
   0.997617E+02   0.902718E-04   0.218209E-03   0.309706E-03   0.656409E-03   0.829036E-03   0.392774E-03   0.294110E-03   0.593281E-03   0.428211E-03   0.210891E+03
   0.100480E+03   0.902718E-04   0.218209E-03   0.309706E-03   0.649999E-03   0.829036E-03   0.105494E-02   0.294110E-03   0.374165E-03   0.428211E-03   0.210657E+03
   0.100480E+03   0.902718E-04   0.218209E-03   0.309706E-03   0.649999E-03   0.829036E-03   0.105494E-02   0.294110E-03   0.452376E-03   0.428211E-03   0.210552E+03
   0.100480E+03   0.902718E-04   0.218209E-03   0.977535E-03   0.649999E-03   0.829036E-03   0.105494E-02   0.152249E-02   0.452376E-03   0.428211E-03   0.208284E+03
   0.100480E+03   0.902718E-04   0.463991E-03   0.977535E-03   0.649999E-03   0.829036E-03   0.105494E-02   0.152249E-02   0.452376E-03   0.428211E-03   0.208305E+03
   0.100480E+03   0.902718E-04   0.463991E-03   0.258301E-02   0.197110E-02   0.829036E-03   0.105494E-02   0.152249E-02   0.452376E-03   0.428211E-03   0.203659E+03
   0.100480E+03   0.902718E-04   0.463991E-03   0.226678E-02   0.197110E-02   0.190864E-02   0.105494E-02   0.314398E-02   0.250776E-03   0.428211E-03   0.199781E+03
