               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.969370E+02  -0.915253E+01   0.421392E-04   0.253984E-04   0.178861E-04   0.217409E-04   0.275658E-04   0.433848E-04   0.326070E-04   0.554416E-05   0.253725E-04
Maximum           0.102507E+03   0.879185E+01   0.809183E-02   0.714316E-02   0.372500E-02   0.587928E-02   0.483088E-02   0.529073E-02   0.572904E-02   0.300227E-02   0.468401E-02
Range             0.557000E+01   0.179444E+02   0.804969E-02   0.711776E-02   0.370711E-02   0.585754E-02   0.480331E-02   0.524735E-02   0.569643E-02   0.299673E-02   0.465864E-02
Mean              0.999943E+02   0.137062E+01   0.794395E-03   0.824485E-03   0.749254E-03   0.109744E-02   0.808525E-03   0.110997E-02   0.835319E-03   0.702906E-03   0.556418E-03
Median            0.100061E+03   0.108426E+01   0.519981E-03   0.657321E-03   0.676246E-03   0.921309E-03   0.636851E-03   0.871846E-03   0.639753E-03   0.521238E-03   0.320985E-03
Q10%              0.991127E+02  -0.138400E+01   0.257194E-03   0.155538E-03   0.212111E-03   0.449813E-03   0.190738E-03   0.397224E-03   0.195370E-03   0.147698E-03   0.133290E-03
Q25%              0.994867E+02  -0.212092E+00   0.376349E-03   0.370438E-03   0.384070E-03   0.687405E-03   0.473430E-03   0.581871E-03   0.319473E-03   0.358941E-03   0.197687E-03
Q75%              0.100318E+03   0.321688E+01   0.994210E-03   0.102595E-02   0.112302E-02   0.120328E-02   0.113494E-02   0.141415E-02   0.107908E-02   0.940721E-03   0.759289E-03
Q90%              0.101052E+03   0.530404E+01   0.151079E-02   0.169750E-02   0.133474E-02   0.200943E-02   0.146491E-02   0.196001E-02   0.172373E-02   0.144445E-02   0.113046E-02
St.Dev.           0.800932E+00   0.272932E+01   0.772485E-03   0.677931E-03   0.492149E-03   0.746841E-03   0.614343E-03   0.796350E-03   0.785851E-03   0.570311E-03   0.585244E-03
Variance          0.641493E+00   0.744917E+01   0.596733E-06   0.459591E-06   0.242211E-06   0.557772E-06   0.377418E-06   0.634174E-06   0.617562E-06   0.325255E-06   0.342511E-06
CV                0.800978E-02   0.199130E+01   0.972418E+00   0.822248E+00   0.656852E+00   0.680529E+00   0.759833E+00   0.717451E+00   0.940780E+00   0.811362E+00   0.105181E+01
Skewness         -0.132944E+00  -0.848970E-01   0.373423E+01   0.303604E+01   0.114989E+01   0.254927E+01   0.238838E+01   0.195710E+01   0.256145E+01   0.161607E+01   0.294909E+01
Kurtosis          0.192260E+01   0.610120E+00   0.247694E+02   0.202044E+02   0.311942E+01   0.989277E+01   0.107490E+02   0.510888E+01   0.937686E+01   0.286474E+01   0.125451E+02
MaxPost           0.997222E+02   0.255616E+01   0.607144E-03   0.654064E-03   0.237700E-03   0.610697E-03   0.393966E-03   0.845247E-03   0.241606E-03   0.485570E-03   0.671142E-03
