a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.204644E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.202696E+03
  0.100000E+03  0.000000E+00 -0.688615E+01  0.100000E-02  0.100000E-02  0.755724E-03  0.100000E-02  0.176793E-02  0.100000E-02  0.140658E-02  0.100000E-02  0.106237E-02  0.202295E+03
  0.100000E+03  0.000000E+00 -0.688615E+01  0.100000E-02  0.100000E-02  0.517113E-03  0.100000E-02  0.176793E-02  0.100000E-02  0.140658E-02  0.834965E-03  0.106237E-02  0.202738E+03
  0.100000E+03  0.000000E+00 -0.688615E+01  0.170787E-03  0.100000E-02  0.517113E-03  0.100000E-02  0.176793E-02  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.206026E+03
  0.100000E+03  0.000000E+00 -0.720378E+01  0.170787E-03  0.442936E-03  0.517113E-03  0.100000E-02  0.176793E-02  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.207157E+03
  0.100000E+03  0.000000E+00 -0.720378E+01  0.170787E-03  0.442936E-03  0.517113E-03  0.100000E-02  0.176793E-02  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.207157E+03
  0.100000E+03  0.000000E+00 -0.109029E+02  0.170787E-03  0.442936E-03  0.517113E-03  0.100000E-02  0.176793E-02  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.206748E+03
  0.100000E+03  0.000000E+00 -0.512315E+01  0.170787E-03  0.442936E-03  0.250143E-02  0.100000E-02  0.176793E-02  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.204131E+03
  0.100000E+03  0.000000E+00 -0.496533E+01  0.170787E-03  0.442936E-03  0.250143E-02  0.100000E-02  0.176793E-02  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.204122E+03
  0.100000E+03  0.000000E+00 -0.496533E+01  0.170787E-03  0.442936E-03  0.250143E-02  0.100000E-02  0.511508E-03  0.886075E-03  0.140658E-02  0.834965E-03  0.906394E-04  0.206250E+03
