               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.980132E+02  -0.565269E+01  -0.182449E+02   0.240205E-04   0.248769E-05   0.116381E-04   0.100825E-03   0.265598E-04   0.625906E-04   0.940192E-05   0.209233E-05   0.189498E-04
Maximum           0.102493E+03   0.103834E+02   0.180496E+02   0.417375E-02   0.694563E-02   0.493011E-02   0.475512E-02   0.889318E-02   0.629471E-02   0.486227E-02   0.562938E-02   0.400763E-02
Range             0.447980E+01   0.160361E+02   0.362945E+02   0.414973E-02   0.694314E-02   0.491847E-02   0.465430E-02   0.886662E-02   0.623212E-02   0.485287E-02   0.562729E-02   0.398868E-02
Mean              0.100155E+03   0.207600E+01  -0.149922E+01   0.733421E-03   0.678973E-03   0.868363E-03   0.109275E-02   0.100172E-02   0.111480E-02   0.851585E-03   0.807734E-03   0.627463E-03
Median            0.100167E+03   0.218424E+01  -0.176936E+01   0.661931E-03   0.505992E-03   0.742524E-03   0.971236E-03   0.572023E-03   0.858492E-03   0.702159E-03   0.619411E-03   0.470022E-03
Q10%              0.992484E+02  -0.144841E+01  -0.938194E+01   0.159809E-03   0.587219E-04   0.209525E-03   0.432151E-03   0.225066E-03   0.356773E-03   0.196713E-03   0.935916E-04   0.121322E-03
Q25%              0.996182E+02   0.594944E+00  -0.564663E+01   0.389863E-03   0.254592E-03   0.363033E-03   0.749380E-03   0.359339E-03   0.620598E-03   0.312893E-03   0.280888E-03   0.238331E-03
Q75%              0.100542E+03   0.338946E+01   0.274713E+01   0.825760E-03   0.772970E-03   0.101105E-02   0.126511E-02   0.118857E-02   0.128370E-02   0.109575E-02   0.102309E-02   0.813810E-03
Q90%              0.101309E+03   0.540674E+01   0.591368E+01   0.129155E-02   0.134871E-02   0.198313E-02   0.194292E-02   0.226924E-02   0.194153E-02   0.172397E-02   0.161891E-02   0.150072E-02
St.Dev.           0.851515E+00   0.268706E+01   0.612107E+01   0.589180E-03   0.809875E-03   0.700471E-03   0.658329E-03   0.119050E-02   0.881030E-03   0.714758E-03   0.803832E-03   0.594866E-03
Variance          0.725078E+00   0.722027E+01   0.374675E+02   0.347133E-06   0.655897E-06   0.490659E-06   0.433398E-06   0.141730E-05   0.776214E-06   0.510880E-06   0.646146E-06   0.353866E-06
CV                0.850199E-02   0.129434E+01   0.408284E+01   0.803331E+00   0.119279E+01   0.806657E+00   0.602453E+00   0.118846E+01   0.790301E+00   0.839328E+00   0.995169E+00   0.948050E+00
Skewness          0.341154E+00   0.205273E+00   0.134024E+00   0.226769E+01   0.378752E+01   0.178065E+01   0.190778E+01   0.352416E+01   0.279985E+01   0.204343E+01   0.301991E+01   0.194390E+01
Kurtosis          0.901991E+00   0.612435E+00   0.941121E-01   0.690470E+01   0.204075E+02   0.433631E+01   0.537659E+01   0.162828E+02   0.103070E+02   0.628400E+01   0.139675E+02   0.495240E+01
MaxPost           0.100278E+03   0.664776E+00  -0.245816E+01   0.891139E-03   0.186583E-03   0.925135E-03   0.853182E-03   0.312586E-03   0.765435E-03   0.484813E-03   0.112311E-03   0.390447E-03
