a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101309E+03   0.218424E+01  -0.158761E+02   0.240205E-04   0.503645E-03   0.742524E-03   0.206677E-02   0.103554E-02   0.969173E-03   0.244041E-03   0.475894E-03   0.189498E-04   0.206554E+03   0.000000E+00   0.000000E+00   0.206554E+03  -0.413108E+03
   0.101309E+03   0.218424E+01  -0.466919E+01   0.240205E-04   0.503645E-03   0.742524E-03   0.206677E-02   0.103554E-02   0.969173E-03   0.244041E-03   0.475894E-03   0.189498E-04   0.207456E+03   0.000000E+00   0.000000E+00   0.207456E+03  -0.414912E+03
   0.989305E+02   0.218424E+01  -0.876330E+01   0.240205E-04   0.503645E-03   0.742524E-03   0.144530E-02   0.103554E-02   0.969173E-03   0.110665E-02   0.401893E-03   0.189498E-04   0.207042E+03   0.000000E+00   0.000000E+00   0.207042E+03  -0.414084E+03
   0.997875E+02   0.218424E+01  -0.876330E+01   0.110016E-02   0.503645E-03   0.742524E-03   0.488425E-03   0.103554E-02   0.128370E-02   0.110665E-02   0.401893E-03   0.189498E-04   0.207903E+03   0.000000E+00   0.000000E+00   0.207903E+03  -0.415806E+03
   0.997875E+02   0.218424E+01  -0.876330E+01   0.110016E-02   0.503645E-03   0.742524E-03   0.488425E-03   0.103554E-02   0.128370E-02   0.149308E-02   0.401893E-03   0.189498E-04   0.207107E+03   0.000000E+00   0.000000E+00   0.207107E+03  -0.414214E+03
   0.998101E+02   0.218424E+01  -0.590597E+01   0.132093E-02   0.503645E-03   0.742524E-03   0.488425E-03   0.103554E-02   0.128370E-02   0.149308E-02   0.401893E-03   0.189498E-04   0.206894E+03   0.000000E+00   0.000000E+00   0.206894E+03  -0.413788E+03
   0.998101E+02   0.218424E+01  -0.590597E+01   0.132093E-02   0.470876E-03   0.742524E-03   0.514425E-03   0.103554E-02   0.128370E-02   0.149308E-02   0.401893E-03   0.189498E-04   0.206988E+03   0.000000E+00   0.000000E+00   0.206988E+03  -0.413976E+03
   0.998101E+02   0.577387E+01  -0.116580E+02   0.132093E-02   0.470876E-03   0.742524E-03   0.514425E-03   0.103554E-02   0.128370E-02   0.149308E-02   0.614561E-03   0.189498E-04   0.204914E+03   0.000000E+00   0.000000E+00   0.204914E+03  -0.409828E+03
   0.994691E+02   0.874161E+01  -0.116580E+02   0.417375E-02   0.470876E-03   0.742524E-03   0.798202E-03   0.103554E-02   0.128370E-02   0.149308E-02   0.614561E-03   0.189498E-04   0.199787E+03   0.000000E+00   0.000000E+00   0.199787E+03  -0.399574E+03
   0.994691E+02   0.560660E+01  -0.116580E+02   0.163340E-02   0.470876E-03   0.919219E-03   0.798202E-03   0.144364E-02   0.128370E-02   0.149308E-02   0.148082E-03   0.189498E-04   0.204165E+03   0.000000E+00   0.000000E+00   0.204165E+03  -0.408330E+03
   0.994691E+02   0.197891E+01  -0.182449E+02   0.163340E-02   0.164409E-03   0.919219E-03   0.798202E-03   0.144364E-02   0.128370E-02   0.149308E-02   0.148082E-03   0.189498E-04   0.202569E+03   0.000000E+00   0.000000E+00   0.202569E+03  -0.405138E+03
   0.987955E+02   0.253210E+01  -0.899865E+01   0.723013E-04   0.164409E-03   0.919219E-03   0.798202E-03   0.144364E-02   0.128370E-02   0.172397E-02   0.148082E-03   0.189498E-04   0.204470E+03   0.000000E+00   0.000000E+00   0.204470E+03  -0.408940E+03
   0.987955E+02   0.209879E+01  -0.899865E+01   0.723013E-04   0.164409E-03   0.919219E-03   0.798202E-03   0.144364E-02   0.128370E-02   0.172397E-02   0.148082E-03   0.189498E-04   0.204734E+03   0.000000E+00   0.000000E+00   0.204734E+03  -0.409468E+03
   0.100013E+03   0.209879E+01  -0.906209E+01   0.723013E-04   0.164409E-03   0.919219E-03   0.798202E-03   0.144364E-02   0.888085E-03   0.172397E-02   0.148082E-03   0.189498E-04   0.207662E+03   0.000000E+00   0.000000E+00   0.207662E+03  -0.415324E+03
   0.100013E+03   0.209879E+01  -0.142250E+02   0.723013E-04   0.861912E-04   0.919219E-03   0.798202E-03   0.144364E-02   0.888085E-03   0.172397E-02   0.148082E-03   0.189498E-04   0.206001E+03   0.000000E+00   0.000000E+00   0.206001E+03  -0.412002E+03
   0.100013E+03   0.200783E+01  -0.772459E+01   0.723013E-04   0.861912E-04   0.919219E-03   0.798202E-03   0.144364E-02   0.888085E-03   0.180819E-02   0.148082E-03   0.189498E-04   0.207681E+03   0.000000E+00   0.000000E+00   0.207681E+03  -0.415362E+03
   0.100013E+03   0.200783E+01  -0.772459E+01   0.723013E-04   0.861912E-04   0.967417E-03   0.788383E-03   0.144364E-02   0.888085E-03   0.180819E-02   0.148082E-03   0.189498E-04   0.207599E+03   0.000000E+00   0.000000E+00   0.207599E+03  -0.415198E+03
   0.100448E+03   0.200783E+01  -0.833173E+01   0.723013E-04   0.431776E-02   0.967417E-03   0.788383E-03   0.144364E-02   0.110818E-02   0.180819E-02   0.804610E-03   0.189498E-04   0.200164E+03   0.000000E+00   0.000000E+00   0.200164E+03  -0.400328E+03
   0.999710E+02   0.200783E+01  -0.801250E+01   0.723013E-04   0.694563E-02   0.967417E-03   0.788383E-03   0.144364E-02   0.110818E-02   0.180819E-02   0.804610E-03   0.189498E-04   0.198376E+03   0.000000E+00   0.000000E+00   0.198376E+03  -0.396752E+03
   0.999710E+02   0.200783E+01  -0.629785E+01   0.724114E-03   0.694563E-02   0.967417E-03   0.493677E-03   0.144364E-02   0.110818E-02   0.180819E-02   0.804610E-03   0.189498E-04   0.197951E+03   0.000000E+00   0.000000E+00   0.197951E+03  -0.395902E+03
   0.986301E+02   0.200783E+01  -0.663910E+01   0.724114E-03   0.284012E-02   0.327658E-03   0.493677E-03   0.182747E-03   0.110818E-02   0.180819E-02   0.804610E-03   0.123619E-03   0.202896E+03   0.000000E+00   0.000000E+00   0.202896E+03  -0.405792E+03
   0.992281E+02   0.808826E+00  -0.613335E+01   0.724114E-03   0.284012E-02   0.327658E-03   0.493677E-03   0.982919E-03   0.110818E-02   0.180819E-02   0.804610E-03   0.123619E-03   0.202877E+03   0.000000E+00   0.000000E+00   0.202877E+03  -0.405754E+03
   0.992281E+02   0.808826E+00  -0.927616E+00   0.724114E-03   0.284012E-02   0.327658E-03   0.493677E-03   0.982919E-03   0.110818E-02   0.181488E-02   0.824252E-03   0.123619E-03   0.202486E+03   0.000000E+00   0.000000E+00   0.202486E+03  -0.404972E+03
   0.992281E+02   0.808826E+00  -0.927616E+00   0.724114E-03   0.284012E-02   0.327658E-03   0.124705E-02   0.479169E-03   0.110818E-02   0.181488E-02   0.824252E-03   0.123619E-03   0.202539E+03   0.000000E+00   0.000000E+00   0.202539E+03  -0.405078E+03
   0.994320E+02   0.808826E+00  -0.927616E+00   0.724114E-03   0.241288E-02   0.327658E-03   0.764635E-03   0.479169E-03   0.110818E-02   0.181488E-02   0.824252E-03   0.123619E-03   0.203895E+03   0.000000E+00   0.000000E+00   0.203895E+03  -0.407790E+03
   0.994320E+02   0.658631E+01  -0.560328E+01   0.724114E-03   0.241288E-02   0.216383E-03   0.764635E-03   0.479169E-03   0.110818E-02   0.181488E-02   0.824252E-03   0.123619E-03   0.203041E+03   0.000000E+00   0.000000E+00   0.203041E+03  -0.406082E+03
   0.994320E+02   0.483489E+01  -0.560328E+01   0.724114E-03   0.115030E-02   0.216383E-03   0.764635E-03   0.479169E-03   0.110818E-02   0.181488E-02   0.861854E-04   0.123619E-03   0.206847E+03   0.000000E+00   0.000000E+00   0.206847E+03  -0.413694E+03
   0.994320E+02   0.483489E+01  -0.560328E+01   0.724114E-03   0.115030E-02   0.216383E-03   0.764635E-03   0.479169E-03   0.318103E-02   0.181488E-02   0.861854E-04   0.123619E-03   0.203937E+03   0.000000E+00   0.000000E+00   0.203937E+03  -0.407874E+03
   0.994320E+02   0.483489E+01  -0.560328E+01   0.853328E-03   0.115030E-02   0.216383E-03   0.764635E-03   0.479169E-03   0.318103E-02   0.181488E-02   0.619411E-03   0.245332E-04   0.203401E+03   0.000000E+00   0.000000E+00   0.203401E+03  -0.406802E+03
   0.994320E+02   0.269243E+01  -0.962861E+01   0.119415E-02   0.115030E-02   0.216383E-03   0.125135E-02   0.479169E-03   0.299519E-02   0.109575E-02   0.619411E-03   0.256057E-03   0.203581E+03   0.000000E+00   0.000000E+00   0.203581E+03  -0.407162E+03
   0.994320E+02   0.269243E+01  -0.112153E+02   0.119415E-02   0.124474E-02   0.216383E-03   0.125135E-02   0.479169E-03   0.727122E-04   0.109575E-02   0.619411E-03   0.256057E-03   0.202606E+03   0.000000E+00   0.000000E+00   0.202606E+03  -0.405212E+03
   0.994320E+02   0.269243E+01  -0.112153E+02   0.119415E-02   0.124474E-02   0.216383E-03   0.125135E-02   0.484286E-03   0.955673E-03   0.109575E-02   0.619411E-03   0.256057E-03   0.205896E+03   0.000000E+00   0.000000E+00   0.205896E+03  -0.411792E+03
   0.994320E+02   0.269243E+01  -0.112153E+02   0.119415E-02   0.124474E-02   0.216383E-03   0.797121E-03   0.484286E-03   0.799921E-03   0.109575E-02   0.217136E-03   0.256057E-03   0.206899E+03   0.000000E+00   0.000000E+00   0.206899E+03  -0.413798E+03
   0.994320E+02   0.420994E+01  -0.131294E+02   0.234475E-02   0.513138E-03   0.216383E-03   0.797121E-03   0.484286E-03   0.799921E-03   0.109575E-02   0.217136E-03   0.256057E-03   0.205761E+03   0.000000E+00   0.000000E+00   0.205761E+03  -0.411522E+03
   0.994320E+02   0.266755E+01  -0.131294E+02   0.234475E-02   0.513138E-03   0.216383E-03   0.115469E-02   0.484286E-03   0.906296E-03   0.109575E-02   0.217136E-03   0.256057E-03   0.205433E+03   0.000000E+00   0.000000E+00   0.205433E+03  -0.410866E+03
