a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.204644E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.202662E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.666279E+00  0.755724E-03  0.100000E-02  0.176793E-02  0.100000E-02  0.140658E-02  0.100000E-02  0.106237E-02  0.100000E-02  0.100000E-02  0.202763E+03
  0.100000E+03  0.306562E+01 -0.354920E+01 -0.463975E+01  0.755724E-03  0.100000E-02  0.176793E-02  0.834965E-03  0.140658E-02  0.222772E-02  0.106237E-02  0.100000E-02  0.100000E-02  0.201161E+03
  0.100000E+03  0.306562E+01 -0.354920E+01 -0.463975E+01  0.755724E-03  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.222772E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.203319E+03
  0.100000E+03  0.306562E+01 -0.354920E+01 -0.463975E+01  0.755724E-03  0.100000E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.222772E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.203519E+03
  0.100000E+03  0.306562E+01 -0.437738E+01 -0.463975E+01  0.755724E-03  0.100000E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.106237E-02  0.841188E-03  0.100000E-02  0.204080E+03
  0.100000E+03  0.306562E+01 -0.111478E+01  0.119352E+02  0.755724E-03  0.100000E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.304669E-02  0.841188E-03  0.100000E-02  0.201248E+03
  0.100000E+03  0.306562E+01 -0.111478E+01  0.119352E+02  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.304669E-02  0.841188E-03  0.100000E-02  0.201061E+03
  0.100000E+03  0.306562E+01 -0.111478E+01  0.777481E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.338991E-02  0.841188E-03  0.122356E-02  0.200579E+03
  0.100000E+03  0.306562E+01  0.827551E+01  0.154242E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.589302E-02  0.841188E-03  0.122356E-02  0.198275E+03
  0.100000E+03  0.306562E+01  0.827551E+01  0.950657E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.407858E-02  0.841188E-03  0.122356E-02  0.199502E+03
  0.100496E+03  0.205498E+00 -0.145398E+01  0.884061E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.176134E-02  0.841188E-03  0.122356E-02  0.202025E+03
  0.100496E+03  0.205498E+00 -0.145398E+01  0.164380E+02  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.176134E-02  0.841188E-03  0.122356E-02  0.200688E+03
  0.100496E+03  0.983773E+01 -0.145398E+01  0.164380E+02  0.755724E-03  0.107891E-02  0.610047E-03  0.107784E-02  0.140658E-02  0.378184E-03  0.320456E-02  0.841188E-03  0.122356E-02  0.197731E+03
  0.100737E+03  0.983773E+01 -0.903375E+00  0.164380E+02  0.755724E-03  0.107891E-02  0.610047E-03  0.146685E-02  0.140658E-02  0.726521E-03  0.307802E-02  0.841188E-03  0.122356E-02  0.197968E+03
  0.100737E+03  0.983773E+01  0.144519E+02  0.944637E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.146685E-02  0.140658E-02  0.726521E-03  0.307802E-02  0.841188E-03  0.122356E-02  0.198198E+03
  0.100737E+03  0.920465E+01  0.144519E+02  0.109119E+02  0.755724E-03  0.107891E-02  0.610047E-03  0.146685E-02  0.140658E-02  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.201526E+03
  0.100737E+03  0.920465E+01  0.121689E+02  0.107342E+02  0.755724E-03  0.107891E-02  0.610047E-03  0.146685E-02  0.204179E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.203057E+03
  0.100737E+03  0.920465E+01  0.142241E+02 -0.344089E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.146685E-02  0.204179E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.200084E+03
  0.100737E+03  0.920465E+01  0.142241E+02  0.500796E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.151613E-02  0.204179E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.201739E+03
  0.103248E+03  0.920465E+01  0.142241E+02  0.500796E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.109421E-02  0.204179E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.202415E+03
  0.102174E+03  0.287745E+01  0.142241E+02  0.500796E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.109421E-02  0.204179E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.203665E+03
  0.102174E+03  0.106305E+02  0.142241E+02  0.500859E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.182482E-02  0.204179E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.201836E+03
  0.103239E+03  0.343749E+01  0.142241E+02  0.397844E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.182482E-02  0.163410E-03  0.726521E-03  0.127093E-02  0.841188E-03  0.122356E-02  0.201369E+03
