a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100417E+03  -0.239234E+01  -0.463938E+01  -0.553093E+01   0.933352E-04   0.630343E-03   0.117956E-02   0.354415E-03   0.749674E-03   0.718724E-03   0.693722E-03   0.144914E-03   0.186160E-03   0.209355E+03   0.000000E+00   0.000000E+00   0.209355E+03  -0.418710E+03
   0.998531E+02   0.280093E+01  -0.463938E+01  -0.553093E+01   0.933352E-04   0.630343E-03   0.117956E-02   0.354415E-03   0.749674E-03   0.718724E-03   0.693722E-03   0.438301E-03   0.186160E-03   0.209936E+03   0.000000E+00   0.000000E+00   0.209936E+03  -0.419872E+03
   0.998531E+02   0.395431E+01  -0.555408E+01   0.333503E+01   0.933352E-04   0.132331E-03   0.117956E-02   0.354415E-03   0.749674E-03   0.718724E-03   0.693722E-03   0.438301E-03   0.373179E-03   0.208863E+03   0.000000E+00   0.000000E+00   0.208863E+03  -0.417726E+03
   0.998531E+02   0.395431E+01   0.475996E+01   0.203260E+01   0.933352E-04   0.132331E-03   0.117956E-02   0.354415E-03   0.749674E-03   0.718724E-03   0.693722E-03   0.438301E-03   0.373179E-03   0.208398E+03   0.000000E+00   0.000000E+00   0.208398E+03  -0.416796E+03
   0.100309E+03   0.389663E+01  -0.123068E+00   0.203260E+01   0.933352E-04   0.132331E-03   0.117956E-02   0.354415E-03   0.749674E-03   0.163955E-03   0.693722E-03   0.438301E-03   0.373179E-03   0.207915E+03   0.000000E+00   0.000000E+00   0.207915E+03  -0.415830E+03
   0.100309E+03   0.389663E+01   0.168966E+01   0.137895E+02   0.933352E-04   0.132331E-03   0.113407E-02   0.354415E-03   0.832395E-02   0.163955E-03   0.693722E-03   0.702154E-04   0.436364E-03   0.200166E+03   0.000000E+00   0.000000E+00   0.200166E+03  -0.400332E+03
   0.100309E+03   0.389663E+01   0.168966E+01   0.137895E+02   0.933352E-04   0.132331E-03   0.113407E-02   0.343506E-03   0.527146E-02   0.163955E-03   0.693722E-03   0.702154E-04   0.436364E-03   0.201907E+03   0.000000E+00   0.000000E+00   0.201907E+03  -0.403814E+03
   0.100309E+03   0.491293E+01   0.168966E+01   0.151177E+02   0.933352E-04   0.132331E-03   0.113407E-02   0.202102E-02   0.527146E-02   0.820483E-03   0.693722E-03   0.470264E-04   0.436364E-03   0.200677E+03   0.000000E+00   0.000000E+00   0.200677E+03  -0.401354E+03
   0.100309E+03   0.491293E+01   0.168966E+01   0.151177E+02   0.933352E-04   0.132331E-03   0.113407E-02   0.202102E-02   0.527146E-02   0.820483E-03   0.693722E-03   0.470264E-04   0.436364E-03   0.200677E+03   0.000000E+00   0.000000E+00   0.200677E+03  -0.401354E+03
   0.100306E+03   0.491293E+01   0.168966E+01   0.623818E+01   0.933352E-04   0.132331E-03   0.113407E-02   0.202102E-02   0.486343E-02   0.820483E-03   0.538610E-03   0.470264E-04   0.436364E-03   0.201772E+03   0.000000E+00   0.000000E+00   0.201772E+03  -0.403544E+03
   0.100306E+03   0.491293E+01  -0.111574E+02   0.623818E+01   0.933352E-04   0.226534E-03   0.714409E-03   0.239012E-02   0.486343E-02   0.820483E-03   0.538610E-03   0.470264E-04   0.436364E-03   0.200787E+03   0.000000E+00   0.000000E+00   0.200787E+03  -0.401574E+03
   0.101602E+03   0.491293E+01  -0.111574E+02   0.623818E+01   0.933352E-04   0.226534E-03   0.156439E-03   0.160286E-02   0.509331E-02   0.820483E-03   0.538610E-03   0.470264E-04   0.111864E-02   0.196926E+03   0.000000E+00   0.000000E+00   0.196926E+03  -0.393852E+03
   0.101613E+03   0.491293E+01  -0.637484E+01   0.479900E+01   0.933352E-04   0.226534E-03   0.251862E-03   0.160286E-02   0.593039E-02   0.224329E-02   0.538610E-03   0.470264E-04   0.111864E-02   0.196999E+03   0.000000E+00   0.000000E+00   0.196999E+03  -0.393998E+03
