               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.978866E+02  -0.871286E+01  -0.216446E+02  -0.345600E+02  -0.397958E+02   0.866941E-05   0.487418E-05   0.524292E-05   0.294014E-04   0.115837E-04   0.274864E-04   0.425705E-05   0.618346E-05   0.108301E-04
Maximum           0.105456E+03   0.158453E+02   0.226619E+02   0.302192E+02   0.434441E+02   0.722857E-02   0.425324E-02   0.391109E-02   0.102200E-01   0.543360E-02   0.558455E-02   0.106559E-01   0.749375E-02   0.739317E-02
Range             0.756940E+01   0.245582E+02   0.443065E+02   0.647792E+02   0.832399E+02   0.721990E-02   0.424837E-02   0.390585E-02   0.101906E-01   0.542202E-02   0.555706E-02   0.106516E-01   0.748757E-02   0.738234E-02
Mean              0.100930E+03   0.275645E+01  -0.111469E+00  -0.342465E+01  -0.135099E+00   0.981035E-03   0.634550E-03   0.890600E-03   0.133969E-02   0.100697E-02   0.131186E-02   0.110119E-02   0.756664E-03   0.684341E-03
Median            0.100689E+03   0.220435E+01  -0.101823E+01  -0.349545E+01  -0.789550E-01   0.740483E-03   0.548952E-03   0.772332E-03   0.106891E-02   0.667529E-03   0.965851E-03   0.743509E-03   0.430645E-03   0.464413E-03
Q10%              0.987774E+02  -0.207005E+01  -0.100613E+02  -0.193107E+02  -0.184878E+02   0.237586E-03   0.830277E-04   0.250253E-03   0.505660E-03   0.241909E-03   0.392270E-03   0.237773E-03   0.174251E-03   0.191686E-04
Q25%              0.996269E+02   0.945550E-01  -0.615425E+01  -0.986165E+01  -0.898466E+01   0.473509E-03   0.358155E-03   0.551146E-03   0.687546E-03   0.474880E-03   0.673511E-03   0.422621E-03   0.242864E-03   0.194292E-03
Q75%              0.102027E+03   0.486631E+01   0.488836E+01   0.290354E+01   0.795490E+01   0.123670E-02   0.798921E-03   0.991521E-03   0.154625E-02   0.142494E-02   0.169410E-02   0.129138E-02   0.939980E-03   0.847086E-03
Q90%              0.103016E+03   0.879998E+01   0.110627E+02   0.122116E+02   0.183104E+02   0.220218E-02   0.108260E-02   0.166848E-02   0.231881E-02   0.205208E-02   0.263828E-02   0.181631E-02   0.179456E-02   0.158902E-02
St.Dev.           0.161740E+01   0.415947E+01   0.809371E+01   0.120293E+02   0.142750E+02   0.897749E-03   0.516677E-03   0.630968E-03   0.119655E-02   0.859985E-03   0.100733E-02   0.142826E-02   0.847454E-03   0.842927E-03
Variance          0.261597E+01   0.173012E+02   0.655081E+02   0.144703E+03   0.203775E+03   0.805954E-06   0.266956E-06   0.398121E-06   0.143174E-05   0.739575E-06   0.101471E-05   0.203991E-05   0.718178E-06   0.710526E-06
CV                0.160249E-01   0.150900E+01   0.726092E+02   0.351255E+01   0.105663E+03   0.915104E+00   0.814242E+00   0.708475E+00   0.893158E+00   0.854035E+00   0.767864E+00   0.129701E+01   0.111999E+01   0.123174E+01
Skewness          0.501738E+00   0.607733E+00   0.357054E+00   0.116471E+00   0.583285E-01   0.252743E+01   0.319409E+01   0.190465E+01   0.347784E+01   0.208785E+01   0.195487E+01   0.447007E+01   0.298261E+01   0.330886E+01
Kurtosis         -0.935119E-01   0.376939E+00  -0.175344E+00   0.297628E+00   0.304015E+00   0.937968E+01   0.170270E+02   0.454781E+01   0.172431E+02   0.598707E+01   0.427295E+01   0.233521E+02   0.135969E+02   0.156485E+02
MaxPost           0.999633E+02   0.745786E-01   0.184405E+01  -0.291846E+01   0.369172E+01   0.604839E-03   0.226870E-03   0.761162E-03   0.273338E-03   0.391328E-04   0.534541E-03   0.379439E-03   0.618346E-05   0.611724E-03
