a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101190E+03   0.431186E-03   0.186952E-03   0.210481E-03   0.102481E-02   0.217210E+03   0.000000E+00   0.000000E+00   0.217210E+03  -0.434420E+03
   0.101190E+03   0.431186E-03   0.186952E-03   0.210481E-03   0.102481E-02   0.217210E+03   0.000000E+00   0.000000E+00   0.217210E+03  -0.434420E+03
   0.101190E+03   0.431186E-03   0.186952E-03   0.210481E-03   0.102481E-02   0.217210E+03   0.000000E+00   0.000000E+00   0.217210E+03  -0.434420E+03
   0.101190E+03   0.431186E-03   0.186952E-03   0.210481E-03   0.102481E-02   0.217210E+03   0.000000E+00   0.000000E+00   0.217210E+03  -0.434420E+03
   0.101190E+03   0.431186E-03   0.186952E-03   0.210481E-03   0.102481E-02   0.217210E+03   0.000000E+00   0.000000E+00   0.217210E+03  -0.434420E+03
   0.101190E+03   0.431186E-03   0.186952E-03   0.488109E-04   0.765257E-03   0.217182E+03   0.000000E+00   0.000000E+00   0.217182E+03  -0.434364E+03
   0.100955E+03   0.431186E-03   0.186952E-03   0.488109E-04   0.765257E-03   0.217522E+03   0.000000E+00   0.000000E+00   0.217522E+03  -0.435044E+03
   0.100955E+03   0.431186E-03   0.186952E-03   0.488109E-04   0.765257E-03   0.217522E+03   0.000000E+00   0.000000E+00   0.217522E+03  -0.435044E+03
   0.100955E+03   0.431186E-03   0.752687E-03   0.488109E-04   0.765257E-03   0.214340E+03   0.000000E+00   0.000000E+00   0.214340E+03  -0.428680E+03
   0.100955E+03   0.431186E-03   0.752687E-03   0.488109E-04   0.765257E-03   0.214340E+03   0.000000E+00   0.000000E+00   0.214340E+03  -0.428680E+03
   0.995328E+02   0.134295E-03   0.752687E-03   0.488109E-04   0.765257E-03   0.214747E+03   0.000000E+00   0.000000E+00   0.214747E+03  -0.429494E+03
   0.995328E+02   0.134295E-03   0.752687E-03   0.488109E-04   0.765257E-03   0.214747E+03   0.000000E+00   0.000000E+00   0.214747E+03  -0.429494E+03
   0.995328E+02   0.134295E-03   0.752687E-03   0.488109E-04   0.765257E-03   0.214747E+03   0.000000E+00   0.000000E+00   0.214747E+03  -0.429494E+03
   0.995328E+02   0.379345E-03   0.752687E-03   0.488109E-04   0.950405E-03   0.214217E+03   0.000000E+00   0.000000E+00   0.214217E+03  -0.428434E+03
   0.995328E+02   0.379345E-03   0.752687E-03   0.488109E-04   0.950405E-03   0.214217E+03   0.000000E+00   0.000000E+00   0.214217E+03  -0.428434E+03
   0.995328E+02   0.379345E-03   0.752687E-03   0.488109E-04   0.950405E-03   0.214217E+03   0.000000E+00   0.000000E+00   0.214217E+03  -0.428434E+03
   0.995328E+02   0.379345E-03   0.270541E-03   0.488109E-04   0.950405E-03   0.215376E+03   0.000000E+00   0.000000E+00   0.215376E+03  -0.430752E+03
   0.995328E+02   0.379345E-03   0.270541E-03   0.488109E-04   0.950405E-03   0.215376E+03   0.000000E+00   0.000000E+00   0.215376E+03  -0.430752E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.950405E-03   0.217873E+03   0.000000E+00   0.000000E+00   0.217873E+03  -0.435746E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.950405E-03   0.217873E+03   0.000000E+00   0.000000E+00   0.217873E+03  -0.435746E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.950405E-03   0.217873E+03   0.000000E+00   0.000000E+00   0.217873E+03  -0.435746E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.950405E-03   0.217873E+03   0.000000E+00   0.000000E+00   0.217873E+03  -0.435746E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.950405E-03   0.217873E+03   0.000000E+00   0.000000E+00   0.217873E+03  -0.435746E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.950405E-03   0.217873E+03   0.000000E+00   0.000000E+00   0.217873E+03  -0.435746E+03
   0.100195E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.909596E-03   0.217898E+03   0.000000E+00   0.000000E+00   0.217898E+03  -0.435796E+03
   0.100605E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.909596E-03   0.218348E+03   0.000000E+00   0.000000E+00   0.218348E+03  -0.436696E+03
   0.100605E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.909596E-03   0.218348E+03   0.000000E+00   0.000000E+00   0.218348E+03  -0.436696E+03
   0.100605E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.909596E-03   0.218348E+03   0.000000E+00   0.000000E+00   0.218348E+03  -0.436696E+03
   0.100605E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.909596E-03   0.218348E+03   0.000000E+00   0.000000E+00   0.218348E+03  -0.436696E+03
   0.100605E+03   0.540623E-04   0.270541E-03   0.488109E-04   0.909596E-03   0.218348E+03   0.000000E+00   0.000000E+00   0.218348E+03  -0.436696E+03
   0.100605E+03   0.540623E-04   0.249395E-03   0.488109E-04   0.909596E-03   0.218419E+03   0.000000E+00   0.000000E+00   0.218419E+03  -0.436838E+03
