a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.101447E+03  -0.805164E+00   0.303114E-04   0.177182E-03   0.168207E-03   0.856157E-03   0.217125E+03
   0.101447E+03  -0.805164E+00   0.303114E-04   0.177182E-03   0.168207E-03   0.856157E-03   0.217125E+03
   0.101192E+03  -0.805164E+00   0.303114E-04   0.177182E-03   0.168207E-03   0.856157E-03   0.217587E+03
   0.100799E+03   0.224396E+01   0.303114E-04   0.177182E-03   0.168207E-03   0.856157E-03   0.218360E+03
   0.100799E+03   0.224396E+01   0.303114E-04   0.177182E-03   0.168207E-03   0.856157E-03   0.218360E+03
   0.100799E+03   0.247110E+01   0.303114E-04   0.177182E-03   0.168207E-03   0.856157E-03   0.218286E+03
   0.100799E+03   0.247110E+01   0.303114E-04   0.300624E-03   0.168207E-03   0.109665E-02   0.217731E+03
   0.100799E+03   0.247110E+01   0.303114E-04   0.300624E-03   0.168207E-03   0.938625E-03   0.217828E+03
   0.100799E+03   0.247110E+01   0.303114E-04   0.300624E-03   0.168207E-03   0.938625E-03   0.217828E+03
   0.100799E+03   0.247110E+01   0.303114E-04   0.300624E-03   0.168207E-03   0.938625E-03   0.217828E+03
   0.100799E+03   0.247110E+01   0.303114E-04   0.300624E-03   0.168207E-03   0.938625E-03   0.217828E+03
   0.100799E+03   0.247110E+01   0.303603E-03   0.300624E-03   0.168207E-03   0.938625E-03   0.217432E+03
   0.100799E+03   0.247110E+01   0.303603E-03   0.300624E-03   0.168207E-03   0.938625E-03   0.217432E+03
   0.100799E+03   0.247110E+01   0.303603E-03   0.300624E-03   0.168207E-03   0.938625E-03   0.217432E+03
   0.100799E+03   0.298679E+01   0.303603E-03   0.300624E-03   0.168207E-03   0.938625E-03   0.217198E+03
   0.100799E+03   0.298679E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.938625E-03   0.216824E+03
   0.100799E+03   0.298679E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.938625E-03   0.216824E+03
   0.100094E+03   0.298679E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.938625E-03   0.216465E+03
   0.100094E+03  -0.133341E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.938625E-03   0.216013E+03
   0.100094E+03  -0.151693E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.113038E-02   0.215543E+03
   0.100094E+03  -0.151693E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.113038E-02   0.215543E+03
   0.100094E+03   0.138528E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.847013E-03   0.216938E+03
   0.100094E+03   0.138528E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.847013E-03   0.216938E+03
   0.100094E+03   0.138528E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.847013E-03   0.216938E+03
   0.100094E+03   0.138528E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.847013E-03   0.216938E+03
