a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100104E+03   0.544378E+00  -0.256649E+01   0.269308E+01   0.916789E-03   0.190042E-03   0.150050E-03   0.122334E-02   0.214562E+03
   0.100104E+03   0.544378E+00  -0.256649E+01   0.269308E+01   0.916789E-03   0.190042E-03   0.150050E-03   0.533857E-03   0.213371E+03
   0.100104E+03   0.544378E+00  -0.256649E+01  -0.857905E+01   0.352976E-03   0.190042E-03   0.150050E-03   0.533857E-03   0.215782E+03
   0.100104E+03   0.544378E+00  -0.256649E+01  -0.218399E+01   0.352976E-03   0.190042E-03   0.150050E-03   0.533857E-03   0.216212E+03
   0.100104E+03   0.210662E+01  -0.256649E+01  -0.391962E+01   0.110050E-03   0.190042E-03   0.150050E-03   0.533857E-03   0.216307E+03
   0.100104E+03   0.254426E+01  -0.802516E+01  -0.543232E+01   0.110050E-03   0.190042E-03   0.150050E-03   0.533857E-03   0.214479E+03
   0.100991E+03   0.254426E+01  -0.802516E+01  -0.720876E+01   0.110050E-03   0.190042E-03   0.150050E-03   0.134490E-02   0.215768E+03
   0.100991E+03  -0.237994E+01  -0.662155E+01  -0.720876E+01   0.110050E-03   0.198574E-03   0.210319E-03   0.134490E-02   0.216320E+03
   0.100991E+03  -0.309701E+00  -0.880123E+01  -0.720876E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.216767E+03
   0.100991E+03  -0.309701E+00  -0.564864E+01  -0.566312E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.217796E+03
   0.100991E+03  -0.309701E+00  -0.564864E+01  -0.566312E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.217796E+03
   0.100991E+03  -0.309701E+00  -0.564864E+01  -0.930779E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.217761E+03
   0.101930E+03  -0.309701E+00   0.126749E+01  -0.930779E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.217296E+03
   0.101930E+03  -0.309701E+00   0.126749E+01  -0.930779E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.217296E+03
   0.101930E+03  -0.309701E+00   0.236911E+01  -0.126291E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.216695E+03
   0.101930E+03  -0.309701E+00   0.236911E+01  -0.783681E+01   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.217269E+03
   0.101930E+03  -0.333869E+01   0.236911E+01  -0.175201E+02   0.110050E-03   0.132941E-04   0.210319E-03   0.134490E-02   0.216353E+03
   0.101930E+03  -0.311014E+01   0.236911E+01  -0.811939E+01   0.214981E-03   0.132941E-04   0.210319E-03   0.153440E-02   0.216012E+03
   0.101930E+03  -0.311014E+01   0.236911E+01  -0.811939E+01   0.214981E-03   0.132941E-04   0.210319E-03   0.153440E-02   0.216012E+03
   0.101930E+03  -0.311014E+01   0.727665E+01  -0.350972E+01   0.214981E-03   0.272842E-03   0.210319E-03   0.153440E-02   0.213893E+03
   0.101930E+03   0.517433E+00  -0.129139E+01  -0.105544E+02   0.214981E-03   0.272842E-03   0.210319E-03   0.200279E-02   0.214173E+03
   0.100942E+03   0.517433E+00  -0.129139E+01  -0.255590E+01   0.139537E-03   0.272842E-03   0.165832E-03   0.173252E-02   0.216593E+03
   0.100942E+03   0.517433E+00  -0.777538E+01  -0.403182E+01   0.139537E-03   0.272842E-03   0.136774E-03   0.173252E-02   0.215526E+03
   0.101383E+03   0.317295E+01  -0.777538E+01  -0.403182E+01   0.139537E-03   0.272842E-03   0.136774E-03   0.173252E-02   0.213218E+03
   0.101383E+03  -0.353100E+01  -0.564649E+01  -0.137105E+02   0.761368E-04   0.272842E-03   0.136774E-03   0.173252E-02   0.214847E+03
   0.101383E+03  -0.353100E+01  -0.564649E+01  -0.137105E+02   0.761368E-04   0.213775E-03   0.136774E-03   0.207761E-02   0.213942E+03
   0.101383E+03  -0.353100E+01  -0.564649E+01  -0.137105E+02   0.761368E-04   0.213775E-03   0.136774E-03   0.235285E-02   0.213129E+03
   0.101383E+03  -0.353100E+01  -0.966630E+00  -0.137105E+02   0.761368E-04   0.107972E-03   0.136774E-03   0.169104E-02   0.216163E+03
   0.101336E+03  -0.353100E+01  -0.358936E+01  -0.157776E+02   0.761368E-04   0.107972E-03   0.136774E-03   0.169104E-02   0.215489E+03
   0.101433E+03  -0.261318E+01   0.255140E+01  -0.138138E+02   0.761368E-04   0.107972E-03   0.136774E-03   0.169104E-02   0.216103E+03
   0.101433E+03  -0.261318E+01   0.255140E+01  -0.135677E+02   0.761368E-04   0.107972E-03   0.136774E-03   0.169104E-02   0.216150E+03
   0.101433E+03  -0.224156E+01   0.255140E+01  -0.139907E+02   0.761368E-04   0.619993E-03   0.136774E-03   0.169104E-02   0.214060E+03
   0.101433E+03  -0.347296E+01   0.255140E+01  -0.139907E+02   0.761368E-04   0.619993E-03   0.136774E-03   0.169104E-02   0.214026E+03
   0.101433E+03  -0.347296E+01  -0.160926E+01  -0.112440E+01   0.374679E-03   0.619993E-03   0.136774E-03   0.169104E-02   0.212182E+03
   0.101433E+03  -0.429352E+01   0.307683E+01  -0.123179E+02   0.174975E-04   0.619993E-03   0.136774E-03   0.698865E-03   0.214765E+03
   0.101433E+03  -0.314258E+01   0.307683E+01  -0.123179E+02   0.174975E-04   0.619993E-03   0.136774E-03   0.218978E-02   0.212578E+03
   0.101433E+03  -0.314258E+01   0.258724E+01  -0.123179E+02   0.174975E-04   0.619993E-03   0.136774E-03   0.239168E-02   0.212058E+03
   0.102440E+03  -0.314258E+01   0.258724E+01  -0.177345E+02   0.174975E-04   0.619993E-03   0.136774E-03   0.239168E-02   0.210974E+03
   0.102440E+03  -0.564057E+01   0.258724E+01  -0.142037E+02   0.174975E-04   0.619993E-03   0.136774E-03   0.239168E-02   0.210470E+03
   0.102440E+03  -0.594262E+01  -0.151472E+00  -0.185815E+02   0.174975E-04   0.619993E-03   0.136774E-03   0.239168E-02   0.210335E+03
   0.102440E+03  -0.234237E+01   0.187033E+01  -0.708445E+01   0.174975E-04   0.878782E-03   0.136774E-03   0.239168E-02   0.208615E+03
   0.101889E+03  -0.428466E+01   0.658666E+00  -0.708445E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.239168E-02   0.210049E+03
   0.101889E+03   0.362707E+01  -0.241346E+01   0.551201E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.239168E-02   0.207656E+03
   0.101889E+03   0.362707E+01   0.662248E+01   0.407962E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.229169E-02   0.209563E+03
   0.101889E+03  -0.186797E+01   0.662248E+01  -0.333653E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.124071E-02   0.213387E+03
   0.101889E+03  -0.186797E+01   0.898999E+01  -0.121227E+01   0.174975E-04   0.770414E-03   0.136774E-03   0.124071E-02   0.212678E+03
   0.101889E+03   0.511866E+00   0.898999E+01  -0.344894E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.213765E+03
   0.102515E+03   0.511866E+00   0.465128E+01  -0.344894E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.212672E+03
   0.100770E+03   0.310944E+01   0.513698E+01  -0.236400E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.214018E+03
   0.100770E+03   0.286715E+00   0.516770E+01  -0.236400E+01   0.315526E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.215000E+03
   0.100770E+03   0.286715E+00   0.509561E+01   0.605052E+01   0.338925E-03   0.574033E-03   0.136774E-03   0.124071E-02   0.213905E+03
   0.100770E+03  -0.208720E+01   0.509561E+01   0.459625E+00   0.338925E-03   0.574033E-03   0.309034E-03   0.124071E-02   0.212905E+03
   0.100770E+03   0.150243E+01  -0.656407E+00  -0.498382E-01   0.338925E-03   0.574033E-03   0.305932E-03   0.124071E-02   0.214880E+03
   0.100770E+03   0.632416E+00  -0.681276E+01  -0.939302E+01   0.338925E-03   0.574033E-03   0.305932E-03   0.124071E-02   0.214327E+03
   0.101056E+03   0.632416E+00  -0.591496E+01  -0.131864E+02   0.338925E-03   0.441155E-03   0.305932E-03   0.124071E-02   0.214769E+03
   0.101056E+03   0.632416E+00  -0.931820E+00  -0.122001E+02   0.338925E-03   0.441155E-03   0.305932E-03   0.124071E-02   0.215130E+03
