a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100993E+03   0.241890E+01  -0.812165E+01  -0.130683E+02  -0.169855E+02   0.465202E-03   0.116140E-04   0.460386E-03   0.103026E-02   0.213609E+03
   0.100993E+03  -0.101446E+01  -0.298960E+01  -0.189923E+02  -0.439673E+01   0.465202E-03   0.116140E-04   0.460386E-03   0.103026E-02   0.213438E+03
   0.100993E+03  -0.101446E+01  -0.129267E+01  -0.725225E+01   0.359717E+01   0.557766E-03   0.116140E-04   0.460386E-03   0.103026E-02   0.215677E+03
   0.100993E+03  -0.101446E+01  -0.121728E+01  -0.725225E+01   0.109108E+02   0.557766E-03   0.116140E-04   0.460386E-03   0.103026E-02   0.214710E+03
   0.100993E+03   0.202526E+01  -0.121728E+01  -0.306165E+01   0.620677E+01   0.557766E-03   0.116140E-04   0.460386E-03   0.103026E-02   0.215546E+03
   0.100993E+03   0.202526E+01  -0.121728E+01  -0.306165E+01  -0.716601E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.103026E-02   0.217140E+03
   0.100993E+03   0.202526E+01  -0.324131E+01  -0.162682E+02  -0.287632E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.954817E-03   0.214840E+03
   0.100993E+03   0.202526E+01  -0.324131E+01  -0.133471E+02  -0.174501E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.954817E-03   0.215876E+03
   0.100993E+03   0.257054E+01  -0.324131E+01  -0.115999E+02  -0.132931E+02   0.632996E-04   0.116140E-04   0.460386E-03   0.954817E-03   0.215730E+03
   0.100993E+03   0.405414E+01  -0.113861E+02  -0.836097E+01  -0.126532E+02   0.632996E-04   0.116140E-04   0.460386E-03   0.954817E-03   0.214553E+03
   0.100993E+03   0.405414E+01  -0.168515E+01  -0.303493E+01  -0.109852E+02   0.632996E-04   0.116140E-04   0.460386E-03   0.954817E-03   0.216250E+03
   0.100993E+03   0.405414E+01  -0.426675E+01  -0.403983E+01  -0.658212E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.954817E-03   0.216388E+03
   0.100993E+03   0.512952E+01  -0.542244E+01  -0.118777E+02  -0.812357E+01   0.632996E-04   0.161640E-03   0.460386E-03   0.954817E-03   0.213806E+03
   0.101090E+03  -0.183104E+01   0.160064E+00  -0.100924E+02   0.505847E+01   0.240021E-03   0.161640E-03   0.460386E-03   0.954817E-03   0.216060E+03
   0.101090E+03  -0.558170E+00   0.160064E+00  -0.148331E+02   0.505847E+01   0.240021E-03   0.312148E-03   0.460386E-03   0.954817E-03   0.214869E+03
   0.101090E+03  -0.558170E+00   0.223212E+01  -0.157342E+02  -0.105783E+02   0.240021E-03   0.312148E-03   0.460386E-03   0.954817E-03   0.213120E+03
   0.101090E+03   0.132406E+01  -0.218819E+00  -0.403757E+01  -0.710790E+01   0.250942E-03   0.312148E-03   0.460386E-03   0.954817E-03   0.215834E+03
   0.101090E+03   0.132406E+01  -0.218819E+00  -0.687404E+01  -0.100879E+02   0.250942E-03   0.312148E-03   0.460386E-03   0.134658E-02   0.214918E+03
   0.101090E+03   0.132406E+01  -0.911666E+01  -0.687404E+01   0.140241E+01   0.301162E-03   0.312148E-03   0.460386E-03   0.134658E-02   0.214056E+03
   0.101090E+03   0.463720E+01  -0.911666E+01  -0.687404E+01   0.109699E+01   0.301162E-03   0.312148E-03   0.642095E-03   0.185013E-02   0.210190E+03
   0.101090E+03   0.463720E+01  -0.911666E+01   0.389561E+01   0.954649E+01   0.301162E-03   0.312148E-03   0.642095E-03   0.185013E-02   0.209076E+03
   0.101090E+03   0.463720E+01  -0.911666E+01   0.799070E+00   0.605315E+00   0.301162E-03   0.312148E-03   0.642095E-03   0.185013E-02   0.210392E+03
   0.101090E+03   0.463720E+01   0.310770E+01   0.535901E+01   0.224961E+01   0.301162E-03   0.570938E-03   0.642095E-03   0.185013E-02   0.210100E+03
   0.101090E+03   0.902816E+01   0.310770E+01   0.158108E+02   0.678337E+01   0.301162E-03   0.570938E-03   0.642095E-03   0.126052E-02   0.209899E+03
   0.101090E+03   0.486732E+01   0.603580E+01   0.103201E+02   0.678337E+01   0.301162E-03   0.570938E-03   0.642095E-03   0.126052E-02   0.211197E+03
   0.101939E+03   0.486732E+01   0.837382E+01   0.103201E+02   0.149783E+02   0.136948E-03   0.570938E-03   0.642095E-03   0.126052E-02   0.211291E+03
   0.101939E+03   0.209940E+01   0.287878E+01   0.174387E+01   0.155409E+02   0.109422E-03   0.570938E-03   0.642095E-03   0.126052E-02   0.211598E+03
   0.101939E+03   0.287065E+01   0.781804E+01   0.341503E+01   0.278906E+02   0.109422E-03   0.854870E-04   0.642095E-03   0.126052E-02   0.210315E+03
   0.103739E+03   0.392871E+01   0.125585E+02   0.751008E+01   0.227321E+02   0.109422E-03   0.854870E-04   0.642095E-03   0.126052E-02   0.211823E+03
   0.103739E+03   0.392871E+01   0.125585E+02  -0.179928E+00  -0.149140E+01   0.109422E-03   0.854870E-04   0.642095E-03   0.126052E-02   0.208493E+03
   0.103739E+03   0.395664E+01   0.125177E+02  -0.248081E+01  -0.149140E+01   0.109422E-03   0.854870E-04   0.642095E-03   0.126052E-02   0.208295E+03
   0.103739E+03  -0.161912E+01   0.125177E+02  -0.112157E+02   0.230996E+02   0.109422E-03   0.589439E-04   0.642095E-03   0.128392E-02   0.211733E+03
   0.103739E+03  -0.161912E+01   0.642332E+01  -0.855024E+01   0.230996E+02   0.109422E-03   0.589439E-04   0.642095E-03   0.147532E-02   0.210869E+03
   0.103739E+03  -0.299616E+01   0.100129E+02  -0.147654E+02   0.230996E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.147532E-02   0.211290E+03
   0.103739E+03  -0.299616E+01   0.219817E+01  -0.262166E+02   0.175355E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.107631E-02   0.209824E+03
   0.102899E+03  -0.331257E+01   0.683856E+01  -0.129185E+02   0.158736E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.107631E-02   0.213287E+03
   0.102899E+03  -0.331257E+01   0.120318E+02  -0.129185E+02   0.174049E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.107631E-02   0.212600E+03
   0.102899E+03  -0.331257E+01   0.114189E+02  -0.164957E+02   0.152423E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.910055E-03   0.212356E+03
   0.102600E+03  -0.331257E+01   0.737058E+01  -0.537110E+01   0.984333E+01   0.109422E-03   0.554967E-04   0.642095E-03   0.910055E-03   0.212349E+03
   0.102600E+03   0.217874E+01   0.636685E+01  -0.157974E+02   0.130040E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.910055E-03   0.210344E+03
   0.101468E+03   0.217874E+01  -0.843316E+01  -0.500270E+01  -0.954224E+01   0.109422E-03   0.554967E-04   0.519877E-03   0.910055E-03   0.214958E+03
