               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.991288E+02  -0.776905E+01  -0.113861E+02  -0.262166E+02  -0.229898E+02   0.316307E-07   0.627448E-05   0.667301E-05   0.396130E-03
Maximum           0.103739E+03   0.902816E+01   0.171351E+02   0.179669E+02   0.278906E+02   0.172405E-02   0.134830E-02   0.992157E-03   0.407991E-02
Range             0.461020E+01   0.167972E+02   0.285212E+02   0.441835E+02   0.508804E+02   0.172402E-02   0.134203E-02   0.985484E-03   0.368378E-02
Mean              0.100896E+03   0.940429E+00  -0.759233E+00  -0.397356E+01  -0.824622E+00   0.330303E-03   0.258333E-03   0.256896E-03   0.107499E-02
Median            0.100780E+03   0.116623E+01  -0.179595E+01  -0.403672E+01  -0.160505E+01   0.242689E-03   0.231405E-03   0.215818E-03   0.101142E-02
Q10%              0.999198E+02  -0.286841E+01  -0.672962E+01  -0.125501E+02  -0.133141E+02   0.342972E-04   0.341716E-04   0.703740E-04   0.704124E-03
Q25%              0.100285E+03  -0.885768E+00  -0.429035E+01  -0.853551E+01  -0.771734E+01   0.109422E-03   0.857705E-04   0.145813E-03   0.814665E-03
Q75%              0.101439E+03   0.252885E+01   0.193251E+01   0.481958E+00   0.553866E+01   0.458871E-03   0.363457E-03   0.377761E-03   0.124549E-02
Q90%              0.102030E+03   0.461556E+01   0.634317E+01   0.511716E+01   0.130128E+02   0.723109E-03   0.521566E-03   0.518873E-03   0.150619E-02
St.Dev.           0.913137E+00   0.287171E+01   0.551355E+01   0.753803E+01   0.971863E+01   0.298239E-03   0.213091E-03   0.175053E-03   0.445566E-03
Variance          0.833819E+00   0.824671E+01   0.303993E+02   0.568218E+02   0.944518E+02   0.889465E-07   0.454077E-07   0.306437E-07   0.198529E-06
CV                0.905026E-02   0.305362E+01   0.726201E+01   0.189704E+01   0.117856E+02   0.902925E+00   0.824870E+00   0.681419E+00   0.414485E+00
Skewness          0.895445E+00  -0.353947E-01   0.896357E+00   0.241126E+00   0.385716E+00   0.152901E+01   0.153300E+01   0.112167E+01   0.291088E+01
Kurtosis          0.929443E+00   0.432872E+00   0.840681E+00   0.600459E+00  -0.228312E+00   0.289693E+01   0.298603E+01   0.940090E+00   0.160633E+02
MaxPost           0.100795E+03  -0.519168E+00  -0.421984E+01  -0.733903E+01  -0.358447E+01   0.864671E-04   0.506170E-04   0.215818E-03   0.958375E-03
