a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.102133E+03   0.272369E+00  -0.450487E+00  -0.147939E+02  -0.154731E+02   0.679861E-03   0.911684E-04   0.717879E-03   0.660227E-03   0.974149E-04   0.112341E-02   0.106990E-02   0.142000E-02   0.181234E+03
   0.102133E+03   0.272369E+00  -0.450487E+00  -0.197233E+02  -0.590570E+01   0.113930E-03   0.653368E-03   0.185066E-03   0.660227E-03   0.974149E-04   0.112341E-02   0.630334E-03   0.142000E-02   0.182057E+03
   0.101023E+03   0.272369E+00   0.262827E+01  -0.199126E+02  -0.486054E+01   0.113930E-03   0.653368E-03   0.185066E-03   0.660227E-03   0.974149E-04   0.112341E-02   0.820461E-02   0.126175E-02   0.175480E+03
   0.101164E+03  -0.923400E+00  -0.729923E+00  -0.199126E+02   0.697047E+01   0.113930E-03   0.653368E-03   0.185066E-03   0.614744E-03   0.145612E-03   0.112341E-02   0.343970E-02   0.597305E-03   0.180646E+03
   0.101164E+03   0.372225E+01   0.654835E+01  -0.582147E+01   0.697047E+01   0.113930E-03   0.653368E-03   0.168501E-02   0.614744E-03   0.145612E-03   0.112341E-02   0.343970E-02   0.597305E-03   0.179552E+03
   0.101164E+03   0.372225E+01   0.654835E+01   0.103090E+02   0.697047E+01   0.113930E-03   0.653368E-03   0.168501E-02   0.134422E-02   0.442078E-02   0.828893E-03   0.168662E-02   0.597305E-03   0.176948E+03
   0.101164E+03   0.372225E+01   0.150457E+02   0.149771E+02   0.100234E+01   0.113930E-03   0.653368E-03   0.168501E-02   0.134422E-02   0.485820E-02   0.828893E-03   0.132507E-02   0.597305E-03   0.175764E+03
   0.101164E+03   0.372225E+01  -0.142131E+01   0.149771E+02   0.101367E+02   0.355776E-03   0.233702E-03   0.131779E-02   0.134422E-02   0.470309E-02   0.828893E-03   0.113719E-02   0.597305E-03   0.178657E+03
   0.101164E+03   0.120046E+01   0.717389E+01   0.362602E+01   0.168577E+02   0.355776E-03   0.602802E-03   0.152468E-02   0.134422E-02   0.275360E-02   0.828893E-03   0.113719E-02   0.124544E-02   0.178379E+03
   0.101164E+03   0.124411E+01   0.102232E+02   0.106330E+02   0.172576E+02   0.449911E-03   0.602802E-03   0.135570E-02   0.134422E-02   0.206730E-03   0.119785E-03   0.197951E-02   0.124544E-02   0.179269E+03
