               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.989983E+02   0.361536E-05   0.280040E-05   0.958157E-05   0.383016E-03
Maximum           0.102618E+03   0.145559E-02   0.870623E-03   0.109796E-02   0.376469E-02
Range             0.361970E+01   0.145197E-02   0.867823E-03   0.108838E-02   0.338167E-02
Mean              0.100829E+03   0.388468E-03   0.294615E-03   0.239421E-03   0.118302E-02
Median            0.100881E+03   0.308714E-03   0.204161E-03   0.138346E-03   0.109463E-02
Q10%              0.998984E+02   0.684094E-04   0.881776E-04   0.640192E-04   0.752986E-03
Q25%              0.100342E+03   0.166676E-03   0.167733E-03   0.704880E-04   0.900549E-03
Q75%              0.101387E+03   0.544863E-03   0.404989E-03   0.329077E-03   0.130088E-02
Q90%              0.101578E+03   0.847286E-03   0.548279E-03   0.491367E-03   0.165138E-02
St.Dev.           0.672328E+00   0.328530E-03   0.208524E-03   0.212743E-03   0.458349E-03
Variance          0.452025E+00   0.107932E-06   0.434822E-07   0.452597E-07   0.210084E-06
CV                0.666800E-02   0.845707E+00   0.707784E+00   0.888576E+00   0.387440E+00
Skewness         -0.220903E+00   0.144197E+01   0.116116E+01   0.161604E+01   0.232629E+01
Kurtosis         -0.134773E+00   0.195651E+01   0.691665E+00   0.276334E+01   0.829677E+01
MaxPost           0.100995E+03   0.684094E-04   0.161393E-03   0.206582E-04   0.102367E-02
