a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100995E+03   0.684094E-04   0.582612E-03   0.206582E-04   0.102367E-02   0.192523E+03   0.000000E+00   0.000000E+00   0.192523E+03  -0.385046E+03
   0.100995E+03   0.684094E-04   0.582612E-03   0.206582E-04   0.102367E-02   0.192523E+03   0.000000E+00   0.000000E+00   0.192523E+03  -0.385046E+03
   0.100995E+03   0.684094E-04   0.582612E-03   0.206582E-04   0.102367E-02   0.192523E+03   0.000000E+00   0.000000E+00   0.192523E+03  -0.385046E+03
   0.100995E+03   0.684094E-04   0.582612E-03   0.206582E-04   0.102367E-02   0.192523E+03   0.000000E+00   0.000000E+00   0.192523E+03  -0.385046E+03
   0.100995E+03   0.684094E-04   0.420942E-03   0.206582E-04   0.102367E-02   0.193403E+03   0.000000E+00   0.000000E+00   0.193403E+03  -0.386806E+03
   0.100995E+03   0.684094E-04   0.161393E-03   0.206582E-04   0.102367E-02   0.194399E+03   0.000000E+00   0.000000E+00   0.194399E+03  -0.388798E+03
   0.100995E+03   0.684094E-04   0.161393E-03   0.206582E-04   0.102367E-02   0.194399E+03   0.000000E+00   0.000000E+00   0.194399E+03  -0.388798E+03
   0.100995E+03   0.684094E-04   0.161393E-03   0.206582E-04   0.102367E-02   0.194399E+03   0.000000E+00   0.000000E+00   0.194399E+03  -0.388798E+03
   0.100995E+03   0.684094E-04   0.161393E-03   0.206582E-04   0.102367E-02   0.194399E+03   0.000000E+00   0.000000E+00   0.194399E+03  -0.388798E+03
   0.100995E+03   0.544863E-03   0.161393E-03   0.206582E-04   0.726776E-03   0.192720E+03   0.000000E+00   0.000000E+00   0.192720E+03  -0.385440E+03
   0.100995E+03   0.544863E-03   0.161393E-03   0.206582E-04   0.993545E-03   0.193423E+03   0.000000E+00   0.000000E+00   0.193423E+03  -0.386846E+03
   0.100995E+03   0.544863E-03   0.301302E-03   0.206582E-04   0.993545E-03   0.192974E+03   0.000000E+00   0.000000E+00   0.192974E+03  -0.385948E+03
   0.100995E+03   0.544863E-03   0.301302E-03   0.265708E-03   0.993545E-03   0.192135E+03   0.000000E+00   0.000000E+00   0.192135E+03  -0.384270E+03
