a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100518E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181737E+03
  0.100518E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181737E+03
  0.100518E+03 -0.100623E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.140658E-02  0.180770E+03
  0.100518E+03  0.412990E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.140658E-02  0.181137E+03
  0.100518E+03 -0.117614E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.124155E-02  0.181100E+03
  0.100518E+03  0.127931E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.124155E-02  0.181595E+03
  0.100518E+03  0.127931E+01  0.100000E-02  0.100000E-02  0.886075E-03  0.124155E-02  0.182323E+03
  0.100518E+03 -0.664153E+00  0.100000E-02  0.100000E-02  0.727263E-03  0.124155E-02  0.183132E+03
  0.100518E+03 -0.664153E+00  0.100000E-02  0.100000E-02  0.727263E-03  0.124155E-02  0.183132E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.100000E-02  0.727263E-03  0.124155E-02  0.182353E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184659E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184659E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184659E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184659E+03
  0.100518E+03  0.293497E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185759E+03
  0.100518E+03  0.309279E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185743E+03
  0.100518E+03  0.309279E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185743E+03
  0.100518E+03  0.309279E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185743E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185597E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185597E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185597E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185597E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185597E+03
  0.100518E+03 -0.117703E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185407E+03
  0.100518E+03  0.371960E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185648E+03
  0.100518E+03 -0.149309E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184841E+03
  0.100518E+03 -0.349982E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183559E+03
  0.100518E+03 -0.349982E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183559E+03
  0.100518E+03  0.548974E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185093E+03
  0.100518E+03  0.548974E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.185093E+03
  0.100518E+03  0.573115E+01  0.100000E-02  0.861212E-03  0.727263E-03  0.124155E-02  0.183403E+03
  0.100518E+03  0.650919E+01  0.100000E-02  0.861212E-03  0.600717E-03  0.124155E-02  0.183615E+03
  0.100518E+03  0.385521E+01  0.100000E-02  0.861212E-03  0.845505E-03  0.124155E-02  0.183264E+03
  0.100518E+03  0.385521E+01  0.100000E-02  0.861212E-03  0.845505E-03  0.124155E-02  0.183264E+03
  0.100518E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.184563E+03
  0.100518E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.184563E+03
  0.100518E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.184563E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.184531E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.124155E-02  0.185527E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.124155E-02  0.185527E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.124155E-02  0.185527E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.129083E-02  0.185413E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.632923E-03  0.684039E-03  0.129083E-02  0.186712E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.705705E-03  0.684039E-03  0.129083E-02  0.186298E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.684039E-03  0.129083E-02  0.185281E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.684039E-03  0.129083E-02  0.185281E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187583E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187583E+03
  0.994961E+02 -0.997930E+00  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.188301E+03
  0.994961E+02 -0.997930E+00  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.188301E+03
  0.994961E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.188099E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187882E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187882E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187882E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.110343E-02  0.188415E+03
