a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100721E+03   0.292135E+01   0.731534E+01   0.366711E-03   0.347412E-03   0.139452E-03   0.751119E-03   0.191553E+03
   0.100721E+03   0.292135E+01   0.668564E+01   0.366711E-03   0.347412E-03   0.139452E-03   0.751119E-03   0.191816E+03
   0.100721E+03   0.292135E+01   0.668564E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.191382E+03
   0.101985E+03   0.449464E+00   0.574412E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.190727E+03
   0.100914E+03   0.318746E+01   0.574412E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.191772E+03
   0.100594E+03   0.318746E+01   0.482230E+01   0.366711E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.191737E+03
   0.100594E+03   0.318746E+01   0.482230E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.192182E+03
   0.100594E+03   0.234275E+01   0.225349E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.192828E+03
   0.100134E+03   0.234275E+01   0.225349E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.192287E+03
   0.100134E+03  -0.235377E+00   0.225349E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.751119E-03   0.191675E+03
   0.100565E+03  -0.121224E+01   0.198099E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.107122E-02   0.191894E+03
   0.101504E+03   0.293440E+01  -0.142220E+01   0.101668E-03   0.347412E-03   0.264232E-03   0.107122E-02   0.191854E+03
   0.101504E+03   0.293440E+01   0.465250E+01   0.186563E-03   0.347412E-03   0.105289E-03   0.107122E-02   0.192998E+03
   0.101504E+03   0.293440E+01  -0.210545E+01   0.186563E-03   0.347412E-03   0.105289E-03   0.107122E-02   0.191735E+03
   0.101504E+03  -0.120327E+00  -0.210545E+01   0.186563E-03   0.347412E-03   0.105289E-03   0.107122E-02   0.192139E+03
   0.101504E+03  -0.120327E+00  -0.210545E+01   0.186563E-03   0.347412E-03   0.105289E-03   0.107122E-02   0.192139E+03
   0.101504E+03  -0.120327E+00   0.769293E+01   0.186563E-03   0.347412E-03   0.105289E-03   0.107122E-02   0.192525E+03
