a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180750E+03
  0.100000E+03  0.000000E+00 -0.677110E+01 -0.670349E+01  0.125884E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180454E+03
  0.100000E+03 -0.100623E+01  0.851433E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.180499E+03
  0.100000E+03 -0.100623E+01  0.851433E+00 -0.119830E+02  0.102023E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.181053E+03
  0.100000E+03 -0.133630E+01  0.851433E+00 -0.952755E+01  0.102023E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.181196E+03
  0.100000E+03 -0.133630E+01 -0.255412E+01  0.127137E+01  0.102023E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.181048E+03
  0.100000E+03 -0.133630E+01 -0.287174E+01  0.351260E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.182528E+03
  0.100000E+03 -0.133630E+01  0.415998E+01 -0.921186E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.182437E+03
  0.100000E+03 -0.133630E+01 -0.994870E+01  0.225454E+00  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.182091E+03
  0.100000E+03 -0.133630E+01 -0.164754E+02 -0.142681E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.180429E+03
  0.100000E+03  0.355667E+00 -0.164754E+02 -0.755645E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.181392E+03
  0.100000E+03  0.355667E+00 -0.436790E+01  0.685787E+00  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.183443E+03
  0.100000E+03  0.355667E+00 -0.436790E+01  0.685787E+00  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.183443E+03
  0.100000E+03  0.355667E+00 -0.436790E+01 -0.106344E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182581E+03
  0.100000E+03  0.802783E+00 -0.436790E+01 -0.106344E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182600E+03
  0.100000E+03  0.802783E+00  0.638299E+00 -0.106344E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182216E+03
  0.100000E+03  0.802783E+00 -0.656086E+01 -0.106344E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182559E+03
  0.100000E+03  0.802783E+00 -0.606529E+01 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182235E+03
  0.100000E+03  0.802783E+00  0.203203E+01 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181469E+03
  0.100000E+03  0.802783E+00 -0.509506E+00 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181915E+03
  0.100000E+03  0.802783E+00 -0.382095E+01 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182208E+03
  0.100000E+03  0.266399E+01 -0.322263E+01 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181870E+03
  0.100000E+03  0.851122E+00 -0.322263E+01 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.181022E+03
  0.100000E+03  0.154780E+01 -0.347572E+01 -0.134946E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.180978E+03
  0.100490E+03  0.154780E+01 -0.142747E+02  0.435910E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.180139E+03
  0.100490E+03  0.914715E+00 -0.546165E+01  0.582460E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.181499E+03
  0.100490E+03  0.914715E+00 -0.546165E+01  0.582460E+01  0.120566E-02  0.100000E-02  0.100000E-02  0.653124E-03  0.178988E+03
  0.100312E+03  0.914715E+00 -0.546165E+01  0.582460E+01  0.325631E-05  0.100000E-02  0.100000E-02  0.202737E-02  0.181554E+03
  0.100312E+03  0.591784E+00 -0.301089E+01  0.787980E+01  0.325631E-05  0.100000E-02  0.100000E-02  0.776327E-03  0.183327E+03
  0.100312E+03  0.591784E+00 -0.491517E+01  0.787980E+01  0.325631E-05  0.100000E-02  0.100000E-02  0.776327E-03  0.183042E+03
  0.100312E+03  0.591784E+00 -0.581779E+01  0.912016E+01  0.325631E-05  0.100000E-02  0.100000E-02  0.776327E-03  0.182669E+03
  0.100312E+03  0.861278E+01 -0.590340E+01  0.204080E+02  0.760377E-04  0.100000E-02  0.100000E-02  0.776327E-03  0.180916E+03
  0.100312E+03  0.861278E+01  0.565417E+01  0.135664E+02  0.760377E-04  0.100000E-02  0.100000E-02  0.776327E-03  0.184259E+03
  0.100312E+03  0.117829E+02  0.929332E+00  0.183844E+02  0.760377E-04  0.100000E-02  0.419668E-03  0.776327E-03  0.183325E+03
  0.100312E+03  0.117829E+02  0.929332E+00  0.183850E+02  0.760377E-04  0.100000E-02  0.419668E-03  0.150693E-02  0.182312E+03
  0.100312E+03  0.109675E+02  0.116574E+01  0.183850E+02  0.608718E-03  0.100000E-02  0.250135E-03  0.150693E-02  0.181686E+03
  0.100312E+03  0.109675E+02  0.468495E+01  0.183850E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.150693E-02  0.182779E+03
  0.100312E+03  0.109675E+02  0.961846E+01  0.183850E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.150693E-02  0.182356E+03
  0.100312E+03  0.109675E+02  0.961846E+01  0.183850E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.689158E-03  0.184461E+03
  0.100312E+03  0.109675E+02  0.961846E+01  0.180102E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.689158E-03  0.184469E+03
  0.100312E+03  0.109675E+02  0.961846E+01  0.180102E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.689158E-03  0.184469E+03
  0.100312E+03  0.109675E+02  0.961846E+01  0.180102E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.689158E-03  0.184469E+03
  0.100312E+03  0.109675E+02  0.644857E+01  0.180102E+02  0.608718E-03  0.675554E-04  0.250135E-03  0.689158E-03  0.185744E+03
  0.100312E+03  0.100036E+02  0.551433E+01  0.105563E+02  0.671482E-04  0.675554E-04  0.250135E-03  0.689158E-03  0.188016E+03
  0.100312E+03  0.100036E+02  0.113916E+02  0.105563E+02  0.114988E-04  0.675554E-04  0.250135E-03  0.689158E-03  0.184597E+03
  0.100312E+03  0.100036E+02  0.113916E+02  0.196417E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.184864E+03
  0.100312E+03  0.100913E+02  0.817504E+01  0.196417E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.186975E+03
  0.100312E+03  0.827659E+01  0.817504E+01  0.196088E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.187728E+03
  0.100312E+03  0.827659E+01  0.817504E+01  0.196088E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.187728E+03
  0.100312E+03  0.827659E+01  0.817504E+01  0.484501E+01  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.187647E+03
  0.100312E+03  0.827659E+01  0.681873E+01  0.484501E+01  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.188314E+03
  0.100312E+03  0.827659E+01  0.681873E+01  0.484501E+01  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.188314E+03
  0.100312E+03  0.827659E+01  0.483305E+01  0.702370E+01  0.114988E-04  0.262591E-03  0.250135E-03  0.689158E-03  0.189592E+03
  0.100312E+03  0.827659E+01  0.483305E+01  0.166531E+02  0.114988E-04  0.216796E-03  0.250135E-03  0.689158E-03  0.189815E+03
  0.100312E+03  0.827659E+01  0.823307E+01  0.166531E+02  0.114988E-04  0.216796E-03  0.250135E-03  0.689158E-03  0.188610E+03
  0.100312E+03  0.827659E+01  0.193670E+01  0.166531E+02  0.114988E-04  0.216796E-03  0.250135E-03  0.106513E-02  0.189830E+03
  0.100312E+03  0.827659E+01  0.193670E+01  0.166531E+02  0.114988E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.190022E+03
  0.100312E+03  0.827659E+01  0.193670E+01  0.319857E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.189013E+03
  0.100312E+03  0.335847E+01  0.193670E+01  0.656752E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.193190E+03
  0.100312E+03  0.335847E+01  0.613075E+00  0.656752E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.193303E+03
  0.100312E+03  0.335847E+01  0.613075E+00  0.296995E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.193447E+03
  0.100312E+03  0.217800E+01  0.613075E+00 -0.238280E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.193236E+03
  0.100312E+03  0.217800E+01  0.613075E+00  0.816836E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.192698E+03
  0.100312E+03  0.217800E+01  0.206874E+01  0.816836E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.192519E+03
  0.100312E+03  0.217800E+01  0.206874E+01  0.694448E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.192792E+03
  0.100312E+03  0.217800E+01  0.206874E+01  0.283251E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.193271E+03
  0.100312E+03  0.217800E+01  0.206874E+01  0.283251E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.868302E-03  0.193271E+03
  0.100312E+03  0.295954E+01  0.206874E+01 -0.114799E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191625E+03
  0.100312E+03  0.295954E+01  0.206874E+01 -0.114799E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191625E+03
  0.100312E+03  0.295954E+01  0.206874E+01 -0.114799E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.152176E-02  0.191625E+03
