               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.989876E+02  -0.816790E+01  -0.150650E+02  -0.337768E+02   0.253683E-05   0.302398E-05   0.815374E-05   0.348427E-03
Maximum           0.103218E+03   0.996031E+01   0.122610E+02   0.256610E+02   0.137261E-02   0.699539E-03   0.119771E-02   0.295671E-02
Range             0.423040E+01   0.181282E+02   0.273260E+02   0.594378E+02   0.137007E-02   0.696515E-03   0.118956E-02   0.260828E-02
Mean              0.101294E+03   0.162246E+01   0.145294E+01  -0.116202E+01   0.352059E-03   0.204190E-03   0.309321E-03   0.124832E-02
Median            0.101236E+03   0.206245E+01   0.167202E+01  -0.673556E+00   0.236953E-03   0.168389E-03   0.283898E-03   0.117099E-02
Q10%              0.100543E+03  -0.336435E+01  -0.505066E+01  -0.160579E+02   0.752107E-04   0.288432E-04   0.863574E-04   0.733276E-03
Q25%              0.100716E+03  -0.732034E+00  -0.195795E+01  -0.851622E+01   0.138244E-03   0.722805E-04   0.146407E-03   0.914211E-03
Q75%              0.101798E+03   0.437409E+01   0.506549E+01   0.637983E+01   0.483234E-03   0.323356E-03   0.443857E-03   0.149920E-02
Q90%              0.102207E+03   0.626568E+01   0.770725E+01   0.119111E+02   0.819295E-03   0.458607E-03   0.596385E-03   0.178877E-02
St.Dev.           0.747062E+00   0.360392E+01   0.485683E+01   0.104691E+02   0.295403E-03   0.172959E-03   0.230594E-03   0.484652E-03
Variance          0.558102E+00   0.129882E+02   0.235888E+02   0.109602E+03   0.872629E-07   0.299150E-07   0.531734E-07   0.234887E-06
CV                0.737516E-02   0.222127E+01   0.334276E+01   0.900939E+01   0.839072E+00   0.847053E+00   0.745484E+00   0.388243E+00
Skewness          0.439094E-01  -0.388629E+00  -0.266099E+00  -0.261098E+00   0.141943E+01   0.993907E+00   0.155478E+01   0.119458E+01
Kurtosis          0.671541E-01  -0.162661E+00  -0.828073E-01  -0.362802E+00   0.176037E+01   0.123468E+00   0.338392E+01   0.215108E+01
MaxPost           0.100665E+03   0.352933E+01   0.262589E+01   0.409634E+01   0.178969E-03   0.923244E-04   0.240895E-04   0.846193E-03
