               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.100595E+03  -0.535664E+00  -0.856853E+01  -0.108387E+02  -0.905714E+01   0.108668E-04   0.166468E-05   0.149531E-04   0.377344E-03
Maximum           0.112633E+03   0.204017E+02   0.577846E+02   0.408381E+02   0.719533E+02   0.143117E-02   0.170825E-02   0.113483E-02   0.346787E-02
Range             0.120380E+02   0.209374E+02   0.663531E+02   0.516768E+02   0.810104E+02   0.142030E-02   0.170659E-02   0.111988E-02   0.309053E-02
Mean              0.105896E+03   0.104136E+02   0.270250E+02   0.190018E+02   0.341649E+02   0.420568E-03   0.296348E-03   0.278427E-03   0.110515E-02
Median            0.105539E+03   0.111195E+02   0.261951E+02   0.199128E+02   0.332675E+02   0.308056E-03   0.257009E-03   0.235605E-03   0.967717E-03
Q10%              0.103068E+03   0.270575E+01   0.136471E+02   0.421310E+01   0.134876E+02   0.839728E-04   0.109299E-03   0.718180E-04   0.719752E-03
Q25%              0.103915E+03   0.743051E+01   0.184560E+02   0.134092E+02   0.243396E+02   0.182853E-03   0.171224E-03   0.160535E-03   0.808723E-03
Q75%              0.107587E+03   0.145387E+02   0.352049E+02   0.258795E+02   0.442414E+02   0.590815E-03   0.334211E-03   0.391025E-03   0.119732E-02
Q90%              0.110167E+03   0.163582E+02   0.445596E+02   0.305430E+02   0.574908E+02   0.957200E-03   0.512581E-03   0.533986E-03   0.183737E-02
St.Dev.           0.265502E+01   0.503891E+01   0.122886E+02   0.997444E+01   0.159332E+02   0.325036E-03   0.219816E-03   0.184244E-03   0.455999E-03
Variance          0.704910E+01   0.253906E+02   0.151009E+03   0.994894E+02   0.253868E+03   0.105649E-06   0.483191E-07   0.339460E-07   0.207935E-06
CV                0.250720E-01   0.483879E+00   0.454711E+00   0.524922E+00   0.466362E+00   0.772851E+00   0.741749E+00   0.661733E+00   0.412611E+00
Skewness          0.493270E+00  -0.409249E+00   0.932284E-01  -0.453605E+00   0.514430E-01   0.106387E+01   0.270745E+01   0.137183E+01   0.196044E+01
Kurtosis         -0.213506E+00  -0.632964E+00  -0.539345E-01   0.899721E-01  -0.249094E+00   0.515754E+00   0.117875E+02   0.335689E+01   0.524225E+01
MaxPost           0.105895E+03   0.126951E+02   0.256833E+02   0.239894E+02   0.364341E+02   0.127145E-03   0.283688E-04   0.184287E-03   0.719752E-03
