a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101708E+03   0.550982E-04   0.948217E-03   0.240392E-03   0.284910E-03   0.555175E-03   0.221937E-03   0.259369E-03   0.610242E-03   0.147181E+03
   0.101708E+03   0.550982E-04   0.948217E-03   0.240392E-03   0.284910E-03   0.555175E-03   0.221937E-03   0.259369E-03   0.610242E-03   0.147181E+03
   0.101708E+03   0.550982E-04   0.948217E-03   0.240392E-03   0.284910E-03   0.555175E-03   0.221937E-03   0.259369E-03   0.610242E-03   0.147181E+03
   0.100695E+03   0.550982E-04   0.948217E-03   0.240392E-03   0.284910E-03   0.110279E-02   0.221937E-03   0.259369E-03   0.610242E-03   0.146433E+03
   0.100695E+03   0.550982E-04   0.948217E-03   0.240392E-03   0.284910E-03   0.110279E-02   0.221937E-03   0.259369E-03   0.203541E-03   0.147113E+03
   0.100695E+03   0.550982E-04   0.948217E-03   0.240392E-03   0.284910E-03   0.166825E-03   0.221937E-03   0.259369E-03   0.113515E-02   0.146930E+03
   0.100695E+03   0.550982E-04   0.948217E-03   0.551121E-04   0.141068E-02   0.166825E-03   0.221937E-03   0.259369E-03   0.113515E-02   0.145216E+03
   0.100695E+03   0.550982E-04   0.432974E-03   0.551121E-04   0.141068E-02   0.166825E-03   0.221937E-03   0.259369E-03   0.113515E-02   0.146390E+03
   0.100695E+03   0.550982E-04   0.240294E-03   0.551121E-04   0.141068E-02   0.166825E-03   0.221937E-03   0.259369E-03   0.869682E-04   0.148589E+03
   0.100695E+03   0.550982E-04   0.240294E-03   0.551121E-04   0.199035E-02   0.166825E-03   0.221937E-03   0.259369E-03   0.368686E-03   0.147443E+03
   0.100695E+03   0.550982E-04   0.240294E-03   0.551121E-04   0.199035E-02   0.166825E-03   0.221937E-03   0.837565E-03   0.368686E-03   0.146466E+03
   0.100695E+03   0.550982E-04   0.240294E-03   0.551121E-04   0.199035E-02   0.166825E-03   0.221937E-03   0.837565E-03   0.368686E-03   0.146466E+03
   0.100695E+03   0.550982E-04   0.240294E-03   0.551121E-04   0.218403E-02   0.166825E-03   0.221937E-03   0.837565E-03   0.368686E-03   0.146226E+03
   0.101330E+03   0.550982E-04   0.240294E-03   0.551121E-04   0.218403E-02   0.166825E-03   0.221937E-03   0.837565E-03   0.368686E-03   0.146188E+03
   0.100332E+03   0.550982E-04   0.745713E-03   0.551121E-04   0.218403E-02   0.166825E-03   0.221937E-03   0.837565E-03   0.485276E-03   0.144485E+03
   0.100673E+03   0.550982E-04   0.745713E-03   0.551121E-04   0.837587E-03   0.166825E-03   0.221937E-03   0.837565E-03   0.485276E-03   0.146942E+03
   0.100673E+03   0.550982E-04   0.119504E-02   0.551121E-04   0.837587E-03   0.166825E-03   0.510324E-03   0.837565E-03   0.485276E-03   0.145545E+03
   0.100673E+03   0.550982E-04   0.119504E-02   0.551121E-04   0.113603E-02   0.166825E-03   0.510324E-03   0.837565E-03   0.953672E-03   0.144071E+03
   0.100673E+03   0.550982E-04   0.119504E-02   0.551121E-04   0.104289E-02   0.166825E-03   0.460894E-03   0.567291E-03   0.953672E-03   0.144829E+03
   0.100673E+03   0.550982E-04   0.540494E-02   0.551121E-04   0.104289E-02   0.166825E-03   0.460894E-03   0.535004E-03   0.953672E-03   0.140761E+03
   0.100673E+03   0.125008E-02   0.722900E-02   0.551121E-04   0.104289E-02   0.166825E-03   0.460894E-03   0.535004E-03   0.119905E-02   0.137080E+03
   0.100673E+03   0.212099E-02   0.362949E-02   0.132850E-02   0.104289E-02   0.166825E-03   0.523254E-02   0.535004E-03   0.119905E-02   0.129924E+03
   0.103062E+03   0.212099E-02   0.342619E-02   0.126943E-02   0.142632E-02   0.431257E-03   0.365549E-02   0.535004E-03   0.119905E-02   0.130203E+03
   0.103062E+03   0.212099E-02   0.185762E-02   0.149507E-02   0.173214E-02   0.431257E-03   0.365549E-02   0.535004E-03   0.119905E-02   0.131038E+03
   0.103062E+03   0.303698E-03   0.185762E-02   0.138927E-02   0.173214E-02   0.431257E-03   0.449104E-03   0.535004E-03   0.119905E-02   0.137345E+03
   0.101678E+03   0.303698E-03   0.185762E-02   0.138927E-02   0.173214E-02   0.401879E-03   0.862124E-03   0.716350E-04   0.119905E-02   0.139252E+03
   0.102031E+03   0.303698E-03   0.185762E-02   0.138927E-02   0.154855E-02   0.401879E-03   0.862124E-03   0.569310E-03   0.119905E-02   0.138606E+03
   0.102031E+03   0.303698E-03   0.185762E-02   0.138927E-02   0.154855E-02   0.401879E-03   0.862124E-03   0.569310E-03   0.851511E-03   0.139292E+03
   0.102031E+03   0.905362E-04   0.151067E-02   0.516081E-02   0.154855E-02   0.401879E-03   0.862124E-03   0.569310E-03   0.851511E-03   0.136611E+03
   0.102031E+03   0.110854E-02   0.151067E-02   0.632238E-02   0.156204E-02   0.401879E-03   0.862124E-03   0.569310E-03   0.851511E-03   0.134153E+03
   0.102031E+03   0.711668E-03   0.350292E-03   0.114217E-02   0.156204E-02   0.401879E-03   0.862124E-03   0.100461E-02   0.851511E-03   0.140651E+03
   0.102031E+03   0.711668E-03   0.350292E-03   0.147851E-02   0.156204E-02   0.401879E-03   0.862124E-03   0.100461E-02   0.851511E-03   0.140131E+03
   0.102031E+03   0.711668E-03   0.184120E-02   0.147851E-02   0.156204E-02   0.401879E-03   0.748537E-03   0.917910E-03   0.851511E-03   0.137842E+03
   0.102031E+03   0.711668E-03   0.118112E-02   0.496400E-03   0.156204E-02   0.401879E-03   0.748537E-03   0.917910E-03   0.851511E-03   0.140396E+03
