               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.989477E+02   0.232859E-04   0.126558E-04   0.175265E-05   0.103696E-04   0.146413E-04   0.938745E-05   0.874081E-05   0.177484E-04
Maximum           0.103062E+03   0.569444E-02   0.116652E-01   0.734998E-02   0.886879E-02   0.718475E-02   0.523254E-02   0.643666E-02   0.418919E-02
Range             0.411430E+01   0.567115E-02   0.116525E-01   0.734823E-02   0.885842E-02   0.717011E-02   0.522315E-02   0.642792E-02   0.417144E-02
Mean              0.101317E+03   0.623977E-03   0.749344E-03   0.659121E-03   0.801664E-03   0.568737E-03   0.695019E-03   0.831183E-03   0.739011E-03
Median            0.101251E+03   0.363105E-03   0.462325E-03   0.462320E-03   0.644015E-03   0.367896E-03   0.440783E-03   0.572412E-03   0.581373E-03
Q10%              0.100443E+03   0.674796E-04   0.811959E-04   0.551121E-04   0.159704E-03   0.672479E-04   0.188048E-03   0.746729E-04   0.461640E-04
Q25%              0.100601E+03   0.137894E-03   0.134696E-03   0.216904E-03   0.316539E-03   0.211513E-03   0.249493E-03   0.197854E-03   0.172667E-03
Q75%              0.102031E+03   0.714454E-03   0.936005E-03   0.881906E-03   0.968567E-03   0.638909E-03   0.858494E-03   0.100554E-02   0.945765E-03
Q90%              0.102400E+03   0.131435E-02   0.184727E-02   0.138927E-02   0.155152E-02   0.127060E-02   0.158142E-02   0.198757E-02   0.142824E-02
St.Dev.           0.788290E+00   0.829702E-03   0.110014E-02   0.806402E-03   0.774071E-03   0.751300E-03   0.710541E-03   0.101481E-02   0.822647E-03
Variance          0.621401E+00   0.688406E-06   0.121031E-05   0.650285E-06   0.599185E-06   0.564451E-06   0.504869E-06   0.102984E-05   0.676748E-06
CV                0.778044E-02   0.132970E+01   0.146814E+01   0.122345E+01   0.965580E+00   0.132100E+01   0.102233E+01   0.122092E+01   0.111317E+01
Skewness         -0.717985E-02   0.362216E+01   0.441686E+01   0.471055E+01   0.425308E+01   0.430947E+01   0.245769E+01   0.264843E+01   0.214705E+01
Kurtosis         -0.776730E+00   0.166393E+02   0.302738E+02   0.319098E+02   0.330758E+02   0.254919E+02   0.779042E+01   0.785034E+01   0.475532E+01
MaxPost           0.101218E+03   0.343848E-03   0.134580E-03   0.685460E-04   0.517594E-04   0.673795E-04   0.357855E-03   0.112237E-03   0.440563E-04
