a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.100922E+03  -0.449408E+01   0.235079E-03   0.127753E-03   0.601564E-03   0.109246E-02   0.402624E-03   0.562564E-03   0.966867E-03   0.718233E-03   0.142794E+03
   0.100922E+03  -0.449408E+01   0.269006E-03   0.127753E-03   0.601564E-03   0.109246E-02   0.402624E-03   0.562564E-03   0.966867E-03   0.718233E-03   0.142741E+03
   0.100922E+03  -0.326711E-01   0.269006E-03   0.127753E-03   0.601564E-03   0.109246E-02   0.662172E-03   0.562564E-03   0.966867E-03   0.718233E-03   0.144738E+03
   0.100922E+03  -0.326711E-01   0.269006E-03   0.127753E-03   0.601564E-03   0.161290E-02   0.245594E-02   0.562564E-03   0.966867E-03   0.718233E-03   0.141113E+03
   0.100922E+03  -0.743123E+00   0.269006E-03   0.127753E-03   0.601564E-03   0.161290E-02   0.624484E-02   0.562564E-03   0.873727E-03   0.718233E-03   0.138504E+03
   0.100922E+03   0.343201E+01   0.269006E-03   0.127753E-03   0.601564E-03   0.161290E-02   0.749353E-02   0.562564E-03   0.873727E-03   0.910012E-03   0.137197E+03
   0.100922E+03   0.343201E+01   0.175433E-02   0.127753E-03   0.601564E-03   0.161290E-02   0.466608E-02   0.562564E-03   0.371899E-03   0.169383E-02   0.135550E+03
   0.100791E+03   0.637646E+01   0.199232E-02   0.127753E-03   0.537321E-02   0.971973E-03   0.447000E-02   0.188977E-02   0.371899E-03   0.151087E-02   0.128117E+03
   0.100410E+03   0.714333E+01   0.199232E-02   0.127753E-03   0.364279E-02   0.971973E-03   0.190029E-02   0.188977E-02   0.650466E-03   0.151087E-02   0.130419E+03
   0.100410E+03  -0.328101E+00   0.854655E-03   0.127753E-03   0.342551E-03   0.971973E-03   0.179449E-02   0.188977E-02   0.650466E-03   0.151087E-02   0.138724E+03
   0.100410E+03  -0.106804E+01   0.854655E-03   0.127753E-03   0.342551E-03   0.971973E-03   0.179449E-02   0.227635E-02   0.650466E-03   0.109383E-02   0.138788E+03
   0.100803E+03  -0.106804E+01   0.635404E-03   0.127753E-03   0.396578E-03   0.107366E-02   0.179449E-02   0.268250E-02   0.650466E-03   0.109383E-02   0.138726E+03
   0.100803E+03  -0.106804E+01   0.635404E-03   0.127753E-03   0.396578E-03   0.687512E-03   0.179449E-02   0.246934E-02   0.650466E-03   0.124434E-02   0.139387E+03
   0.100803E+03  -0.106804E+01   0.635404E-03   0.127753E-03   0.396578E-03   0.687512E-03   0.179449E-02   0.191520E-02   0.650466E-03   0.125526E-02   0.140050E+03
   0.100803E+03   0.395952E+01   0.635404E-03   0.127753E-03   0.396578E-03   0.181862E-02   0.209303E-02   0.191520E-02   0.650466E-03   0.125526E-02   0.137750E+03
   0.100803E+03   0.395952E+01   0.635404E-03   0.127753E-03   0.396578E-03   0.202191E-03   0.788935E-03   0.277053E-02   0.240189E-03   0.164703E-02   0.141809E+03
   0.101913E+03   0.727265E+01   0.635404E-03   0.127753E-03   0.396578E-03   0.759830E-04   0.788935E-03   0.277053E-02   0.101073E-02   0.164703E-02   0.139918E+03
   0.101913E+03   0.727265E+01   0.635404E-03   0.314219E-04   0.396578E-03   0.759830E-04   0.788935E-03   0.211044E-02   0.101073E-02   0.215057E-02   0.140000E+03
   0.101913E+03   0.727265E+01   0.635404E-03   0.314219E-04   0.396578E-03   0.759830E-04   0.788935E-03   0.986343E-03   0.101073E-02   0.215057E-02   0.141343E+03
   0.101913E+03   0.727265E+01   0.635404E-03   0.314219E-04   0.260655E-03   0.759830E-04   0.788935E-03   0.986343E-03   0.101073E-02   0.101688E-02   0.143133E+03
   0.101913E+03   0.727265E+01   0.635404E-03   0.314219E-04   0.260655E-03   0.759830E-04   0.788935E-03   0.127389E-02   0.282824E-03   0.230251E-03   0.143991E+03
   0.101913E+03   0.411191E+01   0.635404E-03   0.314219E-04   0.190507E-02   0.759830E-04   0.788935E-03   0.127389E-02   0.282824E-03   0.230251E-03   0.143264E+03
   0.101913E+03   0.411191E+01   0.635404E-03   0.314219E-04   0.190507E-02   0.759830E-04   0.788935E-03   0.127389E-02   0.282824E-03   0.230251E-03   0.143264E+03
   0.101913E+03   0.411191E+01   0.635404E-03   0.314219E-04   0.477457E-04   0.276979E-03   0.788935E-03   0.127389E-02   0.282824E-03   0.230251E-03   0.146041E+03
   0.100670E+03   0.583713E+01   0.561403E-03   0.314219E-04   0.477457E-04   0.276979E-03   0.788935E-03   0.127389E-02   0.282824E-03   0.230251E-03   0.145502E+03
   0.101622E+03  -0.197915E+01   0.449192E-03   0.314219E-04   0.477457E-04   0.276979E-03   0.303484E-03   0.317009E-03   0.282824E-03   0.513322E-03   0.148023E+03
   0.101622E+03  -0.197915E+01   0.449192E-03   0.314219E-04   0.477457E-04   0.276979E-03   0.303484E-03   0.317009E-03   0.282824E-03   0.513322E-03   0.148023E+03
   0.101622E+03   0.390484E+01   0.430836E-03   0.314219E-04   0.477457E-04   0.276979E-03   0.303484E-03   0.317009E-03   0.282824E-03   0.513322E-03   0.148911E+03
   0.101622E+03   0.339656E+00   0.430836E-03   0.314219E-04   0.477457E-04   0.276979E-03   0.303484E-03   0.317009E-03   0.250055E-03   0.513322E-03   0.149283E+03
   0.101674E+03   0.339656E+00   0.430836E-03   0.122154E-03   0.477457E-04   0.276979E-03   0.303484E-03   0.317009E-03   0.250055E-03   0.513322E-03   0.149144E+03
   0.101674E+03   0.339656E+00   0.430836E-03   0.122154E-03   0.948734E-03   0.276979E-03   0.303484E-03   0.529676E-03   0.250055E-03   0.513322E-03   0.147650E+03
   0.101674E+03   0.339656E+00   0.241366E-03   0.122154E-03   0.948734E-03   0.175660E-02   0.303484E-03   0.529676E-03   0.250055E-03   0.160966E-03   0.145954E+03
