               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.995578E+02  -0.463421E+01   0.303008E-06   0.142791E-06   0.102872E-04   0.350663E-04   0.890025E-05   0.511108E-05   0.187783E-04   0.220620E-05
Maximum           0.102684E+03   0.775766E+01   0.324646E-02   0.193899E-02   0.717184E-02   0.101177E-01   0.749353E-02   0.416057E-02   0.340075E-02   0.683913E-02
Range             0.312620E+01   0.123919E+02   0.324616E-02   0.193885E-02   0.716155E-02   0.100826E-01   0.748463E-02   0.415546E-02   0.338197E-02   0.683692E-02
Mean              0.100944E+03   0.190463E+01   0.524153E-03   0.399347E-03   0.607688E-03   0.846892E-03   0.551703E-03   0.625257E-03   0.536584E-03   0.666657E-03
Median            0.100791E+03   0.182436E+01   0.382133E-03   0.273507E-03   0.339468E-03   0.455733E-03   0.318193E-03   0.463394E-03   0.413196E-03   0.492597E-03
Q10%              0.100047E+03  -0.840861E+00   0.366191E-04   0.701339E-04   0.111400E-03   0.575694E-04   0.825338E-04   0.842600E-04   0.447976E-04   0.134653E-03
Q25%              0.100502E+03   0.445808E+00   0.145603E-03   0.128159E-03   0.224748E-03   0.195670E-03   0.121053E-03   0.255613E-03   0.230186E-03   0.211178E-03
Q75%              0.101371E+03   0.341217E+01   0.638412E-03   0.541417E-03   0.816460E-03   0.812013E-03   0.634040E-03   0.758683E-03   0.716083E-03   0.852594E-03
Q90%              0.101981E+03   0.481522E+01   0.128584E-02   0.100359E-02   0.133228E-02   0.201409E-02   0.105284E-02   0.130689E-02   0.111259E-02   0.152763E-02
St.Dev.           0.694834E+00   0.229637E+01   0.522758E-03   0.386966E-03   0.790143E-03   0.123930E-02   0.873532E-03   0.637844E-03   0.466939E-03   0.670078E-03
Variance          0.482795E+00   0.527330E+01   0.273276E-06   0.149742E-06   0.624326E-06   0.153587E-05   0.763058E-06   0.406845E-06   0.218032E-06   0.449005E-06
CV                0.688334E-02   0.120568E+01   0.997337E+00   0.968997E+00   0.130025E+01   0.146335E+01   0.158334E+01   0.102013E+01   0.870206E+00   0.100513E+01
Skewness          0.345795E+00   0.189109E-01   0.188169E+01   0.173667E+01   0.389555E+01   0.372473E+01   0.469469E+01   0.263592E+01   0.203008E+01   0.292447E+01
Kurtosis         -0.607402E+00   0.219739E+00   0.429503E+01   0.275941E+01   0.211393E+02   0.175479E+02   0.273110E+02   0.902419E+01   0.714060E+01   0.180365E+02
MaxPost           0.101085E+03   0.268985E+01   0.145603E-03   0.264053E-03   0.347168E-03   0.575694E-04   0.323206E-03   0.842600E-04   0.230186E-03   0.315123E-03
