               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.993215E+02  -0.611845E+01  -0.151869E+02   0.786331E-05   0.786786E-05   0.133665E-05   0.105391E-04   0.192683E-05   0.132815E-04   0.772255E-06   0.915911E-05
Maximum           0.104156E+03   0.115066E+02   0.212723E+02   0.883876E-02   0.261567E-02   0.730238E-02   0.467100E-02   0.873225E-02   0.143953E-01   0.148620E-01   0.592242E-02
Range             0.483450E+01   0.176251E+02   0.364592E+02   0.883090E-02   0.260780E-02   0.730104E-02   0.466046E-02   0.873032E-02   0.143820E-01   0.148612E-01   0.591326E-02
Mean              0.101410E+03   0.168707E+01   0.154203E+01   0.742115E-03   0.438901E-03   0.650518E-03   0.667124E-03   0.949162E-03   0.829588E-03   0.745716E-03   0.860019E-03
Median            0.101399E+03   0.157954E+01   0.102594E+01   0.484715E-03   0.354156E-03   0.414377E-03   0.554108E-03   0.746696E-03   0.465930E-03   0.351164E-03   0.648681E-03
Q10%              0.997035E+02  -0.167910E+01  -0.817180E+01   0.276433E-04   0.700610E-04   0.770573E-04   0.714404E-04   0.695347E-04   0.165151E-03   0.922252E-04   0.654917E-04
Q25%              0.100875E+03  -0.367969E+00  -0.339918E+01   0.487327E-04   0.150809E-03   0.226057E-03   0.230394E-03   0.152449E-03   0.233990E-03   0.178101E-03   0.336958E-03
Q75%              0.102027E+03   0.355001E+01   0.642089E+01   0.954787E-03   0.536127E-03   0.910902E-03   0.754057E-03   0.137956E-02   0.104515E-02   0.763591E-03   0.104082E-02
Q90%              0.102889E+03   0.565340E+01   0.121614E+02   0.196944E-02   0.101558E-02   0.127955E-02   0.141876E-02   0.187340E-02   0.182089E-02   0.163099E-02   0.171871E-02
St.Dev.           0.110242E+01   0.298320E+01   0.741282E+01   0.945678E-03   0.408017E-03   0.767750E-03   0.625073E-03   0.108959E-02   0.119159E-02   0.152115E-02   0.886079E-03
Variance          0.121533E+01   0.889945E+01   0.549499E+02   0.894307E-06   0.166478E-06   0.589440E-06   0.390717E-06   0.118722E-05   0.141988E-05   0.231388E-05   0.785136E-06
CV                0.108709E-01   0.176827E+01   0.480717E+01   0.127430E+01   0.929634E+00   0.118021E+01   0.936968E+00   0.114795E+01   0.143636E+01   0.203985E+01   0.103030E+01
Skewness          0.280708E+00   0.354759E+00   0.252402E+00   0.337571E+01   0.215265E+01   0.383947E+01   0.239571E+01   0.274471E+01   0.575905E+01   0.591224E+01   0.254224E+01
Kurtosis          0.366927E+00   0.461764E+00  -0.265799E+00   0.197895E+02   0.583366E+01   0.224513E+02   0.949069E+01   0.112830E+02   0.497071E+02   0.410760E+02   0.870519E+01
MaxPost           0.100802E+03   0.195049E+01  -0.193271E+01   0.276433E-04   0.233436E-03   0.230744E-04   0.105391E-04   0.234183E-03   0.342104E-03   0.120010E-03   0.790110E-03
