a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101704E+03   0.691167E+00   0.403132E+01  -0.319900E+01   0.280304E-03   0.102438E-02   0.178613E-03   0.251437E-03   0.381037E-03   0.148317E-02   0.125831E-03   0.975969E-03   0.144816E+03
   0.101704E+03   0.691167E+00   0.403132E+01  -0.510358E+00   0.280304E-03   0.102438E-02   0.178613E-03   0.251437E-03   0.381037E-03   0.170303E-02   0.125831E-03   0.975969E-03   0.144392E+03
   0.101704E+03   0.691167E+00  -0.222372E+01  -0.972864E+01   0.280304E-03   0.102438E-02   0.178613E-03   0.251437E-03   0.381037E-03   0.625446E-03   0.125831E-03   0.975969E-03   0.146265E+03
   0.101704E+03  -0.243505E+01   0.975594E+01  -0.606336E+01   0.280304E-03   0.102438E-02   0.178613E-03   0.251437E-03   0.601812E-03   0.625446E-03   0.125831E-03   0.975969E-03   0.143524E+03
   0.101704E+03  -0.243505E+01   0.181509E+01  -0.606336E+01   0.280304E-03   0.102438E-02   0.178613E-03   0.251437E-03   0.569042E-03   0.625446E-03   0.151831E-03   0.975969E-03   0.145365E+03
   0.101704E+03  -0.243505E+01  -0.478174E+01  -0.606336E+01   0.280304E-03   0.102438E-02   0.178613E-03   0.251437E-03   0.569042E-03   0.625446E-03   0.151831E-03   0.975969E-03   0.144911E+03
   0.101704E+03  -0.243505E+01  -0.938020E+01  -0.298185E+01   0.280304E-03   0.205361E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.940754E-03   0.151831E-03   0.975969E-03   0.144129E+03
   0.102365E+03   0.549617E+01   0.499118E+01  -0.336472E+01   0.280304E-03   0.205361E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.134829E-02   0.310856E-03   0.975969E-03   0.145041E+03
   0.102365E+03   0.549617E+01   0.110202E+02   0.129534E+02   0.280304E-03   0.205361E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.310856E-03   0.628012E-03   0.146480E+03
   0.102365E+03   0.549617E+01   0.101887E+02   0.129534E+02   0.280304E-03   0.205361E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.604244E-03   0.628012E-03   0.145985E+03
   0.102365E+03   0.917656E+01   0.662408E+01   0.594588E+01   0.280304E-03   0.205361E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.604244E-03   0.628012E-03   0.144908E+03
   0.102365E+03   0.917656E+01   0.662408E+01   0.225344E+02   0.280304E-03   0.205361E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.208633E-03   0.628012E-03   0.145021E+03
   0.102365E+03   0.917656E+01   0.662408E+01   0.150466E+01   0.280304E-03   0.142005E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.208633E-03   0.628012E-03   0.143957E+03
   0.102365E+03   0.309913E+01   0.662408E+01   0.214013E+01   0.280304E-03   0.142005E-03   0.174358E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.284433E-03   0.628012E-03   0.146986E+03
   0.102365E+03   0.309913E+01   0.662408E+01  -0.328870E+01   0.280304E-03   0.181045E-03   0.163448E-03   0.251437E-03   0.569042E-03   0.104182E-02   0.284433E-03   0.628012E-03   0.146723E+03
   0.102365E+03   0.309913E+01   0.607213E+01  -0.328870E+01   0.280304E-03   0.181045E-03   0.163448E-03   0.251437E-03   0.813597E-03   0.104182E-02   0.940961E-03   0.628012E-03   0.145247E+03
   0.101888E+03   0.309913E+01   0.636234E+01   0.136182E+01   0.280304E-03   0.181045E-03   0.163448E-03   0.251437E-03   0.813597E-03   0.104182E-02   0.940961E-03   0.628012E-03   0.145672E+03
   0.101888E+03   0.549398E+01   0.636234E+01   0.581186E+01   0.280304E-03   0.181045E-03   0.163448E-03   0.251437E-03   0.813597E-03   0.104182E-02   0.940961E-03   0.628012E-03   0.145501E+03
   0.101888E+03   0.491053E+01   0.109312E+02   0.197692E+02   0.280304E-03   0.181045E-03   0.163448E-03   0.823482E-04   0.813597E-03   0.104182E-02   0.940961E-03   0.628012E-03   0.143942E+03
   0.101888E+03   0.104756E+02   0.109312E+02   0.197692E+02   0.280304E-03   0.181045E-03   0.393331E-03   0.823482E-04   0.813597E-03   0.104182E-02   0.940961E-03   0.142818E-02   0.142017E+03
   0.103252E+03   0.819780E+01   0.145574E+02   0.198220E+02   0.280304E-03   0.181045E-03   0.393331E-03   0.823482E-04   0.813597E-03   0.104182E-02   0.940961E-03   0.142818E-02   0.142945E+03
   0.103252E+03   0.821117E+01   0.632690E+01   0.961539E+01   0.280304E-03   0.181045E-03   0.393331E-03   0.823482E-04   0.813597E-03   0.104182E-02   0.487586E-03   0.142818E-02   0.142705E+03
   0.103252E+03   0.821117E+01   0.111197E+02   0.991997E+01   0.280304E-03   0.313565E-02   0.393331E-03   0.823482E-04   0.813597E-03   0.104182E-02   0.487586E-03   0.142818E-02   0.139476E+03
   0.103252E+03   0.821117E+01   0.111197E+02   0.130015E+02   0.280304E-03   0.367102E-02   0.393331E-03   0.191025E-03   0.702323E-03   0.104182E-02   0.487586E-03   0.142818E-02   0.139270E+03
   0.101924E+03   0.641267E+01   0.848290E+01   0.434208E+01   0.280304E-03   0.312148E-02   0.393331E-03   0.191025E-03   0.702323E-03   0.444820E-03   0.487586E-03   0.411242E-03   0.142278E+03
   0.101924E+03   0.641267E+01   0.989723E+01   0.108310E+02   0.280304E-03   0.479335E-02   0.393331E-03   0.191025E-03   0.702323E-03   0.444820E-03   0.487586E-03   0.411242E-03   0.141433E+03
   0.101924E+03   0.641267E+01   0.369941E+01   0.135309E+02   0.280304E-03   0.300583E-02   0.393331E-03   0.307316E-03   0.702323E-03   0.444820E-03   0.487586E-03   0.411242E-03   0.142687E+03
   0.101589E+03   0.497442E+01   0.488435E+01   0.898616E+01   0.280304E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.702323E-03   0.444820E-03   0.487586E-03   0.411242E-03   0.147460E+03
   0.101589E+03   0.497442E+01   0.100387E+01   0.898616E+01   0.258637E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.702323E-03   0.444820E-03   0.487586E-03   0.411242E-03   0.147171E+03
