a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.135891E+03
  0.100000E+03  0.000000E+00 -0.847638E+01 -0.670349E+01  0.125884E-02  0.496885E-03  0.176793E-02  0.100000E-02  0.100000E-02  0.140658E-02  0.100000E-02  0.106237E-02  0.136196E+03
  0.100000E+03  0.000000E+00 -0.847638E+01 -0.119830E+02  0.102023E-02  0.496885E-03  0.176793E-02  0.100000E-02  0.100000E-02  0.124155E-02  0.100000E-02  0.229009E-02  0.134842E+03
  0.100000E+03  0.000000E+00 -0.847638E+01 -0.119830E+02  0.102023E-02  0.496885E-03  0.176793E-02  0.886075E-03  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.136447E+03
  0.100000E+03 -0.317625E+00 -0.623515E+01 -0.130971E+02  0.102023E-02  0.496885E-03  0.176793E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.137047E+03
  0.102197E+03 -0.317625E+00 -0.623515E+01 -0.130971E+02  0.102023E-02  0.496885E-03  0.135384E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.138983E+03
  0.102197E+03 -0.401670E+01 -0.623515E+01 -0.196238E+02  0.102023E-02  0.496885E-03  0.135384E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.229009E-02  0.138924E+03
  0.102197E+03 -0.401670E+01 -0.623515E+01 -0.196238E+02  0.102023E-02  0.496885E-03  0.135384E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.138839E+03
  0.102197E+03 -0.401670E+01 -0.103301E+02 -0.196238E+02  0.494186E-03  0.496885E-03  0.135384E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.139745E+03
  0.102197E+03 -0.401670E+01 -0.103301E+02 -0.196238E+02  0.837409E-03  0.496885E-03  0.157740E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.138630E+03
  0.102197E+03 -0.739556E+01 -0.103301E+02 -0.212644E+02  0.837409E-03  0.496885E-03  0.157740E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.282682E-04  0.236901E-02  0.136292E+03
  0.102197E+03 -0.739556E+01 -0.103301E+02 -0.212644E+02  0.837409E-03  0.496885E-03  0.157740E-02  0.874731E-04  0.100000E-02  0.124155E-02  0.276056E-03  0.938944E-03  0.136973E+03
  0.102197E+03 -0.739556E+01 -0.921372E+01 -0.212644E+02  0.837409E-03  0.496885E-03  0.106867E-03  0.874731E-04  0.100000E-02  0.124155E-02  0.276056E-03  0.938944E-03  0.140141E+03
  0.102197E+03 -0.739556E+01 -0.921372E+01 -0.136671E+02  0.837409E-03  0.496885E-03  0.106867E-03  0.874731E-04  0.100000E-02  0.124155E-02  0.276056E-03  0.938944E-03  0.139336E+03
  0.102197E+03  0.159400E+01  0.418509E+00 -0.136671E+02  0.837409E-03  0.496885E-03  0.106867E-03  0.874731E-04  0.100000E-02  0.124155E-02  0.276056E-03  0.238217E-02  0.141096E+03
  0.102197E+03  0.183541E+01  0.798571E+01 -0.131165E+02  0.837409E-03  0.496885E-03  0.106867E-03  0.874731E-04  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.138603E+03
  0.102197E+03  0.183541E+01  0.798571E+01  0.223878E+01  0.837409E-03  0.741673E-03  0.106867E-03  0.874731E-04  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.139768E+03
  0.102197E+03  0.183541E+01  0.798571E+01  0.223878E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.874731E-04  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.139233E+03
  0.102197E+03  0.183541E+01  0.947071E+01 -0.163654E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.874731E-04  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.139077E+03
  0.102197E+03  0.183541E+01  0.294333E+01 -0.813613E+00  0.110983E-02  0.741673E-03  0.106867E-03  0.874731E-04  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.139195E+03
  0.102197E+03  0.263743E-01  0.294333E+01 -0.348551E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.874731E-04  0.138902E-02  0.124155E-02  0.624394E-03  0.225562E-02  0.139151E+03
  0.102295E+03  0.263743E-01  0.472028E+01 -0.348551E+01  0.110983E-02  0.741673E-03  0.106867E-03  0.446694E-04  0.138902E-02  0.131433E-02  0.624394E-03  0.324564E-02  0.138019E+03
  0.101451E+03  0.263743E-01  0.472028E+01  0.807206E+01  0.110983E-02  0.204501E-03  0.106867E-03  0.446694E-04  0.138902E-02  0.131433E-02  0.624394E-03  0.483071E-02  0.137191E+03
  0.101451E+03  0.484433E+01  0.472028E+01  0.691140E+01  0.110983E-02  0.204501E-03  0.106867E-03  0.446694E-04  0.164930E-02  0.131433E-02  0.624394E-03  0.147629E-02  0.141390E+03
  0.101451E+03  0.484433E+01  0.472028E+01  0.691140E+01  0.110983E-02  0.204501E-03  0.639547E-03  0.446694E-04  0.147977E-02  0.131433E-02  0.109320E-03  0.147629E-02  0.141608E+03
  0.101451E+03  0.484433E+01  0.472028E+01 -0.223934E+01  0.110983E-02  0.204501E-03  0.639547E-03  0.446694E-04  0.147977E-02  0.131433E-02  0.109320E-03  0.147629E-02  0.140560E+03
  0.101451E+03  0.957829E+00  0.472028E+01 -0.731455E+00  0.110983E-02  0.204501E-03  0.639547E-03  0.446694E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.147629E-02  0.143011E+03
  0.101451E+03  0.583038E+00 -0.599839E+01 -0.931643E+01  0.110983E-02  0.204501E-03  0.639547E-03  0.446694E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.247404E-02  0.141958E+03
  0.101451E+03  0.583038E+00 -0.599839E+01 -0.152619E+01  0.110983E-02  0.204501E-03  0.639547E-03  0.446694E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.889095E-03  0.143841E+03
  0.101451E+03  0.583038E+00 -0.603716E+01 -0.117447E+02  0.110983E-02  0.204501E-03  0.172425E-03  0.446694E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.889095E-03  0.145231E+03
  0.101451E+03  0.583038E+00 -0.603716E+01 -0.586746E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.446694E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.889095E-03  0.145083E+03
  0.101451E+03  0.583038E+00 -0.603716E+01 -0.547739E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.889095E-03  0.145030E+03
  0.101451E+03 -0.362283E+00  0.237822E+01 -0.729214E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.539140E-03  0.131433E-02  0.109320E-03  0.889095E-03  0.145115E+03
  0.101451E+03 -0.362283E+00  0.237822E+01 -0.126743E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.539140E-03  0.121250E-02  0.109320E-03  0.889095E-03  0.145201E+03
  0.101451E+03 -0.362283E+00  0.758418E+01 -0.454213E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.109320E-03  0.889095E-03  0.141230E+03
  0.101451E+03 -0.362283E+00  0.758418E+01 -0.454213E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.109320E-03  0.889095E-03  0.141230E+03
  0.101451E+03 -0.362283E+00  0.758418E+01 -0.872007E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.635250E-04  0.889095E-03  0.140502E+03
  0.101451E+03 -0.362283E+00  0.758418E+01 -0.532005E+01  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.635250E-04  0.889095E-03  0.141157E+03
  0.101451E+03 -0.370194E+01  0.758418E+01 -0.104929E+02  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.635250E-04  0.889095E-03  0.140002E+03
  0.101451E+03 -0.370194E+01  0.758418E+01 -0.127398E+02  0.110983E-02  0.148852E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.635250E-04  0.779060E-03  0.139806E+03
