               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.994504E+02  -0.103687E+02  -0.226675E+02  -0.420588E+02   0.103973E-04   0.191597E-04   0.235759E-04   0.106115E-04   0.719303E-06   0.955266E-05   0.432535E-05   0.286951E-05
Maximum           0.105122E+03   0.145384E+02   0.250477E+02   0.324327E+02   0.689341E-02   0.935648E-02   0.581948E-02   0.574056E-02   0.592950E-02   0.613685E-02   0.151867E-01   0.780777E-02
Range             0.567160E+01   0.249071E+02   0.477152E+02   0.744915E+02   0.688301E-02   0.933732E-02   0.579590E-02   0.572995E-02   0.592878E-02   0.612730E-02   0.151824E-01   0.780490E-02
Mean              0.102157E+03   0.127576E+01   0.157972E+01  -0.466523E+01   0.719202E-03   0.574752E-03   0.603237E-03   0.853720E-03   0.563496E-03   0.944908E-03   0.863271E-03   0.934055E-03
Median            0.101734E+03   0.129491E+01   0.108471E+01  -0.298185E+01   0.452818E-03   0.264136E-03   0.311123E-03   0.640111E-03   0.354696E-03   0.647264E-03   0.578018E-03   0.725865E-03
Q10%              0.100825E+03  -0.402279E+01  -0.852462E+01  -0.296405E+02   0.174858E-03   0.102403E-03   0.150370E-03   0.180643E-03   0.294981E-04   0.103628E-03   0.713278E-04   0.126026E-03
Q25%              0.101474E+03  -0.118512E+01  -0.369274E+01  -0.142211E+02   0.280304E-03   0.161830E-03   0.168146E-03   0.280047E-03   0.809496E-04   0.425080E-03   0.192116E-03   0.384472E-03
Q75%              0.102585E+03   0.420638E+01   0.661326E+01   0.687982E+01   0.722435E-03   0.529239E-03   0.652881E-03   0.106178E-02   0.729962E-03   0.132175E-02   0.940961E-03   0.121267E-02
Q90%              0.104117E+03   0.602647E+01   0.111409E+02   0.128967E+02   0.140594E-02   0.130582E-02   0.129233E-02   0.210671E-02   0.114458E-02   0.225258E-02   0.171527E-02   0.205613E-02
St.Dev.           0.122032E+01   0.418056E+01   0.806922E+01   0.156386E+02   0.930012E-03   0.984478E-03   0.784202E-03   0.811165E-03   0.735128E-03   0.888240E-03   0.140035E-02   0.932495E-03
Variance          0.148918E+01   0.174771E+02   0.651123E+02   0.244565E+03   0.864922E-06   0.969197E-06   0.614972E-06   0.657989E-06   0.540413E-06   0.788971E-06   0.196098E-05   0.869546E-06
CV                0.119455E-01   0.327692E+01   0.510802E+01   0.335216E+01   0.129312E+01   0.171288E+01   0.129999E+01   0.950154E+00   0.130458E+01   0.940028E+00   0.162214E+01   0.998330E+00
Skewness          0.749344E+00  -0.401736E-01   0.204328E+00  -0.427218E+00   0.353957E+01   0.508890E+01   0.344002E+01   0.208195E+01   0.354512E+01   0.213271E+01   0.660325E+01   0.313579E+01
Kurtosis          0.217650E+00   0.234464E+00   0.413714E+00  -0.307633E+00   0.142963E+02   0.347945E+02   0.144425E+02   0.625192E+01   0.175615E+02   0.667766E+01   0.573331E+02   0.153069E+02
MaxPost           0.101544E+03   0.239516E+01   0.424457E+00   0.523159E+01   0.174858E-03   0.264136E-03   0.155463E-03   0.310636E-03   0.809496E-04   0.955266E-05   0.164692E-04   0.475947E-03
