a0_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100000E+03  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.125884E-02  0.100000E-02  0.100000E-02  0.136819E+03
  0.101102E+03  0.125884E-02  0.100000E-02  0.100000E-02  0.137450E+03
  0.101102E+03  0.125884E-02  0.100000E-02  0.100000E-02  0.137450E+03
  0.101102E+03  0.125884E-02  0.496885E-03  0.100000E-02  0.140379E+03
  0.101102E+03  0.125884E-02  0.496885E-03  0.100000E-02  0.140379E+03
  0.101226E+03  0.125884E-02  0.496885E-03  0.100000E-02  0.140432E+03
  0.101226E+03  0.125884E-02  0.496885E-03  0.761389E-03  0.141999E+03
  0.101226E+03  0.125884E-02  0.496885E-03  0.761389E-03  0.141999E+03
  0.100896E+03  0.125884E-02  0.496885E-03  0.761389E-03  0.141849E+03
  0.100896E+03  0.125884E-02  0.496885E-03  0.761389E-03  0.141849E+03
  0.100896E+03  0.125884E-02  0.496885E-03  0.647464E-03  0.142678E+03
  0.100896E+03  0.125884E-02  0.496885E-03  0.647464E-03  0.142678E+03
  0.100896E+03  0.110003E-02  0.496885E-03  0.904003E-04  0.146793E+03
  0.100896E+03  0.110003E-02  0.496885E-03  0.904003E-04  0.146793E+03
  0.100896E+03  0.110003E-02  0.496885E-03  0.904003E-04  0.146793E+03
  0.100896E+03  0.110003E-02  0.496885E-03  0.904003E-04  0.146793E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.827970E-04  0.904003E-04  0.148270E+03
  0.100896E+03  0.110003E-02  0.426020E-03  0.904003E-04  0.147157E+03
  0.101343E+03  0.110003E-02  0.426020E-03  0.904003E-04  0.147026E+03
  0.100516E+03  0.110003E-02  0.426020E-03  0.904003E-04  0.146873E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.904003E-04  0.149608E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.904003E-04  0.149608E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.904003E-04  0.149608E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.904003E-04  0.149608E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.279723E-03  0.426020E-03  0.338188E-03  0.148322E+03
  0.100516E+03  0.400429E-03  0.426020E-03  0.613488E-03  0.145959E+03
  0.100516E+03  0.400429E-03  0.426020E-03  0.613488E-03  0.145959E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
  0.101294E+03  0.400429E-03  0.426020E-03  0.486942E-03  0.147469E+03
