a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.496885E-03  0.100000E-02  0.139950E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.496885E-03  0.100000E-02  0.139950E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.496885E-03  0.100000E-02  0.139950E+03
  0.995228E+02  0.000000E+00  0.100000E-02  0.496885E-03  0.100000E-02  0.138751E+03
  0.991927E+02  0.705087E+01  0.100000E-02  0.496885E-03  0.100000E-02  0.137517E+03
  0.991927E+02  0.705087E+01  0.100000E-02  0.496885E-03  0.100000E-02  0.137517E+03
  0.989649E+02  0.352282E+01  0.124287E-02  0.496885E-03  0.100000E-02  0.136911E+03
  0.989649E+02  0.320520E+01  0.124287E-02  0.496885E-03  0.100000E-02  0.136914E+03
  0.989649E+02  0.320520E+01  0.444268E-03  0.496885E-03  0.100000E-02  0.139447E+03
  0.989649E+02  0.540170E+01  0.444268E-03  0.496885E-03  0.100000E-02  0.139210E+03
  0.989649E+02  0.540170E+01  0.301803E-04  0.496885E-03  0.100000E-02  0.139754E+03
  0.989649E+02  0.540170E+01  0.301803E-04  0.496885E-03  0.100000E-02  0.139754E+03
  0.989649E+02 -0.112501E+01  0.301803E-04  0.496885E-03  0.100000E-02  0.137760E+03
  0.102227E+03 -0.112501E+01  0.301803E-04  0.496885E-03  0.100000E-02  0.142960E+03
  0.102227E+03  0.558667E+01  0.301803E-04  0.496885E-03  0.100000E-02  0.143265E+03
  0.102227E+03 -0.207094E+00  0.301803E-04  0.496885E-03  0.100000E-02  0.143331E+03
  0.102227E+03 -0.492706E-01  0.301803E-04  0.496885E-03  0.100000E-02  0.143384E+03
  0.102227E+03 -0.492706E-01  0.301803E-04  0.496885E-03  0.100000E-02  0.143384E+03
  0.102227E+03 -0.492706E-01  0.301803E-04  0.496885E-03  0.100000E-02  0.143384E+03
  0.102227E+03 -0.492706E-01  0.301803E-04  0.496885E-03  0.100000E-02  0.143384E+03
  0.102227E+03 -0.492706E-01  0.301803E-04  0.496885E-03  0.586300E-03  0.145823E+03
  0.102227E+03 -0.342813E+01  0.301803E-04  0.496885E-03  0.586300E-03  0.144084E+03
  0.102227E+03 -0.342813E+01  0.301803E-04  0.496885E-03  0.586300E-03  0.144084E+03
  0.102227E+03  0.135943E+01  0.301803E-04  0.496885E-03  0.586300E-03  0.146056E+03
  0.102227E+03  0.135943E+01  0.301803E-04  0.496885E-03  0.586300E-03  0.146056E+03
  0.102227E+03  0.135943E+01  0.277968E-03  0.496885E-03  0.586300E-03  0.145813E+03
  0.102227E+03  0.693473E+00  0.277968E-03  0.496885E-03  0.586300E-03  0.145744E+03
  0.102227E+03  0.693473E+00  0.277968E-03  0.496885E-03  0.586300E-03  0.145744E+03
  0.102227E+03  0.693473E+00  0.277968E-03  0.496885E-03  0.586300E-03  0.145744E+03
  0.102227E+03  0.693473E+00  0.277968E-03  0.496885E-03  0.586300E-03  0.145744E+03
  0.102227E+03  0.693473E+00  0.277968E-03  0.496885E-03  0.586300E-03  0.145744E+03
  0.102227E+03  0.693473E+00  0.277968E-03  0.496885E-03  0.586300E-03  0.145744E+03
  0.102227E+03  0.298938E+01  0.277968E-03  0.496885E-03  0.586300E-03  0.145716E+03
  0.102227E+03  0.587583E+01  0.277968E-03  0.496885E-03  0.707006E-03  0.144194E+03
  0.102227E+03  0.642643E+01  0.277968E-03  0.496885E-03  0.707006E-03  0.143890E+03
  0.102227E+03 -0.204037E+01  0.277968E-03  0.496885E-03  0.580460E-03  0.144839E+03
  0.102227E+03  0.381048E+01  0.277968E-03  0.496885E-03  0.580460E-03  0.145545E+03
  0.102717E+03  0.381048E+01  0.277968E-03  0.496885E-03  0.580460E-03  0.144205E+03
  0.102717E+03  0.381048E+01  0.277968E-03  0.496885E-03  0.580460E-03  0.144205E+03
  0.102717E+03  0.381048E+01  0.550390E-03  0.496885E-03  0.580460E-03  0.143645E+03
  0.102717E+03  0.381048E+01  0.550390E-03  0.496885E-03  0.580460E-03  0.143645E+03
  0.102717E+03  0.381048E+01  0.129289E-02  0.496885E-03  0.580460E-03  0.141205E+03
  0.100434E+03  0.363278E+01  0.129289E-02  0.496885E-03  0.580460E-03  0.142640E+03
  0.100434E+03  0.122797E+01  0.129289E-02  0.496885E-03  0.580460E-03  0.142822E+03
  0.100434E+03  0.905037E+00  0.129289E-02  0.496885E-03  0.580460E-03  0.142782E+03
  0.100434E+03  0.905037E+00  0.129289E-02  0.496885E-03  0.580460E-03  0.142782E+03
  0.100434E+03  0.905037E+00  0.129289E-02  0.496885E-03  0.580460E-03  0.142782E+03
  0.100434E+03  0.905037E+00  0.129289E-02  0.496885E-03  0.580460E-03  0.142782E+03
  0.100533E+03  0.905037E+00  0.129289E-02  0.496885E-03  0.352171E-03  0.144564E+03
  0.100533E+03  0.905037E+00  0.125008E-02  0.496885E-03  0.424953E-03  0.144220E+03
  0.100533E+03  0.288508E+01  0.828166E-03  0.496885E-03  0.424953E-03  0.145789E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.290993E-03  0.496885E-03  0.424953E-03  0.147635E+03
  0.100533E+03  0.288508E+01  0.250224E-03  0.496885E-03  0.424953E-03  0.147722E+03
  0.100533E+03  0.288508E+01  0.250224E-03  0.496885E-03  0.424953E-03  0.147722E+03
  0.100533E+03  0.288508E+01  0.250224E-03  0.496885E-03  0.424953E-03  0.147722E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.424953E-03  0.147779E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.237557E-03  0.148940E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.237557E-03  0.148940E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.237557E-03  0.148940E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.237557E-03  0.148940E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.237557E-03  0.148940E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.496885E-03  0.218172E-03  0.149035E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.297628E-04  0.218172E-03  0.150513E+03
  0.100533E+03  0.135988E+01  0.250224E-03  0.297628E-04  0.218172E-03  0.150513E+03
  0.100533E+03  0.723711E+01  0.250224E-03  0.297628E-04  0.218172E-03  0.146217E+03
  0.100533E+03  0.723711E+01  0.250224E-03  0.297628E-04  0.218172E-03  0.146217E+03
  0.100533E+03  0.723711E+01  0.250224E-03  0.297628E-04  0.218172E-03  0.146217E+03
  0.100533E+03  0.723711E+01  0.294074E-03  0.297628E-04  0.218172E-03  0.146124E+03
  0.100533E+03  0.384521E+01  0.294074E-03  0.297628E-04  0.218172E-03  0.149855E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.384521E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.149892E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.150437E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.150437E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.150437E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.150437E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.150437E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.297628E-04  0.218172E-03  0.150437E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.149430E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.149430E+03
  0.100533E+03  0.121902E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.149430E+03
  0.100533E+03  0.539212E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.147511E+03
  0.100533E+03  0.517205E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.147719E+03
  0.100533E+03  0.517205E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.147719E+03
  0.100533E+03  0.103696E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.149417E+03
  0.100533E+03  0.103696E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.149417E+03
  0.100533E+03 -0.256061E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.147504E+03
  0.100533E+03 -0.256061E+01  0.277606E-03  0.405731E-03  0.218172E-03  0.147504E+03
  0.100533E+03  0.477501E+00  0.277606E-03  0.405731E-03  0.218172E-03  0.149326E+03
  0.100533E+03  0.477501E+00  0.277606E-03  0.405731E-03  0.271448E-03  0.149024E+03
  0.100533E+03  0.477501E+00  0.277606E-03  0.405731E-03  0.271448E-03  0.149024E+03
  0.100533E+03  0.477501E+00  0.277606E-03  0.405731E-03  0.271448E-03  0.149024E+03
  0.100533E+03  0.477501E+00  0.277606E-03  0.405731E-03  0.271448E-03  0.149024E+03
  0.100533E+03  0.477501E+00  0.277606E-03  0.405731E-03  0.271448E-03  0.149024E+03
  0.100533E+03  0.477501E+00  0.556296E-03  0.405731E-03  0.271448E-03  0.148274E+03
  0.100533E+03 -0.255392E+01  0.556296E-03  0.405731E-03  0.271448E-03  0.146593E+03
  0.100533E+03 -0.255392E+01  0.556296E-03  0.405731E-03  0.271448E-03  0.146593E+03
  0.101236E+03 -0.255392E+01  0.556296E-03  0.273864E-03  0.271448E-03  0.147594E+03
  0.101236E+03 -0.124701E+01  0.556296E-03  0.273864E-03  0.271448E-03  0.148580E+03
  0.101236E+03 -0.124701E+01  0.556296E-03  0.273864E-03  0.271448E-03  0.148580E+03
  0.101236E+03 -0.229722E+01  0.107361E-02  0.273864E-03  0.271448E-03  0.146072E+03
  0.101236E+03 -0.229722E+01  0.107361E-02  0.273864E-03  0.271448E-03  0.146072E+03
  0.101236E+03 -0.229722E+01  0.107361E-02  0.273864E-03  0.271448E-03  0.146072E+03
  0.101236E+03  0.172651E+01  0.107361E-02  0.273864E-03  0.271448E-03  0.147353E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101236E+03  0.172651E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149959E+03
  0.101572E+03  0.411346E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.148844E+03
  0.101572E+03 -0.135041E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.148855E+03
  0.101572E+03  0.364572E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149108E+03
  0.101572E+03  0.364572E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149108E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.234927E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149581E+03
  0.101572E+03  0.301213E+01  0.365519E-03  0.273864E-03  0.271448E-03  0.149386E+03
  0.101572E+03  0.301213E+01  0.650016E-03  0.273864E-03  0.271448E-03  0.148469E+03
  0.101572E+03 -0.648556E+00  0.650016E-03  0.273864E-03  0.271448E-03  0.148407E+03
  0.101572E+03 -0.648556E+00  0.650016E-03  0.273864E-03  0.271448E-03  0.148407E+03
  0.101572E+03 -0.648556E+00  0.650016E-03  0.273864E-03  0.271448E-03  0.148407E+03
  0.101572E+03  0.282574E+01  0.650016E-03  0.273864E-03  0.271448E-03  0.148536E+03
  0.101572E+03  0.308961E+01  0.650016E-03  0.273864E-03  0.271448E-03  0.148439E+03
  0.101572E+03  0.308961E+01  0.863289E-04  0.273864E-03  0.271448E-03  0.149834E+03
  0.101639E+03  0.308961E+01  0.863289E-04  0.273864E-03  0.271448E-03  0.149729E+03
  0.101639E+03  0.308961E+01  0.863289E-04  0.273864E-03  0.271448E-03  0.149729E+03
  0.101639E+03  0.359478E+01  0.863289E-04  0.273864E-03  0.271448E-03  0.149507E+03
  0.101639E+03  0.359478E+01  0.863289E-04  0.273864E-03  0.271448E-03  0.149507E+03
  0.101639E+03  0.359478E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147121E+03
  0.101639E+03  0.359478E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147121E+03
  0.101796E+03  0.359478E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.146876E+03
  0.101796E+03  0.359478E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.146876E+03
  0.101796E+03  0.359478E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.146876E+03
  0.101796E+03  0.359478E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.146876E+03
  0.101796E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147456E+03
  0.101796E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147456E+03
  0.101796E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147456E+03
  0.101796E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147456E+03
  0.101796E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147456E+03
  0.101796E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.147456E+03
  0.101123E+03  0.185377E+01  0.906784E-03  0.273864E-03  0.271448E-03  0.148030E+03
  0.101123E+03  0.413466E+00  0.906784E-03  0.273864E-03  0.271448E-03  0.147976E+03
  0.101123E+03  0.413466E+00  0.906784E-03  0.273864E-03  0.271448E-03  0.147976E+03
  0.101123E+03  0.413466E+00  0.906784E-03  0.273864E-03  0.271448E-03  0.147976E+03
  0.101123E+03 -0.827123E-01  0.906784E-03  0.273864E-03  0.271448E-03  0.147852E+03
  0.101123E+03 -0.827123E-01  0.107619E-03  0.273864E-03  0.271448E-03  0.150108E+03
  0.101123E+03 -0.827123E-01  0.107619E-03  0.273864E-03  0.271448E-03  0.150108E+03
  0.101123E+03 -0.827123E-01  0.107619E-03  0.273864E-03  0.271448E-03  0.150108E+03
  0.101123E+03 -0.827123E-01  0.107619E-03  0.273864E-03  0.271448E-03  0.150108E+03
  0.101195E+03 -0.827123E-01  0.203329E-03  0.273864E-03  0.271448E-03  0.150001E+03
  0.101195E+03  0.147615E+01  0.203329E-03  0.273864E-03  0.271448E-03  0.150321E+03
  0.101195E+03  0.147615E+01  0.203329E-03  0.273864E-03  0.271448E-03  0.150321E+03
  0.101195E+03  0.147615E+01  0.203329E-03  0.273864E-03  0.271448E-03  0.150321E+03
  0.101195E+03  0.147615E+01  0.203329E-03  0.273864E-03  0.271448E-03  0.150321E+03
  0.101195E+03  0.147615E+01  0.203329E-03  0.273864E-03  0.271448E-03  0.150321E+03
  0.101195E+03  0.147615E+01  0.203329E-03  0.273864E-03  0.271448E-03  0.150321E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.273864E-03  0.271448E-03  0.149955E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.273864E-03  0.271448E-03  0.149955E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.273864E-03  0.271448E-03  0.149955E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.273864E-03  0.271448E-03  0.149955E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.273864E-03  0.271448E-03  0.149955E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.195446E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149787E+03
  0.101195E+03 -0.127550E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149813E+03
  0.101195E+03 -0.127550E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149813E+03
  0.101195E+03 -0.127550E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149813E+03
  0.101195E+03 -0.304131E+00  0.203329E-03  0.314571E-03  0.271448E-03  0.149742E+03
  0.101195E+03 -0.304131E+00  0.118323E-03  0.314571E-03  0.271448E-03  0.149840E+03
  0.101195E+03 -0.304131E+00  0.118323E-03  0.314571E-03  0.271448E-03  0.149840E+03
  0.101195E+03  0.593744E+01  0.118323E-03  0.314571E-03  0.271448E-03  0.147930E+03
  0.101195E+03  0.593744E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.145965E+03
  0.998291E+02  0.593744E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.143771E+03
  0.998291E+02  0.486827E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.144218E+03
  0.998291E+02  0.486827E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.144218E+03
  0.998291E+02  0.486827E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.144218E+03
  0.998291E+02  0.486827E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.144218E+03
  0.100363E+03  0.486827E+01  0.118323E-03  0.314571E-03  0.837183E-03  0.145587E+03
  0.100363E+03  0.486827E+01  0.118323E-03  0.314571E-03  0.814671E-04  0.148492E+03
  0.100363E+03  0.486827E+01  0.273777E-03  0.314571E-03  0.814671E-04  0.148241E+03
  0.101794E+03  0.218935E+01  0.546054E-03  0.314571E-03  0.814671E-04  0.148819E+03
  0.101794E+03  0.218935E+01  0.148408E-02  0.314571E-03  0.266616E-03  0.144955E+03
  0.101794E+03  0.218935E+01  0.148408E-02  0.314571E-03  0.266616E-03  0.144955E+03
  0.101794E+03  0.218935E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.149285E+03
  0.101794E+03  0.218935E+01  0.249116E-03  0.314571E-03  0.266616E-03  0.149285E+03
  0.101794E+03  0.230028E+00  0.249116E-03  0.314571E-03  0.266616E-03  0.149265E+03
  0.101794E+03 -0.960455E+00  0.249116E-03  0.314571E-03  0.266616E-03  0.148848E+03
