a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.996027E+02   0.166055E+01  -0.662071E+01   0.515219E-03   0.196390E-03   0.753873E-04   0.147373E+03
   0.996027E+02   0.166055E+01  -0.637085E+01   0.515219E-03   0.196390E-03   0.753873E-04   0.147426E+03
   0.100036E+03   0.166055E+01  -0.362272E+01   0.447288E-03   0.319832E-03   0.753873E-04   0.148943E+03
   0.997512E+02   0.166055E+01  -0.362272E+01   0.447288E-03   0.319832E-03   0.753873E-04   0.148190E+03
   0.101600E+03   0.236368E+00   0.380091E+01   0.447288E-03   0.319832E-03   0.753873E-04   0.149872E+03
   0.101600E+03  -0.120697E+01   0.380091E+01   0.447288E-03   0.319832E-03   0.753873E-04   0.149359E+03
   0.101600E+03  -0.120697E+01  -0.297347E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148986E+03
   0.101600E+03  -0.120697E+01  -0.297347E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148986E+03
   0.101600E+03  -0.120697E+01  -0.446911E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148501E+03
   0.101600E+03   0.195940E+01  -0.446911E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148710E+03
   0.101600E+03   0.195940E+01  -0.446911E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148710E+03
   0.101600E+03   0.583703E+00  -0.446911E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148939E+03
   0.101600E+03   0.583703E+00  -0.446911E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148939E+03
   0.101600E+03  -0.550876E+00  -0.446911E+01   0.247288E-03   0.319832E-03   0.753873E-04   0.148757E+03
   0.101600E+03  -0.550876E+00  -0.467099E+01   0.455636E-03   0.319832E-03   0.753873E-04   0.148234E+03
   0.101600E+03   0.325669E+01  -0.467099E+01   0.455636E-03   0.319832E-03   0.383761E-03   0.147358E+03
   0.101090E+03   0.568728E+01  -0.147855E+01   0.455636E-03   0.319832E-03   0.383761E-03   0.147133E+03
   0.101090E+03   0.568728E+01   0.697782E+01   0.455636E-03   0.319832E-03   0.383761E-03   0.146165E+03
   0.101090E+03   0.104183E+01   0.379621E+01   0.455636E-03   0.319832E-03   0.244594E-05   0.149975E+03
   0.101090E+03   0.104183E+01  -0.595882E+00   0.455636E-03   0.319832E-03   0.244594E-05   0.150203E+03
   0.101090E+03   0.104183E+01  -0.595882E+00   0.455636E-03   0.159579E-03   0.244594E-05   0.150845E+03
   0.101090E+03   0.104183E+01   0.430580E+00   0.190593E-03   0.159579E-03   0.244594E-05   0.151496E+03
   0.101090E+03   0.104183E+01  -0.106261E+01   0.190593E-03   0.159579E-03   0.244594E-05   0.151418E+03
   0.101090E+03   0.104183E+01   0.314701E+01   0.190593E-03   0.159579E-03   0.244594E-05   0.151216E+03
   0.101090E+03   0.104183E+01   0.314701E+01   0.190593E-03   0.159579E-03   0.244594E-05   0.151216E+03
   0.101090E+03  -0.153630E+01   0.314701E+01   0.210972E-04   0.159579E-03   0.244594E-05   0.150110E+03
   0.101090E+03  -0.745920E+00  -0.251391E+00   0.210972E-04   0.159579E-03   0.244594E-05   0.151026E+03
   0.101090E+03  -0.745920E+00  -0.251391E+00   0.210972E-04   0.159579E-03   0.244594E-05   0.151026E+03
   0.101090E+03  -0.745920E+00  -0.251391E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150988E+03
   0.101090E+03  -0.113837E+01  -0.251391E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150735E+03
   0.101090E+03  -0.113837E+01  -0.251391E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150735E+03
   0.101090E+03  -0.113837E+01  -0.251391E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150735E+03
   0.101090E+03  -0.113837E+01   0.105255E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150703E+03
   0.101090E+03   0.277005E+01   0.105255E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.151302E+03
   0.101090E+03   0.163568E+01   0.105255E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.151580E+03
   0.101090E+03  -0.856121E+00   0.401088E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150354E+03
   0.101090E+03  -0.856121E+00   0.204522E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150926E+03
   0.101090E+03  -0.856121E+00   0.204522E+00   0.105992E-03   0.159579E-03   0.244594E-05   0.150926E+03
   0.101090E+03   0.320555E+01   0.601821E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150027E+03
   0.101090E+03  -0.104356E+01   0.138639E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150742E+03
   0.101090E+03  -0.104356E+01  -0.194324E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.150665E+03
   0.101090E+03   0.256809E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.244594E-05   0.149165E+03
   0.101090E+03   0.256809E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.446016E-03   0.148707E+03
   0.101090E+03   0.136739E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.446016E-03   0.148758E+03
   0.100358E+03   0.136739E+01  -0.740191E+01   0.105992E-03   0.159579E-03   0.446016E-03   0.148578E+03
   0.100358E+03   0.136739E+01  -0.110654E+02   0.101786E-02   0.159579E-03   0.446016E-03   0.144546E+03
   0.100358E+03   0.136739E+01  -0.458994E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147423E+03
   0.100358E+03   0.222411E+00  -0.458994E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147063E+03
   0.100358E+03   0.222411E+00  -0.252537E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147097E+03
   0.100358E+03   0.361197E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.146782E+03
   0.101297E+03   0.361197E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.148044E+03
   0.101297E+03   0.423801E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147800E+03
   0.101297E+03   0.423801E+01   0.141567E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147800E+03
   0.101297E+03   0.423801E+01   0.459460E+01   0.704695E-03   0.159579E-03   0.446016E-03   0.147380E+03
   0.101297E+03   0.411277E+01   0.459460E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146908E+03
   0.101297E+03   0.411277E+01   0.146014E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.147240E+03
   0.100398E+03   0.411277E+01  -0.724294E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.145974E+03
   0.100398E+03   0.411277E+01   0.150052E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146298E+03
   0.100398E+03   0.411277E+01   0.150052E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146298E+03
   0.100398E+03  -0.265358E+00  -0.357211E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146605E+03
   0.100398E+03  -0.265358E+00  -0.357211E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146605E+03
   0.100398E+03   0.775522E+00   0.129985E+01   0.704695E-03   0.300776E-03   0.446016E-03   0.146539E+03
   0.100398E+03   0.432072E+01  -0.697702E+01   0.704695E-03   0.232877E-03   0.446016E-03   0.146191E+03
   0.100398E+03   0.372011E+01  -0.134979E+01   0.704695E-03   0.232877E-03   0.446016E-03   0.147071E+03
   0.100398E+03  -0.217443E+01  -0.269153E+01   0.704695E-03   0.837824E-03   0.419864E-03   0.143654E+03
   0.100398E+03   0.125412E+01   0.822927E+01   0.704695E-03   0.837824E-03   0.419864E-03   0.142534E+03
   0.100398E+03  -0.173441E+01  -0.112846E+02   0.704695E-03   0.780763E-03   0.419864E-03   0.142676E+03
   0.100292E+03   0.136658E+01  -0.209478E+01   0.704695E-03   0.780763E-03   0.255196E-03   0.145691E+03
   0.100292E+03   0.136658E+01  -0.109560E+02   0.704695E-03   0.780763E-03   0.534720E-03   0.142736E+03
   0.100292E+03   0.142963E+01   0.262023E+01   0.907771E-03   0.780763E-03   0.534720E-03   0.142709E+03
   0.100292E+03   0.142963E+01   0.262023E+01   0.907771E-03   0.780763E-03   0.439498E-03   0.143406E+03
   0.100292E+03   0.319262E+00   0.262023E+01   0.373948E-03   0.142308E-03   0.439498E-03   0.146915E+03
   0.100249E+03   0.319262E+00   0.121891E+01   0.373948E-03   0.277332E-03   0.439498E-03   0.147122E+03
   0.100567E+03   0.122182E+01   0.121891E+01   0.373948E-03   0.277332E-03   0.439498E-03   0.148201E+03
   0.100567E+03   0.186829E+01   0.121891E+01   0.373948E-03   0.351465E-03   0.439498E-03   0.148016E+03
