a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.549622E+00  0.997172E-03  0.100000E-02  0.100000E-02  0.137740E+03
  0.100000E+03  0.000000E+00 -0.792676E+01  0.997172E-03  0.100000E-02  0.496885E-03  0.141114E+03
  0.100000E+03  0.000000E+00 -0.792676E+01  0.997172E-03  0.100000E-02  0.496885E-03  0.141114E+03
  0.100000E+03  0.000000E+00 -0.792676E+01  0.997172E-03  0.100000E-02  0.258274E-03  0.142456E+03
  0.100000E+03  0.000000E+00 -0.227884E+01  0.997172E-03  0.834965E-03  0.258274E-03  0.143996E+03
  0.102455E+03  0.000000E+00 -0.227884E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.143745E+03
  0.102455E+03  0.000000E+00 -0.250669E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.143666E+03
  0.102455E+03  0.000000E+00  0.239036E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.145025E+03
  0.102242E+03  0.000000E+00  0.793155E+00  0.167959E-03  0.834965E-03  0.258274E-03  0.145297E+03
  0.102242E+03  0.000000E+00  0.111569E+02  0.167959E-03  0.834965E-03  0.258274E-03  0.145517E+03
  0.102242E+03  0.000000E+00  0.111569E+02  0.167959E-03  0.834965E-03  0.258274E-03  0.145517E+03
  0.102242E+03  0.000000E+00  0.111569E+02  0.167959E-03  0.834965E-03  0.258274E-03  0.145517E+03
  0.102242E+03  0.326260E+01  0.111569E+02  0.167959E-03  0.834965E-03  0.258274E-03  0.145191E+03
  0.102242E+03  0.326260E+01  0.111569E+02  0.167959E-03  0.834965E-03  0.258274E-03  0.145191E+03
  0.102242E+03  0.326260E+01  0.111569E+02  0.167959E-03  0.834965E-03  0.258274E-03  0.145191E+03
  0.102242E+03  0.326260E+01  0.706195E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.145570E+03
  0.102242E+03  0.326260E+01  0.706195E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.145570E+03
  0.102242E+03  0.326260E+01  0.706195E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.145570E+03
  0.102242E+03  0.326260E+01  0.263970E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.145078E+03
  0.988633E+02  0.326260E+01  0.999092E+00  0.167959E-03  0.834965E-03  0.258274E-03  0.142127E+03
  0.988633E+02  0.326260E+01  0.999092E+00  0.167959E-03  0.834965E-03  0.258274E-03  0.142127E+03
  0.988633E+02  0.326260E+01  0.999092E+00  0.167959E-03  0.834965E-03  0.258274E-03  0.142127E+03
  0.988633E+02  0.256496E+01 -0.927663E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.142847E+03
  0.988633E+02  0.256496E+01 -0.927663E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.142847E+03
  0.988633E+02 -0.206953E+01 -0.429142E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.142105E+03
  0.988633E+02  0.318212E+01 -0.429142E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.143220E+03
  0.988633E+02  0.318212E+01 -0.429142E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.143220E+03
  0.988633E+02  0.318212E+01 -0.199551E+01  0.167959E-03  0.834965E-03  0.258274E-03  0.142989E+03
  0.988633E+02  0.606856E+01 -0.538413E+01  0.288665E-03  0.834965E-03  0.533574E-03  0.140830E+03
  0.988633E+02  0.606856E+01 -0.907274E+01  0.288665E-03  0.834965E-03  0.881911E-03  0.139383E+03
  0.988633E+02  0.606856E+01 -0.322188E+01  0.288665E-03  0.834965E-03  0.881911E-03  0.139450E+03
