a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.100000E-02  0.136726E+03
  0.101102E+03  0.000000E+00 -0.203505E+01 -0.134746E+02  0.125884E-02  0.100000E-02  0.100000E-02  0.137226E+03
  0.101102E+03  0.000000E+00 -0.203505E+01 -0.134746E+02  0.125884E-02  0.221059E-03  0.100000E-02  0.141215E+03
  0.101102E+03  0.513613E+01 -0.203505E+01 -0.134746E+02  0.125884E-02  0.221059E-03  0.761389E-03  0.139944E+03
  0.101102E+03  0.513613E+01 -0.203505E+01 -0.134746E+02  0.125884E-02  0.221059E-03  0.761389E-03  0.139944E+03
  0.101102E+03 -0.251390E+01 -0.369348E+01 -0.134746E+02  0.125884E-02  0.221059E-03  0.761389E-03  0.142236E+03
  0.100874E+03 -0.251390E+01 -0.320774E+01 -0.134746E+02  0.125884E-02  0.221059E-03  0.602576E-03  0.142974E+03
  0.100874E+03 -0.251390E+01 -0.320774E+01 -0.134746E+02  0.125884E-02  0.221059E-03  0.602576E-03  0.142974E+03
  0.100874E+03  0.451783E+01 -0.320774E+01 -0.837277E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.142650E+03
  0.100874E+03  0.451783E+01 -0.320774E+01  0.106454E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.144209E+03
  0.100874E+03  0.818746E+00 -0.320774E+01 -0.546216E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.144511E+03
  0.100874E+03  0.818746E+00 -0.320774E+01 -0.888794E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144548E+03
  0.100874E+03  0.818746E+00 -0.664034E+01 -0.888794E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144148E+03
  0.100874E+03  0.976570E+00 -0.825549E+00 -0.888794E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144574E+03
  0.100874E+03  0.976570E+00 -0.825549E+00 -0.888794E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144574E+03
  0.100874E+03  0.976570E+00 -0.825549E+00 -0.888794E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144574E+03
  0.100874E+03  0.976570E+00 -0.825549E+00 -0.888794E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144574E+03
  0.100874E+03  0.976570E+00 -0.825549E+00  0.213723E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.144420E+03
  0.100874E+03  0.976570E+00 -0.802471E+01 -0.136732E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.143917E+03
  0.100874E+03  0.976570E+00 -0.872235E+01 -0.116430E+02  0.125884E-02  0.221059E-03  0.602576E-03  0.143390E+03
  0.100874E+03  0.976570E+00 -0.872235E+01 -0.116430E+02  0.125884E-02  0.221059E-03  0.602576E-03  0.143390E+03
  0.100874E+03  0.976570E+00 -0.350126E+00 -0.116430E+02  0.125884E-02  0.221059E-03  0.602576E-03  0.143318E+03
  0.100874E+03  0.976570E+00 -0.350126E+00  0.198833E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.144408E+03
  0.100874E+03  0.976570E+00 -0.350126E+00  0.116206E+02  0.125884E-02  0.221059E-03  0.602576E-03  0.142571E+03
  0.100874E+03  0.976570E+00 -0.350126E+00 -0.962638E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.144544E+03
  0.101115E+03  0.854377E+01  0.200474E+00 -0.962638E+00  0.125884E-02  0.221059E-03  0.602576E-03  0.140977E+03
  0.101893E+03  0.854377E+01  0.897149E+00 -0.121573E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.140895E+03
  0.101893E+03  0.854377E+01  0.897149E+00 -0.121573E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.140895E+03
  0.101893E+03  0.854377E+01  0.897149E+00 -0.121573E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.140895E+03
  0.101893E+03  0.523013E+01  0.698397E+01 -0.121573E+01  0.125884E-02  0.221059E-03  0.602576E-03  0.143318E+03
  0.101893E+03  0.523013E+01  0.698397E+01 -0.330464E+00  0.117351E-03  0.132207E-03  0.602576E-03  0.147385E+03
  0.101893E+03  0.523013E+01  0.698397E+01 -0.330464E+00  0.117351E-03  0.132207E-03  0.602576E-03  0.147385E+03
  0.101570E+03  0.523013E+01  0.903917E+01 -0.330464E+00  0.117351E-03  0.132207E-03  0.602576E-03  0.146336E+03
  0.101570E+03  0.342109E+01  0.371970E+01 -0.300236E+01  0.117351E-03  0.132207E-03  0.140380E-03  0.150062E+03
  0.101570E+03  0.342109E+01  0.371970E+01  0.115717E+01  0.166631E-03  0.132207E-03  0.140380E-03  0.150815E+03
  0.101570E+03  0.342109E+01  0.371970E+01  0.115717E+01  0.166631E-03  0.132207E-03  0.213162E-03  0.150647E+03
  0.101570E+03  0.540114E+01  0.287587E+01  0.115717E+01  0.166631E-03  0.132207E-03  0.213162E-03  0.149437E+03
  0.101570E+03  0.540114E+01 -0.502716E+01  0.107472E+02  0.166631E-03  0.132207E-03  0.213162E-03  0.147090E+03
  0.101570E+03  0.540114E+01 -0.502716E+01  0.194069E+02  0.166631E-03  0.132207E-03  0.213162E-03  0.144911E+03
  0.101570E+03  0.540114E+01 -0.502716E+01  0.194069E+02  0.166631E-03  0.132207E-03  0.213162E-03  0.144911E+03
  0.101570E+03  0.540114E+01 -0.502716E+01  0.118428E+02  0.166631E-03  0.132207E-03  0.213162E-03  0.146943E+03
  0.100540E+03  0.540114E+01 -0.150795E+01  0.118428E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.149035E+03
  0.100540E+03  0.540114E+01 -0.150795E+01  0.122192E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.148949E+03
  0.100540E+03  0.540114E+01 -0.660988E-04  0.122192E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.149156E+03
  0.100540E+03  0.540114E+01  0.112669E+01  0.123511E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.149140E+03
  0.100540E+03  0.540114E+01  0.112669E+01  0.123511E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.149140E+03
  0.100540E+03  0.739663E+01  0.112669E+01  0.123511E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.148157E+03
  0.100540E+03  0.739663E+01  0.112669E+01  0.123511E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.148157E+03
  0.100540E+03  0.735786E+01  0.112669E+01  0.123511E+02  0.166631E-03  0.914373E-04  0.213162E-03  0.148187E+03
  0.100540E+03  0.627472E+01  0.112669E+01  0.714372E+01  0.166631E-03  0.914373E-04  0.213162E-03  0.149138E+03
  0.100540E+03  0.627472E+01  0.101539E+01  0.528116E+01  0.166631E-03  0.914373E-04  0.213162E-03  0.148956E+03
  0.100540E+03  0.627472E+01  0.101539E+01  0.528116E+01  0.166631E-03  0.914373E-04  0.213162E-03  0.148956E+03
  0.100540E+03  0.636242E+01  0.101539E+01  0.528116E+01  0.166631E-03  0.914373E-04  0.213162E-03  0.148875E+03
  0.100540E+03  0.167787E+01  0.558178E+01  0.528116E+01  0.166631E-03  0.914373E-04  0.213162E-03  0.148325E+03
  0.100540E+03  0.167787E+01  0.300613E+01  0.528116E+01  0.166631E-03  0.914373E-04  0.213162E-03  0.149565E+03
  0.100540E+03  0.167787E+01  0.300613E+01 -0.755361E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.148330E+03
  0.100540E+03 -0.289223E+01  0.300613E+01 -0.755361E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147416E+03
  0.100540E+03 -0.289223E+01  0.300613E+01 -0.755361E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147416E+03
  0.100540E+03 -0.289223E+01  0.300613E+01 -0.755361E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147416E+03
  0.100540E+03 -0.289223E+01  0.300613E+01 -0.755361E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147416E+03
  0.100540E+03 -0.115659E+01 -0.367298E+00 -0.764520E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.149674E+03
  0.100540E+03 -0.115659E+01 -0.367298E+00 -0.490502E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.149877E+03
  0.100540E+03 -0.115659E+01 -0.666367E+01 -0.490502E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.149636E+03
  0.101292E+03 -0.234835E+01 -0.245840E+01 -0.118750E+02  0.647987E-04  0.914373E-04  0.213162E-03  0.150208E+03
  0.101292E+03 -0.234835E+01 -0.470533E+01 -0.118750E+02  0.647987E-04  0.914373E-04  0.213162E-03  0.149996E+03
  0.101292E+03 -0.234835E+01 -0.492540E+01 -0.118750E+02  0.647987E-04  0.914373E-04  0.213162E-03  0.149960E+03
  0.101292E+03 -0.234835E+01 -0.457268E+01 -0.958618E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.150044E+03
  0.999684E+02 -0.234835E+01 -0.457268E+01 -0.958618E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147017E+03
  0.999684E+02 -0.234835E+01 -0.537402E+01 -0.684199E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147300E+03
  0.999684E+02 -0.234835E+01 -0.233591E+01 -0.649355E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147225E+03
  0.999684E+02 -0.234835E+01 -0.233591E+01 -0.637516E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.147228E+03
  0.999684E+02  0.421052E+01 -0.880242E+00  0.429992E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.148976E+03
  0.999684E+02  0.323732E+01 -0.880242E+00  0.167681E+01  0.647987E-04  0.914373E-04  0.213162E-03  0.149217E+03
  0.999684E+02  0.323732E+01 -0.880242E+00  0.424178E+01  0.647987E-04  0.370127E-03  0.213162E-03  0.148652E+03
  0.999684E+02  0.323732E+01 -0.880242E+00  0.827691E+00  0.647987E-04  0.370127E-03  0.213162E-03  0.148547E+03
  0.999684E+02  0.323732E+01 -0.880242E+00  0.108800E+02  0.647987E-04  0.223608E-03  0.213162E-03  0.147796E+03
  0.999684E+02  0.454423E+01 -0.880242E+00  0.153653E+02  0.647987E-04  0.223608E-03  0.213162E-03  0.146259E+03
  0.999684E+02  0.454423E+01 -0.880242E+00  0.111568E+02  0.647987E-04  0.223608E-03  0.213162E-03  0.147837E+03
  0.999684E+02  0.454423E+01 -0.455731E+01  0.111568E+02  0.647987E-04  0.223608E-03  0.213162E-03  0.147341E+03
  0.999684E+02  0.454423E+01 -0.366571E+01  0.111568E+02  0.647987E-04  0.223608E-03  0.213162E-03  0.147574E+03
  0.999684E+02  0.454423E+01 -0.508189E+01  0.158214E+02  0.647987E-04  0.223608E-03  0.213162E-03  0.145251E+03
  0.999684E+02  0.454423E+01 -0.508189E+01  0.198610E+01  0.647987E-04  0.223608E-03  0.213162E-03  0.148188E+03
  0.999684E+02  0.454423E+01 -0.508189E+01  0.198610E+01  0.647987E-04  0.223608E-03  0.213162E-03  0.148188E+03
  0.999684E+02  0.454423E+01 -0.508189E+01  0.198610E+01  0.647987E-04  0.223608E-03  0.213162E-03  0.148188E+03
  0.999684E+02  0.454423E+01  0.317481E+01  0.132478E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.144718E+03
  0.999684E+02  0.454423E+01  0.198128E+01  0.132478E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.145109E+03
  0.102358E+03  0.454423E+01  0.198128E+01  0.132478E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.146783E+03
  0.102358E+03  0.454423E+01  0.116527E+02  0.132478E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.147023E+03
  0.102358E+03  0.454423E+01  0.952134E+01  0.132478E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.147598E+03
  0.102358E+03  0.454423E+01  0.952134E+01  0.778395E+01  0.763387E-03  0.223608E-03  0.213162E-03  0.147791E+03
  0.102358E+03  0.454423E+01  0.952134E+01  0.778395E+01  0.763387E-03  0.223608E-03  0.213162E-03  0.147791E+03
  0.102358E+03  0.620869E+01  0.952134E+01  0.648749E+01  0.763387E-03  0.223608E-03  0.213162E-03  0.147092E+03
  0.102358E+03  0.620869E+01  0.952134E+01  0.173615E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.147304E+03
  0.102358E+03  0.835388E+01  0.952134E+01  0.139837E+02  0.763387E-03  0.223608E-03  0.213162E-03  0.147018E+03
  0.102358E+03  0.322582E+01  0.735765E+01  0.875785E+00  0.763387E-03  0.223608E-03  0.213162E-03  0.147642E+03
  0.102358E+03  0.330547E+01  0.107964E+02  0.875785E+00  0.763387E-03  0.223608E-03  0.213162E-03  0.146993E+03
  0.102358E+03  0.330547E+01  0.107964E+02  0.875785E+00  0.763387E-03  0.223608E-03  0.213162E-03  0.146993E+03
  0.102358E+03  0.233376E+01  0.155555E+02  0.875785E+00  0.763387E-03  0.223608E-03  0.213162E-03  0.144669E+03
  0.102358E+03  0.233376E+01  0.222654E+01  0.875785E+00  0.763387E-03  0.223608E-03  0.213162E-03  0.147411E+03
  0.102358E+03  0.233376E+01  0.222654E+01  0.875785E+00  0.763387E-03  0.223608E-03  0.213162E-03  0.147411E+03
  0.102358E+03  0.233376E+01  0.430078E+01  0.144478E+01  0.763387E-03  0.223608E-03  0.213162E-03  0.147795E+03
  0.102358E+03  0.233376E+01  0.430078E+01  0.547577E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.146117E+03
  0.102358E+03  0.928728E+00  0.430078E+01  0.699243E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.145684E+03
  0.102358E+03  0.343160E+01  0.777508E+01  0.699243E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.146306E+03
  0.102358E+03  0.343160E+01  0.935591E+01  0.699243E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.146145E+03
  0.102358E+03  0.343160E+01  0.935591E+01  0.638195E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.146137E+03
  0.102358E+03  0.184426E+01  0.414798E+01  0.638195E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.145991E+03
  0.102358E+03  0.184426E+01  0.414798E+01  0.638195E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.145991E+03
  0.102358E+03  0.348517E+01  0.414798E+01  0.754041E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.146035E+03
  0.102358E+03  0.348517E+01  0.693324E+00  0.148559E+02  0.122677E-02  0.223608E-03  0.213162E-03  0.144383E+03
  0.102358E+03  0.348517E+01  0.693324E+00 -0.785353E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.143569E+03
  0.102358E+03  0.618823E+01  0.677673E+01 -0.785353E+01  0.122677E-02  0.223608E-03  0.213162E-03  0.140336E+03
  0.102358E+03 -0.500951E+01  0.103979E+02 -0.785353E+01  0.122677E-02  0.413780E-03  0.213162E-03  0.143413E+03
  0.102358E+03 -0.458223E+01  0.954574E+01 -0.327858E+01  0.122677E-02  0.413780E-03  0.213162E-03  0.143346E+03
  0.102358E+03 -0.327878E+01  0.260562E+01 -0.327858E+01  0.122677E-02  0.413780E-03  0.213162E-03  0.144312E+03
  0.102358E+03  0.248920E+01  0.260562E+01 -0.327858E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.147732E+03
  0.102358E+03  0.931572E+00  0.999433E+01 -0.222531E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.148072E+03
  0.101179E+03  0.931572E+00  0.999433E+01  0.325224E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.147226E+03
  0.101179E+03  0.931572E+00  0.666851E+01  0.527307E+01  0.299175E-04  0.413780E-03  0.213162E-03  0.148663E+03
