a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137784E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.517678E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.137703E+03
  0.100000E+03  0.000000E+00 -0.677110E+01 -0.670349E+01 -0.923019E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.137875E+03
  0.100000E+03  0.000000E+00 -0.677110E+01 -0.113166E+02 -0.157763E+02  0.106237E-02  0.100000E-02  0.100000E-02  0.136838E+03
  0.100000E+03  0.306562E+01 -0.103203E+02 -0.166226E+02 -0.143773E+01  0.106237E-02  0.100000E-02  0.834965E-03  0.137063E+03
  0.100000E+03  0.552107E+01 -0.103203E+02 -0.166226E+02 -0.309615E+01  0.106237E-02  0.100000E-02  0.834965E-03  0.136048E+03
  0.100000E+03  0.529322E+01 -0.138484E+02 -0.161369E+02 -0.220482E+02  0.106237E-02  0.100000E-02  0.676153E-03  0.136685E+03
  0.102241E+03  0.417909E+01 -0.256589E+01 -0.161369E+02 -0.220482E+02  0.106237E-02  0.100000E-02  0.676153E-03  0.138570E+03
  0.102241E+03  0.417909E+01 -0.256589E+01 -0.461970E+01 -0.524377E+01  0.106237E-02  0.100000E-02  0.262065E-03  0.139226E+03
  0.102241E+03 -0.630126E+01  0.180207E+01 -0.461970E+01  0.119103E+02  0.106237E-02  0.100000E-02  0.262065E-03  0.141197E+03
  0.102241E+03 -0.630126E+01  0.180207E+01 -0.135710E+01  0.119103E+02  0.106237E-02  0.100000E-02  0.262065E-03  0.140553E+03
  0.102241E+03  0.410425E+00  0.180207E+01 -0.135710E+01  0.147514E+02  0.106237E-02  0.100000E-02  0.262065E-03  0.142328E+03
  0.102241E+03  0.410425E+00  0.180207E+01 -0.119927E+01  0.205662E+02  0.106237E-02  0.100000E-02  0.262065E-03  0.142058E+03
  0.102241E+03  0.410425E+00  0.180207E+01  0.107103E+01 -0.473199E+01  0.106237E-02  0.100000E-02  0.262065E-03  0.141647E+03
  0.102241E+03  0.410425E+00  0.180207E+01  0.969606E+01 -0.404554E+01  0.106237E-02  0.100000E-02  0.262065E-03  0.141142E+03
  0.102241E+03  0.410425E+00  0.180207E+01 -0.166660E+01 -0.246761E+02  0.106237E-02  0.179696E-03  0.262065E-03  0.142786E+03
  0.102241E+03  0.410425E+00 -0.818628E+01 -0.145141E+02 -0.801785E+01  0.106237E-02  0.179696E-03  0.262065E-03  0.145588E+03
  0.102241E+03  0.410425E+00 -0.301741E+01 -0.145141E+02 -0.136592E+02  0.106237E-02  0.427484E-03  0.262065E-03  0.144906E+03
  0.102241E+03  0.410425E+00 -0.301741E+01 -0.145141E+02 -0.136592E+02  0.106237E-02  0.427484E-03  0.262065E-03  0.144906E+03
  0.102241E+03 -0.422406E+01  0.196779E+01 -0.145141E+02 -0.136592E+02  0.106237E-02  0.427484E-03  0.262065E-03  0.143879E+03
  0.102241E+03 -0.422406E+01  0.196779E+01 -0.145141E+02 -0.136592E+02  0.106237E-02  0.427484E-03  0.262065E-03  0.143879E+03
  0.102241E+03 -0.161745E+01 -0.643365E+01 -0.145141E+02 -0.136592E+02  0.106237E-02  0.726648E-03  0.262065E-03  0.143479E+03
  0.102241E+03 -0.161745E+01 -0.354721E+01 -0.179027E+02 -0.134178E+02  0.106237E-02  0.100195E-02  0.262065E-03  0.142131E+03
  0.102241E+03 -0.161745E+01 -0.276917E+01 -0.144043E+02 -0.127211E+02  0.935825E-03  0.100195E-02  0.262065E-03  0.142465E+03
  0.102241E+03 -0.161745E+01 -0.276917E+01 -0.213959E+02 -0.247823E+02  0.935825E-03  0.100195E-02  0.262065E-03  0.141099E+03
  0.102241E+03 -0.161745E+01 -0.276917E+01 -0.213959E+02 -0.114437E+02  0.935825E-03  0.100195E-02  0.262065E-03  0.142424E+03
  0.102241E+03 -0.161745E+01 -0.769348E+01 -0.213959E+02 -0.114437E+02  0.935825E-03  0.295413E-02  0.262065E-03  0.135373E+03
  0.102241E+03 -0.161745E+01 -0.769348E+01 -0.215736E+02 -0.114437E+02  0.935825E-03  0.295413E-02  0.262065E-03  0.135376E+03
  0.102241E+03 -0.161745E+01 -0.769348E+01 -0.215736E+02 -0.106208E+02  0.935825E-03  0.295413E-02  0.262065E-03  0.135321E+03
  0.102241E+03 -0.520977E+01  0.363880E+01 -0.151128E+02 -0.124298E+02  0.935825E-03  0.295413E-02  0.262065E-03  0.134941E+03
  0.102241E+03 -0.520977E+01  0.646324E+01 -0.666392E+01 -0.124298E+02  0.484514E-03  0.295413E-02  0.262065E-03  0.135205E+03
  0.102241E+03 -0.520977E+01  0.600666E+01 -0.200111E+02 -0.440883E+01  0.441710E-03  0.295413E-02  0.334846E-03  0.136167E+03
  0.102241E+03 -0.322972E+01  0.516283E+01 -0.200111E+02 -0.440883E+01  0.441710E-03  0.295413E-02  0.334846E-03  0.136131E+03
  0.102241E+03 -0.111327E+02  0.516283E+01 -0.167263E+02 -0.123870E+01  0.441710E-03  0.295413E-02  0.334846E-03  0.134055E+03
  0.102241E+03 -0.111327E+02  0.516283E+01 -0.237998E+02 -0.959535E+01  0.701992E-03  0.295413E-02  0.334846E-03  0.132522E+03
  0.102241E+03 -0.111327E+02 -0.231822E+01 -0.116540E+02 -0.569589E-01  0.701992E-03  0.295413E-02  0.334846E-03  0.132208E+03
  0.102241E+03 -0.111327E+02 -0.334837E+01 -0.116540E+02  0.346225E+01  0.701992E-03  0.295413E-02  0.294076E-03  0.132191E+03
  0.102241E+03 -0.812895E+01 -0.334837E+01 -0.116540E+02  0.129771E+02  0.701992E-03  0.295413E-02  0.294076E-03  0.134492E+03
  0.102241E+03 -0.513998E+01 -0.184049E+01  0.742619E+01  0.114519E+02  0.701992E-03  0.241018E-03  0.294076E-03  0.139647E+03
  0.102241E+03 -0.401322E+01 -0.170853E+01 -0.754361E-01  0.197867E+02  0.701992E-03  0.241018E-03  0.294076E-03  0.143615E+03
  0.102241E+03 -0.145535E+00  0.517094E+01 -0.754361E-01  0.197867E+02  0.701992E-03  0.241018E-03  0.294076E-03  0.148105E+03
  0.102241E+03 -0.145535E+00  0.952522E+01 -0.754361E-01  0.198814E+02  0.701992E-03  0.241018E-03  0.294076E-03  0.148155E+03
  0.102241E+03 -0.145535E+00  0.635533E+01 -0.754361E-01  0.946237E+01  0.682607E-03  0.241018E-03  0.294076E-03  0.148703E+03
  0.102241E+03 -0.145535E+00  0.635533E+01 -0.754361E-01  0.946237E+01  0.682607E-03  0.241018E-03  0.294076E-03  0.148703E+03
  0.102241E+03  0.573169E+01  0.635533E+01 -0.186735E+00  0.759981E+01  0.682607E-03  0.161154E-04  0.294076E-03  0.147363E+03
  0.102241E+03  0.573169E+01  0.635533E+01  0.116306E+02  0.798988E+01  0.682607E-03  0.161154E-04  0.294076E-03  0.149458E+03
  0.102329E+03  0.573169E+01  0.635533E+01  0.141090E+02  0.121122E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.150760E+03
  0.102329E+03  0.573169E+01  0.635533E+01  0.562797E+01  0.207144E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.149675E+03
  0.102329E+03  0.573169E+01  0.123800E+02  0.138988E+02  0.157652E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.150341E+03
  0.102329E+03  0.573169E+01  0.123800E+02  0.932871E+01  0.209711E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.150182E+03
  0.102329E+03  0.995911E+01  0.123800E+02  0.299626E+02  0.110360E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.145095E+03
  0.102329E+03  0.995911E+01  0.123800E+02  0.134156E+02  0.188293E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.148981E+03
  0.102329E+03  0.835497E+01  0.123800E+02  0.923762E+01  0.188293E+02  0.209946E-03  0.161154E-04  0.294076E-03  0.149247E+03
  0.102329E+03  0.169693E+01  0.123800E+02  0.950026E+01  0.510388E+01  0.209946E-03  0.161154E-04  0.294076E-03  0.148187E+03
  0.102329E+03  0.558109E+01  0.123800E+02  0.950026E+01  0.749060E+01  0.209946E-03  0.373879E-03  0.294076E-03  0.149097E+03
  0.102329E+03  0.558109E+01  0.123800E+02  0.102522E+02  0.629883E+01  0.209946E-03  0.373879E-03  0.294076E-03  0.148938E+03
  0.102329E+03  0.558109E+01  0.154073E+01  0.985855E+01  0.629883E+01  0.209946E-03  0.373879E-03  0.294076E-03  0.147748E+03
  0.102329E+03  0.558109E+01  0.154073E+01  0.408604E+01  0.140424E+02  0.938973E-03  0.373879E-03  0.294076E-03  0.144901E+03
  0.102329E+03  0.558109E+01  0.189344E+01  0.637483E+01  0.127794E+02  0.938973E-03  0.373879E-03  0.294076E-03  0.145479E+03
