X1_obs         X1_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      
   0.000000E+00   0.000000E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.112299E+00   0.784410E-01   0.575511E-01   0.426637E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.600000E-01   0.600000E-01   0.112546E+00   0.782550E-01   0.572459E-01   0.435692E-01   0.112546E+00   0.782550E-01   0.572459E-01   0.435692E-01   0.112259E+00   0.783962E-01   0.575068E-01   0.426190E-01   0.287401E-03  -0.141197E-03  -0.260979E-03   0.950157E-03   0.310821E+00  -0.253114E+00  -0.564226E+00   0.926646E+00
   0.504000E+00   0.504000E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111917E+00   0.780238E-01   0.571430E-01   0.422564E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.604000E+00   0.604000E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111830E+00   0.779308E-01   0.570531E-01   0.421679E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.650000E+00   0.650000E+00   0.111933E+00   0.776414E-01   0.566323E-01   0.429556E-01   0.111933E+00   0.776414E-01   0.566323E-01   0.429556E-01   0.111789E+00   0.778868E-01   0.570107E-01   0.421261E-01   0.143001E-03  -0.245327E-03  -0.378449E-03   0.829447E-03   0.154654E+00  -0.439782E+00  -0.818192E+00   0.808923E+00
   0.704000E+00   0.704000E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111740E+00   0.778336E-01   0.569595E-01   0.420760E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.804000E+00   0.804000E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111645E+00   0.777325E-01   0.568625E-01   0.419810E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.904000E+00   0.904000E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111548E+00   0.776288E-01   0.567633E-01   0.418842E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100400E+01   0.100400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111449E+00   0.775228E-01   0.566620E-01   0.417854E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.110400E+01   0.110400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111348E+00   0.774144E-01   0.565587E-01   0.416849E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.120400E+01   0.120400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111243E+00   0.773029E-01   0.564526E-01   0.415819E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.130400E+01   0.130400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111135E+00   0.771884E-01   0.563438E-01   0.414765E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.140400E+01   0.140400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111025E+00   0.770719E-01   0.562334E-01   0.413696E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.150400E+01   0.150400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110914E+00   0.769538E-01   0.561214E-01   0.412614E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.160400E+01   0.160400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110802E+00   0.768340E-01   0.560080E-01   0.411518E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.165000E+01   0.165000E+01   0.111046E+00   0.766031E-01   0.560822E-01   0.422574E-01   0.111046E+00   0.766031E-01   0.560822E-01   0.422574E-01   0.110749E+00   0.767782E-01   0.559552E-01   0.411009E-01   0.296737E-03  -0.175122E-03   0.126944E-03   0.115647E-02   0.320919E+00  -0.313930E+00   0.274448E+00   0.112786E+01
   0.170400E+01   0.170400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110687E+00   0.767121E-01   0.558927E-01   0.410405E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.180400E+01   0.180400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110570E+00   0.765883E-01   0.557757E-01   0.409278E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.190400E+01   0.190400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110453E+00   0.764633E-01   0.556577E-01   0.408140E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200400E+01   0.200400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110334E+00   0.763373E-01   0.555389E-01   0.406994E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.210400E+01   0.210400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110215E+00   0.762104E-01   0.554191E-01   0.405841E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.220400E+01   0.220400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.110095E+00   0.760826E-01   0.552985E-01   0.404679E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.230400E+01   0.230400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109975E+00   0.759538E-01   0.551771E-01   0.403509E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.240400E+01   0.240400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109854E+00   0.758246E-01   0.550553E-01   0.402335E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.250400E+01   0.250400E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109732E+00   0.756949E-01   0.549331E-01   0.401158E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
