a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.996550E+02   0.263927E+01  -0.948441E+01  -0.132281E+02  -0.104273E+02   0.465202E-03   0.116140E-04   0.460386E-03   0.779639E-03   0.186193E+03   0.000000E+00   0.000000E+00   0.186193E+03  -0.372386E+03
   0.996550E+02   0.263927E+01  -0.160822E+02  -0.128407E+02  -0.104273E+02   0.465202E-03   0.116140E-04   0.460386E-03   0.109695E-02   0.184184E+03   0.000000E+00   0.000000E+00   0.184184E+03  -0.368368E+03
   0.996550E+02   0.263927E+01  -0.143853E+02  -0.216794E+01  -0.143184E+02   0.557766E-03   0.116140E-04   0.460386E-03   0.109695E-02   0.186138E+03   0.000000E+00   0.000000E+00   0.186138E+03  -0.372276E+03
   0.996550E+02   0.831978E+00   0.264334E+01  -0.216794E+01  -0.700479E+01   0.557766E-03   0.116140E-04   0.460386E-03   0.109695E-02   0.186310E+03   0.000000E+00   0.000000E+00   0.186310E+03  -0.372620E+03
   0.996550E+02   0.529338E+01  -0.175304E+01   0.164170E+01  -0.393907E+01   0.557766E-03   0.116140E-04   0.460386E-03   0.109695E-02   0.188466E+03   0.000000E+00   0.000000E+00   0.188466E+03  -0.376932E+03
   0.996550E+02   0.529338E+01  -0.175304E+01   0.164170E+01  -0.393907E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.109695E-02   0.189523E+03   0.000000E+00   0.000000E+00   0.189523E+03  -0.379046E+03
   0.100625E+03   0.529338E+01  -0.377707E+01  -0.402221E+01   0.350612E+00   0.632996E-04   0.116140E-04   0.460386E-03   0.102151E-02   0.189843E+03   0.000000E+00   0.000000E+00   0.189843E+03  -0.379686E+03
   0.100625E+03   0.529338E+01   0.398064E+00  -0.136669E+01   0.148193E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.102151E-02   0.190814E+03   0.000000E+00   0.000000E+00   0.190814E+03  -0.381628E+03
   0.100625E+03  -0.865293E+00   0.398064E+00   0.221724E+00  -0.100662E+02   0.632996E-04   0.116140E-04   0.460386E-03   0.102151E-02   0.189397E+03   0.000000E+00   0.000000E+00   0.189397E+03  -0.378794E+03
   0.100625E+03   0.618298E+00  -0.774670E+01   0.316617E+01  -0.942624E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.102151E-02   0.189937E+03   0.000000E+00   0.000000E+00   0.189937E+03  -0.379874E+03
   0.100625E+03   0.618298E+00  -0.774670E+01   0.800802E+01  -0.775826E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.102151E-02   0.188618E+03   0.000000E+00   0.000000E+00   0.188618E+03  -0.377236E+03
   0.100625E+03   0.110455E+01   0.201370E+01   0.709447E+01   0.884114E+01   0.632996E-04   0.116140E-04   0.460386E-03   0.102151E-02   0.190506E+03   0.000000E+00   0.000000E+00   0.190506E+03  -0.381012E+03
   0.100625E+03   0.217994E+01   0.858013E+00  -0.460626E+01   0.729969E+01   0.632996E-04   0.161640E-03   0.460386E-03   0.102151E-02   0.191221E+03   0.000000E+00   0.000000E+00   0.191221E+03  -0.382442E+03
   0.100722E+03   0.217994E+01   0.858013E+00  -0.298326E+01   0.112030E+02   0.240021E-03   0.161640E-03   0.460386E-03   0.102151E-02   0.190918E+03   0.000000E+00   0.000000E+00   0.190918E+03  -0.381836E+03
   0.100722E+03   0.217994E+01   0.858013E+00  -0.729305E+01   0.112030E+02   0.240021E-03   0.312148E-03   0.460386E-03   0.102151E-02   0.189463E+03   0.000000E+00   0.000000E+00   0.189463E+03  -0.378926E+03
   0.100722E+03  -0.114816E+01   0.293007E+01  -0.811219E+01  -0.443377E+01   0.240021E-03   0.312148E-03   0.460386E-03   0.102151E-02   0.189450E+03   0.000000E+00   0.000000E+00   0.189450E+03  -0.378900E+03
   0.100722E+03   0.734069E+00   0.479130E+00  -0.315054E+01  -0.963412E+00   0.250942E-03   0.312148E-03   0.460386E-03   0.102151E-02   0.191084E+03   0.000000E+00   0.000000E+00   0.191084E+03  -0.382168E+03
   0.100722E+03   0.211998E+01   0.479130E+00  -0.572915E+01  -0.394337E+01   0.250942E-03   0.312148E-03   0.460386E-03   0.141327E-02   0.190239E+03   0.000000E+00   0.000000E+00   0.190239E+03  -0.380478E+03
   0.100722E+03   0.211998E+01  -0.841871E+01  -0.572915E+01  -0.785514E+01   0.301162E-03   0.312148E-03   0.460386E-03   0.141327E-02   0.189938E+03   0.000000E+00   0.000000E+00   0.189938E+03  -0.379876E+03
   0.100722E+03   0.543312E+01  -0.841871E+01  -0.572915E+01   0.325326E+01   0.301162E-03   0.312148E-03   0.642095E-03   0.191681E-02   0.185284E+03   0.000000E+00   0.000000E+00   0.185284E+03  -0.370568E+03
   0.100722E+03   0.543312E+01  -0.841871E+01   0.406144E+01   0.117028E+02   0.301162E-03   0.312148E-03   0.642095E-03   0.191681E-02   0.184923E+03   0.000000E+00   0.000000E+00   0.184923E+03  -0.369846E+03
   0.100722E+03   0.543312E+01  -0.841871E+01   0.124641E+01   0.276159E+01   0.301162E-03   0.312148E-03   0.642095E-03   0.191681E-02   0.186167E+03   0.000000E+00   0.000000E+00   0.186167E+03  -0.372334E+03
   0.100722E+03   0.543312E+01   0.380565E+01   0.539181E+01   0.440588E+01   0.301162E-03   0.570938E-03   0.642095E-03   0.191681E-02   0.186697E+03   0.000000E+00   0.000000E+00   0.186697E+03  -0.373394E+03
   0.100722E+03   0.982409E+01   0.380565E+01   0.148935E+02   0.893964E+01   0.301162E-03   0.570938E-03   0.642095E-03   0.132721E-02   0.186708E+03   0.000000E+00   0.000000E+00   0.186708E+03  -0.373416E+03
   0.100722E+03   0.248739E+01   0.673375E+01   0.990192E+01   0.893964E+01   0.301162E-03   0.570938E-03   0.642095E-03   0.132721E-02   0.187086E+03   0.000000E+00   0.000000E+00   0.187086E+03  -0.374172E+03
   0.101572E+03   0.248739E+01   0.907177E+01   0.990192E+01   0.171346E+02   0.136948E-03   0.570938E-03   0.642095E-03   0.132721E-02   0.187789E+03   0.000000E+00   0.000000E+00   0.187789E+03  -0.375578E+03
   0.101572E+03   0.901134E+01   0.357673E+01   0.134273E+02   0.980070E+01   0.109422E-03   0.570938E-03   0.642095E-03   0.132721E-02   0.187831E+03   0.000000E+00   0.000000E+00   0.187831E+03  -0.375662E+03
   0.101572E+03   0.978258E+01   0.851599E+01   0.149466E+02   0.221504E+02   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.188128E+03   0.000000E+00   0.000000E+00   0.188128E+03  -0.376256E+03
   0.103372E+03   0.978258E+01   0.132564E+02   0.186693E+02   0.169920E+02   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.191161E+03   0.000000E+00   0.000000E+00   0.191161E+03  -0.382322E+03
   0.103372E+03   0.978258E+01   0.132564E+02   0.266474E+02   0.115538E+01   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.187594E+03   0.000000E+00   0.000000E+00   0.187594E+03  -0.375188E+03
   0.103372E+03   0.981051E+01   0.132156E+02   0.145015E+02   0.115538E+01   0.109422E-03   0.854870E-04   0.642095E-03   0.132721E-02   0.188000E+03   0.000000E+00   0.000000E+00   0.188000E+03  -0.376000E+03
   0.103372E+03   0.981051E+01   0.132156E+02   0.145015E+02   0.257464E+02   0.109422E-03   0.589439E-04   0.642095E-03   0.135061E-02   0.190693E+03   0.000000E+00   0.000000E+00   0.190693E+03  -0.381386E+03
   0.103372E+03   0.981051E+01   0.132156E+02   0.169246E+02   0.257464E+02   0.109422E-03   0.589439E-04   0.642095E-03   0.154201E-02   0.190528E+03   0.000000E+00   0.000000E+00   0.190528E+03  -0.381056E+03
   0.103372E+03   0.843347E+01   0.168052E+02   0.112745E+02   0.257464E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.154201E-02   0.190320E+03   0.000000E+00   0.000000E+00   0.190320E+03  -0.380640E+03
   0.103372E+03   0.843347E+01   0.899046E+01   0.747282E+01   0.269366E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.114300E-02   0.188658E+03   0.000000E+00   0.000000E+00   0.188658E+03  -0.377316E+03
   0.102532E+03   0.811705E+01   0.136309E+02   0.195620E+02   0.252747E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.114300E-02   0.189225E+03   0.000000E+00   0.000000E+00   0.189225E+03  -0.378450E+03
   0.102532E+03   0.811705E+01   0.136309E+02   0.174866E+02   0.213246E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.114300E-02   0.190647E+03   0.000000E+00   0.000000E+00   0.190647E+03  -0.381294E+03
   0.102532E+03   0.811705E+01   0.130179E+02   0.142346E+02   0.191620E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.976743E-03   0.191414E+03   0.000000E+00   0.000000E+00   0.191414E+03  -0.382828E+03
   0.102906E+03   0.601240E+01   0.896960E+01   0.111123E+02   0.137630E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.976743E-03   0.190800E+03   0.000000E+00   0.000000E+00   0.190800E+03  -0.381600E+03
   0.102906E+03   0.601240E+01   0.796587E+01   0.163392E+01   0.169237E+02   0.109422E-03   0.554967E-04   0.642095E-03   0.976743E-03   0.189183E+03   0.000000E+00   0.000000E+00   0.189183E+03  -0.378366E+03
   0.101774E+03   0.601240E+01   0.825299E+01   0.114473E+02   0.911167E+01   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.192210E+03   0.000000E+00   0.000000E+00   0.192210E+03  -0.384420E+03
   0.101774E+03   0.585596E+01   0.836905E+01   0.397817E+01   0.123582E+02   0.109422E-03   0.554967E-04   0.519877E-03   0.976743E-03   0.191622E+03   0.000000E+00   0.000000E+00   0.191622E+03  -0.383244E+03
