a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180395E+03
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180395E+03
  0.100518E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180324E+03
  0.100518E+03  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180324E+03
  0.100518E+03 -0.100623E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.140658E-02  0.180015E+03
  0.100518E+03  0.412990E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.140658E-02  0.180273E+03
  0.100518E+03 -0.117614E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.124155E-02  0.180160E+03
  0.100518E+03  0.127931E+01  0.100000E-02  0.100000E-02  0.100000E-02  0.124155E-02  0.180589E+03
  0.100518E+03  0.127931E+01  0.100000E-02  0.100000E-02  0.886075E-03  0.124155E-02  0.181317E+03
  0.100518E+03 -0.664153E+00  0.100000E-02  0.100000E-02  0.727263E-03  0.124155E-02  0.182178E+03
  0.100518E+03 -0.664153E+00  0.100000E-02  0.100000E-02  0.727263E-03  0.124155E-02  0.182178E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.100000E-02  0.727263E-03  0.124155E-02  0.181212E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183518E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183518E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183518E+03
  0.100518E+03  0.636757E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183518E+03
  0.100518E+03  0.293497E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184708E+03
  0.100518E+03  0.309279E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184689E+03
  0.100518E+03  0.309279E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184689E+03
  0.100518E+03  0.309279E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184689E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184609E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184609E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184609E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184609E+03
  0.100518E+03  0.579942E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184609E+03
  0.100518E+03 -0.117703E+00  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184438E+03
  0.100518E+03  0.371960E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.184577E+03
  0.100518E+03 -0.149309E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183909E+03
  0.100518E+03 -0.349982E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.182682E+03
  0.100518E+03 -0.349982E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.182682E+03
  0.100518E+03  0.548974E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183975E+03
  0.100518E+03  0.548974E+01  0.100000E-02  0.585912E-03  0.727263E-03  0.124155E-02  0.183975E+03
  0.100518E+03  0.573115E+01  0.100000E-02  0.861212E-03  0.727263E-03  0.124155E-02  0.182279E+03
  0.100518E+03  0.650919E+01  0.100000E-02  0.861212E-03  0.600717E-03  0.124155E-02  0.182470E+03
  0.100518E+03  0.385521E+01  0.100000E-02  0.861212E-03  0.845505E-03  0.124155E-02  0.182189E+03
  0.100518E+03  0.385521E+01  0.100000E-02  0.861212E-03  0.845505E-03  0.124155E-02  0.182189E+03
  0.100518E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.183488E+03
  0.100518E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.183488E+03
  0.100518E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.183488E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.845505E-03  0.124155E-02  0.183476E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.124155E-02  0.184472E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.124155E-02  0.184472E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.124155E-02  0.184472E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.861212E-03  0.684039E-03  0.129083E-02  0.184429E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.632923E-03  0.684039E-03  0.129083E-02  0.185728E+03
  0.100340E+03  0.385521E+01  0.683459E-03  0.705705E-03  0.684039E-03  0.129083E-02  0.185314E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.684039E-03  0.129083E-02  0.184383E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.684039E-03  0.129083E-02  0.184383E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.186685E+03
  0.994961E+02  0.385521E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.186685E+03
  0.994961E+02 -0.997930E+00  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187525E+03
  0.994961E+02 -0.997930E+00  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187525E+03
  0.994961E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187221E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187012E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187012E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.129083E-02  0.187012E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.110343E-02  0.187269E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.110343E-02  0.187269E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.110343E-02  0.187269E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.110343E-02  0.187269E+03
  0.994146E+02  0.303242E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.110343E-02  0.187269E+03
  0.994146E+02  0.159705E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.636311E-03  0.186564E+03
  0.994146E+02  0.513915E+00  0.683459E-03  0.705705E-03  0.103707E-03  0.636311E-03  0.186706E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.636311E-03  0.182550E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.636311E-03  0.182550E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.182956E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.182956E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.185232E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.185232E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.185232E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.185232E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187163E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187163E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187163E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187163E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187163E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.604261E-03  0.103707E-03  0.680161E-03  0.187299E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.604261E-03  0.103707E-03  0.680161E-03  0.187299E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.604261E-03  0.103707E-03  0.680161E-03  0.187299E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.980230E-03  0.103707E-03  0.680161E-03  0.185905E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.980230E-03  0.103707E-03  0.680161E-03  0.185905E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.980230E-03  0.103707E-03  0.680161E-03  0.185905E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.980230E-03  0.103707E-03  0.680161E-03  0.185905E+03
  0.100873E+03  0.130168E+01  0.683459E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.186560E+03
