a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101928E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.465486E-03   0.136467E-02   0.188653E+03   0.000000E+00   0.000000E+00   0.188653E+03  -0.377306E+03
   0.101928E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.465486E-03   0.104294E-02   0.188185E+03   0.000000E+00   0.000000E+00   0.188185E+03  -0.376370E+03
   0.101673E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.104294E-02   0.190452E+03   0.000000E+00   0.000000E+00   0.190452E+03  -0.380904E+03
   0.101279E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.104294E-02   0.191424E+03   0.000000E+00   0.000000E+00   0.191424E+03  -0.382848E+03
   0.101279E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.187045E-02   0.190819E+03   0.000000E+00   0.000000E+00   0.190819E+03  -0.381638E+03
   0.101279E+03   0.339492E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.117539E-02   0.191671E+03   0.000000E+00   0.000000E+00   0.191671E+03  -0.383342E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.432885E-03   0.106064E-03   0.141588E-02   0.191188E+03   0.000000E+00   0.000000E+00   0.191188E+03  -0.382376E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.432885E-03   0.106064E-03   0.125785E-02   0.191263E+03   0.000000E+00   0.000000E+00   0.191263E+03  -0.382526E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.192950E+03   0.000000E+00   0.000000E+00   0.192950E+03  -0.385900E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.192950E+03   0.000000E+00   0.000000E+00   0.192950E+03  -0.385900E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193132E+03   0.000000E+00   0.000000E+00   0.193132E+03  -0.386264E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193132E+03   0.000000E+00   0.000000E+00   0.193132E+03  -0.386264E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193132E+03   0.000000E+00   0.000000E+00   0.193132E+03  -0.386264E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193132E+03   0.000000E+00   0.000000E+00   0.193132E+03  -0.386264E+03
   0.101279E+03   0.285966E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.236369E-02   0.191027E+03   0.000000E+00   0.000000E+00   0.191027E+03  -0.382054E+03
   0.101279E+03   0.285966E+01   0.660806E-04   0.969402E-04   0.106064E-03   0.784841E-03   0.191144E+03   0.000000E+00   0.000000E+00   0.191144E+03  -0.382288E+03
   0.101279E+03   0.285966E+01   0.660806E-04   0.969402E-04   0.106064E-03   0.784841E-03   0.191144E+03   0.000000E+00   0.000000E+00   0.191144E+03  -0.382288E+03
   0.101279E+03   0.794238E+00   0.660806E-04   0.969402E-04   0.106064E-03   0.784841E-03   0.191499E+03   0.000000E+00   0.000000E+00   0.191499E+03  -0.382998E+03
   0.101279E+03   0.794238E+00   0.660806E-04   0.969402E-04   0.106064E-03   0.784841E-03   0.191499E+03   0.000000E+00   0.000000E+00   0.191499E+03  -0.382998E+03
   0.101279E+03   0.794238E+00   0.238660E-03   0.969402E-04   0.317374E-04   0.784841E-03   0.191405E+03   0.000000E+00   0.000000E+00   0.191405E+03  -0.382810E+03
   0.101279E+03   0.155565E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.200712E-02   0.191939E+03   0.000000E+00   0.000000E+00   0.191939E+03  -0.383878E+03
   0.101279E+03   0.155565E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.200712E-02   0.191939E+03   0.000000E+00   0.000000E+00   0.191939E+03  -0.383878E+03
   0.101279E+03   0.650816E+00   0.238660E-03   0.969402E-04   0.317374E-04   0.894768E-03   0.192203E+03   0.000000E+00   0.000000E+00   0.192203E+03  -0.384406E+03
   0.101279E+03   0.650816E+00   0.238660E-03   0.969402E-04   0.317374E-04   0.894768E-03   0.192203E+03   0.000000E+00   0.000000E+00   0.192203E+03  -0.384406E+03
   0.100209E+03   0.650816E+00   0.238660E-03   0.969402E-04   0.317374E-04   0.180234E-02   0.191342E+03   0.000000E+00   0.000000E+00   0.191342E+03  -0.382684E+03
   0.100209E+03   0.168923E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.180234E-02   0.191481E+03   0.000000E+00   0.000000E+00   0.191481E+03  -0.382962E+03
   0.100209E+03   0.168923E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.180234E-02   0.191481E+03   0.000000E+00   0.000000E+00   0.191481E+03  -0.382962E+03
   0.100209E+03   0.168923E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.787818E-03   0.191810E+03   0.000000E+00   0.000000E+00   0.191810E+03  -0.383620E+03
   0.100209E+03   0.168923E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.787818E-03   0.191810E+03   0.000000E+00   0.000000E+00   0.191810E+03  -0.383620E+03
   0.997492E+02   0.168923E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.787818E-03   0.190671E+03   0.000000E+00   0.000000E+00   0.190671E+03  -0.381342E+03
   0.997492E+02   0.168923E+01   0.238660E-03   0.969402E-04   0.317374E-04   0.599489E-03   0.189161E+03   0.000000E+00   0.000000E+00   0.189161E+03  -0.378322E+03
   0.997492E+02   0.168923E+01   0.558764E-03   0.969402E-04   0.317374E-04   0.599489E-03   0.188380E+03   0.000000E+00   0.000000E+00   0.188380E+03  -0.376760E+03
   0.995285E+02   0.168923E+01   0.558764E-03   0.969402E-04   0.317374E-04   0.112115E-02   0.189491E+03   0.000000E+00   0.000000E+00   0.189491E+03  -0.378982E+03
   0.995285E+02   0.168923E+01   0.558764E-03   0.969402E-04   0.116632E-03   0.112115E-02   0.189368E+03   0.000000E+00   0.000000E+00   0.189368E+03  -0.378736E+03
   0.995285E+02   0.168923E+01   0.399821E-03   0.573098E-03   0.116632E-03   0.112115E-02   0.189319E+03   0.000000E+00   0.000000E+00   0.189319E+03  -0.378638E+03
   0.995285E+02   0.168923E+01   0.399821E-03   0.573098E-03   0.116632E-03   0.112115E-02   0.189319E+03   0.000000E+00   0.000000E+00   0.189319E+03  -0.378638E+03
   0.995285E+02   0.168923E+01   0.747291E-03   0.573098E-03   0.116632E-03   0.112115E-02   0.188285E+03   0.000000E+00   0.000000E+00   0.188285E+03  -0.376570E+03
   0.995285E+02   0.168923E+01   0.747291E-03   0.573098E-03   0.116632E-03   0.112115E-02   0.188285E+03   0.000000E+00   0.000000E+00   0.188285E+03  -0.376570E+03
   0.995285E+02   0.287463E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.112115E-02   0.189469E+03   0.000000E+00   0.000000E+00   0.189469E+03  -0.378938E+03
   0.995285E+02   0.287463E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.112115E-02   0.189469E+03   0.000000E+00   0.000000E+00   0.189469E+03  -0.378938E+03
   0.995285E+02   0.287463E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.185798E+03   0.000000E+00   0.000000E+00   0.185798E+03  -0.371596E+03
   0.995285E+02   0.176807E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186090E+03   0.000000E+00   0.000000E+00   0.186090E+03  -0.372180E+03
   0.995285E+02   0.176807E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186090E+03   0.000000E+00   0.000000E+00   0.186090E+03  -0.372180E+03
   0.995285E+02   0.176807E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186090E+03   0.000000E+00   0.000000E+00   0.186090E+03  -0.372180E+03
   0.995285E+02   0.176807E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186090E+03   0.000000E+00   0.000000E+00   0.186090E+03  -0.372180E+03
   0.995285E+02   0.116825E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186110E+03   0.000000E+00   0.000000E+00   0.186110E+03  -0.372220E+03
   0.995285E+02   0.116825E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186110E+03   0.000000E+00   0.000000E+00   0.186110E+03  -0.372220E+03
   0.995285E+02   0.116003E+01   0.264654E-04   0.573098E-03   0.116632E-03   0.266893E-02   0.186109E+03   0.000000E+00   0.000000E+00   0.186109E+03  -0.372218E+03
   0.995285E+02   0.296234E+01   0.470036E-03   0.573098E-03   0.116632E-03   0.266893E-02   0.185048E+03   0.000000E+00   0.000000E+00   0.185048E+03  -0.370096E+03
   0.995285E+02   0.161063E+01   0.470036E-03   0.573098E-03   0.116632E-03   0.608732E-03   0.187507E+03   0.000000E+00   0.000000E+00   0.187507E+03  -0.375014E+03
   0.995285E+02   0.161063E+01   0.470036E-03   0.573098E-03   0.116632E-03   0.608732E-03   0.187507E+03   0.000000E+00   0.000000E+00   0.187507E+03  -0.375014E+03
   0.995285E+02   0.161063E+01   0.470036E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.188761E+03   0.000000E+00   0.000000E+00   0.188761E+03  -0.377522E+03
   0.995285E+02   0.161063E+01   0.470036E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.188761E+03   0.000000E+00   0.000000E+00   0.188761E+03  -0.377522E+03
   0.995285E+02   0.161063E+01   0.470036E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.188761E+03   0.000000E+00   0.000000E+00   0.188761E+03  -0.377522E+03
   0.992163E+02   0.161063E+01   0.470036E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.187441E+03   0.000000E+00   0.000000E+00   0.187441E+03  -0.374882E+03
   0.996247E+02   0.303906E+00   0.470036E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.188968E+03   0.000000E+00   0.000000E+00   0.188968E+03  -0.377936E+03
   0.101286E+03   0.303906E+00   0.470036E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.190826E+03   0.000000E+00   0.000000E+00   0.190826E+03  -0.381652E+03
