               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.993562E+02  -0.361689E+01  -0.110998E+02   0.115695E-05   0.223001E-06   0.279924E-04   0.731585E-03
Maximum           0.103767E+03   0.870941E+01   0.144577E+02   0.102983E-02   0.139488E-02   0.109751E-02   0.378694E-02
Range             0.441080E+01   0.123263E+02   0.255575E+02   0.102867E-02   0.139466E-02   0.106952E-02   0.305536E-02
Mean              0.101257E+03   0.178908E+01   0.227493E+01   0.271647E-03   0.247281E-03   0.244276E-03   0.144180E-02
Median            0.101207E+03   0.172006E+01   0.213997E+01   0.168755E-03   0.239657E-03   0.201660E-03   0.138866E-02
Q10%              0.100279E+03  -0.805802E+00  -0.409636E+01   0.460800E-04   0.145919E-04   0.325929E-04   0.105090E-02
Q25%              0.100754E+03   0.526550E+00  -0.102247E+01   0.106966E-03   0.908723E-04   0.114341E-03   0.120033E-02
Q75%              0.101788E+03   0.334379E+01   0.570662E+01   0.399267E-03   0.348694E-03   0.267667E-03   0.157866E-02
Q90%              0.102268E+03   0.425217E+01   0.845308E+01   0.598264E-03   0.511537E-03   0.538593E-03   0.194298E-02
St.Dev.           0.799861E+00   0.209292E+01   0.482241E+01   0.227645E-03   0.192723E-03   0.194267E-03   0.430238E-03
Variance          0.639777E+00   0.438029E+01   0.232556E+02   0.518224E-07   0.371421E-07   0.377396E-07   0.185105E-06
CV                0.789932E-02   0.116983E+01   0.211980E+01   0.838020E+00   0.779368E+00   0.795275E+00   0.298403E+00
Skewness          0.479831E+00  -0.417941E-03  -0.488315E-01   0.994097E+00   0.122838E+01   0.155460E+01   0.227919E+01
Kurtosis          0.155255E+00   0.337341E+00  -0.270573E+00   0.339816E+00   0.335831E+01   0.300608E+01   0.834495E+01
MaxPost           0.100927E+03   0.134666E+01   0.133070E+00   0.115449E-03   0.973606E-04   0.201660E-03   0.141983E-02
