               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.994176E+02  -0.778183E+01  -0.143159E+02  -0.276984E+02   0.390619E-04   0.115561E-04   0.136066E-05   0.601216E-03
Maximum           0.103170E+03   0.935058E+01   0.128337E+02   0.203864E+02   0.148513E-02   0.941577E-03   0.887900E-03   0.352466E-02
Range             0.375240E+01   0.171324E+02   0.271496E+02   0.480848E+02   0.144607E-02   0.930021E-03   0.886539E-03   0.292344E-02
Mean              0.101318E+03   0.151906E+01   0.909287E+00  -0.143547E+01   0.398803E-03   0.289262E-03   0.302459E-03   0.147630E-02
Median            0.101252E+03   0.137633E+01   0.102717E+01  -0.168382E+01   0.328919E-03   0.269952E-03   0.243388E-03   0.141418E-02
Q10%              0.100583E+03  -0.278271E+01  -0.593166E+01  -0.143982E+02   0.941609E-04   0.456189E-04   0.542956E-04   0.899708E-03
Q25%              0.100887E+03  -0.620295E+00  -0.258493E+01  -0.877915E+01   0.129310E-03   0.866862E-04   0.152678E-03   0.105867E-02
Q75%              0.101799E+03   0.406145E+01   0.564527E+01   0.672022E+01   0.613461E-03   0.434794E-03   0.409073E-03   0.174472E-02
Q90%              0.102141E+03   0.556642E+01   0.762875E+01   0.113155E+02   0.913814E-03   0.546774E-03   0.687496E-03   0.213663E-02
St.Dev.           0.650220E+00   0.326526E+01   0.532288E+01   0.101226E+02   0.319147E-03   0.205391E-03   0.210778E-03   0.510256E-03
Variance          0.422786E+00   0.106619E+02   0.283331E+02   0.102467E+03   0.101855E-06   0.421853E-07   0.444272E-07   0.260361E-06
CV                0.641762E-02   0.214952E+01   0.585391E+01   0.705178E+01   0.800262E+00   0.710051E+00   0.696881E+00   0.345632E+00
Skewness         -0.693437E-01  -0.856469E-01  -0.267796E+00  -0.187274E+00   0.110268E+01   0.524318E+00   0.789110E+00   0.977298E+00
Kurtosis          0.610532E+00  -0.804673E-01  -0.502291E+00  -0.614521E+00   0.543615E+00  -0.495021E+00  -0.930977E-01   0.125614E+01
MaxPost           0.100890E+03  -0.434269E+00  -0.624802E+00  -0.253666E+01   0.942253E-04   0.123175E-03   0.431410E-04   0.141418E-02
