               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.996521E+02  -0.620774E+01  -0.160338E+02  -0.200828E+02  -0.270562E+02   0.980140E-06   0.132758E-04   0.266452E-04   0.633831E-03
Maximum           0.108241E+03   0.187160E+02   0.388539E+02   0.385172E+02   0.517828E+02   0.209877E-02   0.194677E-02   0.110942E-02   0.366793E-02
Range             0.858890E+01   0.249237E+02   0.548877E+02   0.586000E+02   0.788390E+02   0.209779E-02   0.193349E-02   0.108277E-02   0.303410E-02
Mean              0.103150E+03   0.503852E+01   0.125653E+02   0.867842E+01   0.172241E+02   0.496880E-03   0.280105E-03   0.268174E-03   0.137749E-02
Median            0.102874E+03   0.471046E+01   0.122149E+02   0.947040E+01   0.178524E+02   0.319145E-03   0.219319E-03   0.190757E-03   0.127776E-02
Q10%              0.100689E+03  -0.859371E+00  -0.268893E+01  -0.821230E+01  -0.405867E+01   0.373633E-04   0.167336E-04   0.869396E-04   0.847032E-03
Q25%              0.101291E+03   0.952281E+00   0.344195E+01  -0.374459E+00   0.493640E+01   0.185309E-03   0.682353E-04   0.117338E-03   0.102662E-02
Q75%              0.105115E+03   0.860144E+01   0.221910E+02   0.173982E+02   0.301186E+02   0.671007E-03   0.369194E-03   0.293808E-03   0.162628E-02
Q90%              0.106261E+03   0.124811E+02   0.273302E+02   0.256302E+02   0.383733E+02   0.105312E-02   0.517650E-03   0.639618E-03   0.205838E-02
St.Dev.           0.208513E+01   0.521204E+01   0.114988E+02   0.122142E+02   0.162364E+02   0.447240E-03   0.296271E-03   0.227663E-03   0.505330E-03
Variance          0.434778E+01   0.271653E+02   0.132222E+03   0.149186E+03   0.263620E+03   0.200024E-06   0.877766E-07   0.518305E-07   0.255359E-06
CV                0.202146E-01   0.103444E+01   0.915127E+00   0.140742E+01   0.942655E+00   0.900097E+00   0.105771E+01   0.848939E+00   0.366849E+00
Skewness          0.419075E+00   0.516789E+00  -0.504326E-01   0.155452E-01  -0.141470E+00   0.128206E+01   0.235994E+01   0.197949E+01   0.149062E+01
Kurtosis         -0.105889E+01  -0.456096E+00  -0.913812E+00  -0.618382E+00  -0.740699E+00   0.145456E+01   0.735925E+01   0.369849E+01   0.299940E+01
MaxPost           0.103916E+03   0.963646E+01   0.193001E+02   0.193871E+02   0.272307E+02   0.265731E-03   0.167336E-04   0.102829E-03   0.118612E-02
