a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100000E+03  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.179609E+03
  0.101102E+03  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.125884E-02  0.100000E-02  0.176793E-02  0.179336E+03
  0.101102E+03  0.100000E-02  0.496885E-03  0.100000E-02  0.100000E-02  0.100000E-02  0.166542E-02  0.100000E-02  0.183030E-02  0.179394E+03
  0.101102E+03  0.100000E-02  0.496885E-03  0.100000E-02  0.100000E-02  0.100000E-02  0.142681E-02  0.100000E-02  0.183030E-02  0.179803E+03
  0.101102E+03  0.100000E-02  0.331850E-03  0.100000E-02  0.222772E-02  0.100000E-02  0.142681E-02  0.100000E-02  0.100109E-02  0.179593E+03
  0.101102E+03  0.100000E-02  0.331850E-03  0.100000E-02  0.211380E-02  0.100000E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.180642E+03
  0.101102E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.100000E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.181090E+03
  0.101102E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.100000E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.181090E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.100000E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.182118E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.100000E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.182118E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.298432E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.178874E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.306323E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.178779E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.810300E-02  0.142681E-02  0.282682E-04  0.100109E-02  0.175038E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.211380E-02  0.810300E-02  0.170388E-03  0.282682E-04  0.100109E-02  0.174921E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.124466E-01  0.170388E-03  0.282682E-04  0.100109E-02  0.173876E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.745243E-02  0.170388E-03  0.282682E-04  0.100109E-02  0.175908E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.563800E-02  0.170388E-03  0.282682E-04  0.124888E-02  0.176417E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.563800E-02  0.170388E-03  0.282682E-04  0.124888E-02  0.176417E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.563800E-02  0.170388E-03  0.282682E-04  0.124888E-02  0.176417E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.563800E-02  0.170388E-03  0.282682E-04  0.124888E-02  0.176417E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.442936E-03  0.170010E-02  0.401212E-02  0.110099E-02  0.327432E-03  0.124888E-02  0.178536E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.188616E-02  0.578830E-05  0.413282E-02  0.110099E-02  0.602732E-03  0.124888E-02  0.175860E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.227518E-02  0.175497E-02  0.448116E-02  0.974446E-03  0.602732E-03  0.124888E-02  0.175173E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.227518E-02  0.199976E-02  0.412826E-03  0.974446E-03  0.602732E-03  0.124888E-02  0.180265E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.227518E-02  0.199976E-02  0.412826E-03  0.974446E-03  0.602732E-03  0.124888E-02  0.180265E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.227518E-02  0.199976E-02  0.412826E-03  0.974446E-03  0.255491E-02  0.124888E-02  0.176652E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.227518E-02  0.199976E-02  0.412826E-03  0.974446E-03  0.255491E-02  0.464736E-04  0.178665E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.227518E-02  0.183829E-02  0.412826E-03  0.974446E-03  0.255491E-02  0.464736E-04  0.178921E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.137066E-02  0.183829E-02  0.412826E-03  0.974446E-03  0.255491E-02  0.464736E-04  0.180490E+03
  0.100273E+03  0.841188E-03  0.331850E-03  0.137066E-02  0.183829E-02  0.462105E-03  0.974446E-03  0.255491E-02  0.464736E-04  0.180493E+03
  0.998168E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.462105E-03  0.104723E-02  0.255491E-02  0.464736E-04  0.180329E+03
  0.989729E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.462105E-03  0.510055E-03  0.255491E-02  0.464736E-04  0.179711E+03
  0.989729E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.462105E-03  0.510055E-03  0.255491E-02  0.464736E-04  0.179711E+03
  0.989729E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.722387E-03  0.510055E-03  0.255491E-02  0.464736E-04  0.179657E+03
  0.989729E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.722387E-03  0.510055E-03  0.308759E-02  0.464736E-04  0.178979E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.722387E-03  0.510055E-03  0.308759E-02  0.570380E-05  0.178275E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.179549E-02  0.722387E-03  0.510055E-03  0.308759E-02  0.570380E-05  0.178275E+03
  0.986339E+02  0.841188E-03  0.331850E-03  0.137066E-02  0.103289E-02  0.722387E-03  0.510055E-03  0.214696E-02  0.570380E-05  0.180607E+03
