a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101548E+03   0.211894E+01   0.125280E+02   0.400296E-03   0.210255E-03   0.954171E-04   0.847459E-03   0.189385E+03   0.000000E+00   0.000000E+00   0.189385E+03  -0.378770E+03
   0.101548E+03   0.211894E+01   0.118983E+02   0.400296E-03   0.210255E-03   0.954171E-04   0.847459E-03   0.189831E+03   0.000000E+00   0.000000E+00   0.189831E+03  -0.379662E+03
   0.101548E+03   0.211894E+01   0.523645E+00   0.400296E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.191291E+03   0.000000E+00   0.000000E+00   0.191291E+03  -0.382582E+03
   0.101548E+03  -0.352949E+00  -0.417874E+00   0.400296E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.190788E+03   0.000000E+00   0.000000E+00   0.190788E+03  -0.381576E+03
   0.100478E+03   0.238505E+01  -0.417874E+00   0.400296E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.192232E+03   0.000000E+00   0.000000E+00   0.192232E+03  -0.384464E+03
   0.100157E+03   0.238505E+01  -0.133969E+01   0.400296E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.191906E+03   0.000000E+00   0.000000E+00   0.191906E+03  -0.383812E+03
   0.100157E+03   0.238505E+01   0.350415E+01   0.135253E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.191567E+03   0.000000E+00   0.000000E+00   0.191567E+03  -0.383134E+03
   0.100157E+03   0.154034E+01   0.935338E+00   0.135253E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.192310E+03   0.000000E+00   0.000000E+00   0.192310E+03  -0.384620E+03
   0.996977E+02   0.154034E+01  -0.282306E+01   0.135253E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.191540E+03   0.000000E+00   0.000000E+00   0.191540E+03  -0.383080E+03
   0.996977E+02  -0.103779E+01  -0.104050E+01   0.135253E-03   0.210255E-03   0.220197E-03   0.847459E-03   0.190099E+03   0.000000E+00   0.000000E+00   0.190099E+03  -0.380198E+03
   0.100128E+03  -0.201466E+01  -0.131299E+01   0.135253E-03   0.210255E-03   0.220197E-03   0.120313E-02   0.190389E+03   0.000000E+00   0.000000E+00   0.190389E+03  -0.380778E+03
   0.101067E+03   0.213198E+01  -0.471619E+01   0.135253E-03   0.210255E-03   0.220197E-03   0.120313E-02   0.192109E+03   0.000000E+00   0.000000E+00   0.192109E+03  -0.384218E+03
   0.101067E+03   0.213198E+01   0.135851E+01   0.220148E-03   0.210255E-03   0.612544E-04   0.120313E-02   0.193554E+03   0.000000E+00   0.000000E+00   0.193554E+03  -0.387108E+03
   0.101067E+03   0.213198E+01  -0.746149E+00   0.220148E-03   0.210255E-03   0.612544E-04   0.120313E-02   0.193349E+03   0.000000E+00   0.000000E+00   0.193349E+03  -0.386698E+03
   0.101067E+03   0.213198E+01  -0.746149E+00   0.220148E-03   0.210255E-03   0.612544E-04   0.120313E-02   0.193349E+03   0.000000E+00   0.000000E+00   0.193349E+03  -0.386698E+03
   0.101067E+03   0.213198E+01  -0.746149E+00   0.220148E-03   0.210255E-03   0.612544E-04   0.120313E-02   0.193349E+03   0.000000E+00   0.000000E+00   0.193349E+03  -0.386698E+03
   0.101067E+03   0.213198E+01  -0.746149E+00   0.220148E-03   0.210255E-03   0.612544E-04   0.120313E-02   0.193349E+03   0.000000E+00   0.000000E+00   0.193349E+03  -0.386698E+03
   0.101067E+03   0.213198E+01  -0.746149E+00   0.161314E-02   0.210255E-03   0.612544E-04   0.120313E-02   0.188273E+03   0.000000E+00   0.000000E+00   0.188273E+03  -0.376546E+03
   0.101067E+03   0.213198E+01   0.392685E+01   0.161314E-02   0.210255E-03   0.612544E-04   0.120313E-02   0.188422E+03   0.000000E+00   0.000000E+00   0.188422E+03  -0.376844E+03
   0.101067E+03   0.213198E+01   0.392685E+01   0.161314E-02   0.210255E-03   0.612544E-04   0.120313E-02   0.188422E+03   0.000000E+00   0.000000E+00   0.188422E+03  -0.376844E+03
   0.101067E+03   0.213198E+01   0.621901E+01   0.161314E-02   0.210255E-03   0.612544E-04   0.120313E-02   0.187929E+03   0.000000E+00   0.000000E+00   0.187929E+03  -0.375858E+03
   0.101067E+03   0.153216E+01  -0.157090E+01   0.161314E-02   0.210255E-03   0.612544E-04   0.120313E-02   0.188276E+03   0.000000E+00   0.000000E+00   0.188276E+03  -0.376552E+03
   0.101067E+03   0.153216E+01  -0.415417E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.140007E-02   0.192417E+03   0.000000E+00   0.000000E+00   0.192417E+03  -0.384834E+03
   0.101067E+03   0.281998E+00   0.517397E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.140007E-02   0.192617E+03   0.000000E+00   0.000000E+00   0.192617E+03  -0.385234E+03
   0.101954E+03   0.281998E+00   0.517397E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.140007E-02   0.192268E+03   0.000000E+00   0.000000E+00   0.192268E+03  -0.384536E+03
   0.101954E+03   0.235137E+01   0.434470E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.993367E-03   0.192129E+03   0.000000E+00   0.000000E+00   0.192129E+03  -0.384258E+03
   0.996273E+02   0.235137E+01   0.641494E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.993367E-03   0.187560E+03   0.000000E+00   0.000000E+00   0.187560E+03  -0.375120E+03
   0.996273E+02   0.498498E+00  -0.246799E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.993367E-03   0.191596E+03   0.000000E+00   0.000000E+00   0.191596E+03  -0.383192E+03
   0.996273E+02   0.298330E+01  -0.361297E+01   0.210008E-03   0.210255E-03   0.612544E-04   0.993367E-03   0.191381E+03   0.000000E+00   0.000000E+00   0.191381E+03  -0.382762E+03
   0.996273E+02   0.298330E+01  -0.406538E+01   0.210008E-03   0.368418E-04   0.612544E-04   0.993367E-03   0.191460E+03   0.000000E+00   0.000000E+00   0.191460E+03  -0.382920E+03
   0.996273E+02   0.298330E+01  -0.406538E+01   0.210008E-03   0.368418E-04   0.612544E-04   0.993367E-03   0.191460E+03   0.000000E+00   0.000000E+00   0.191460E+03  -0.382920E+03
   0.996273E+02   0.897159E+00   0.514466E+00   0.210008E-03   0.368418E-04   0.612544E-04   0.127508E-02   0.190609E+03   0.000000E+00   0.000000E+00   0.190609E+03  -0.381218E+03
   0.100668E+03   0.897159E+00   0.514466E+00   0.210008E-03   0.330426E-03   0.612544E-04   0.127508E-02   0.193073E+03   0.000000E+00   0.000000E+00   0.193073E+03  -0.386146E+03
   0.100668E+03   0.897159E+00   0.447476E+01   0.210008E-03   0.330426E-03   0.612544E-04   0.127508E-02   0.192361E+03   0.000000E+00   0.000000E+00   0.192361E+03  -0.384722E+03
   0.100668E+03   0.897159E+00  -0.455826E+01   0.210008E-03   0.330426E-03   0.612544E-04   0.127508E-02   0.192370E+03   0.000000E+00   0.000000E+00   0.192370E+03  -0.384740E+03
   0.100668E+03   0.897159E+00   0.201007E+00   0.210008E-03   0.330426E-03   0.612544E-04   0.127508E-02   0.193079E+03   0.000000E+00   0.000000E+00   0.193079E+03  -0.386158E+03
   0.100668E+03  -0.335233E+00   0.626801E+01   0.210008E-03   0.330426E-03   0.612544E-04   0.127508E-02   0.191216E+03   0.000000E+00   0.000000E+00   0.191216E+03  -0.382432E+03
   0.100668E+03  -0.335233E+00  -0.573597E+01   0.210008E-03   0.330426E-03   0.231805E-03   0.127508E-02   0.191289E+03   0.000000E+00   0.000000E+00   0.191289E+03  -0.382578E+03
   0.100668E+03  -0.335233E+00  -0.473746E+01   0.210008E-03   0.330426E-03   0.231805E-03   0.156347E-02   0.191090E+03   0.000000E+00   0.000000E+00   0.191090E+03  -0.382180E+03
   0.100668E+03  -0.335233E+00  -0.473746E+01   0.210008E-03   0.330426E-03   0.231805E-03   0.183207E-02   0.190482E+03   0.000000E+00   0.000000E+00   0.190482E+03  -0.380964E+03
   0.100668E+03   0.464949E+01   0.500909E+01   0.631564E-03   0.330426E-03   0.231805E-03   0.183207E-02   0.188089E+03   0.000000E+00   0.000000E+00   0.188089E+03  -0.376178E+03
   0.100668E+03   0.464949E+01  -0.251534E+01   0.631564E-03   0.254982E-03   0.187318E-03   0.183207E-02   0.188950E+03   0.000000E+00   0.000000E+00   0.188950E+03  -0.377900E+03
   0.100182E+03   0.464949E+01   0.165979E+01   0.631564E-03   0.254982E-03   0.187318E-03   0.183207E-02   0.188222E+03   0.000000E+00   0.000000E+00   0.188222E+03  -0.376444E+03
   0.100182E+03   0.464949E+01   0.158804E+01   0.631564E-03   0.254982E-03   0.187318E-03   0.207744E-02   0.187568E+03   0.000000E+00   0.000000E+00   0.187568E+03  -0.375136E+03
   0.100182E+03  -0.205447E+01   0.158804E+01   0.631564E-03   0.254982E-03   0.187318E-03   0.207744E-02   0.187062E+03   0.000000E+00   0.000000E+00   0.187062E+03  -0.374124E+03
   0.100182E+03  -0.205447E+01  -0.427077E+01   0.435478E-03   0.254982E-03   0.187318E-03   0.180371E-02   0.188809E+03   0.000000E+00   0.000000E+00   0.188809E+03  -0.377618E+03
   0.100063E+03   0.104652E+01  -0.374190E+01   0.435478E-03   0.565565E-03   0.187318E-03   0.180371E-02   0.189194E+03   0.000000E+00   0.000000E+00   0.189194E+03  -0.378388E+03
   0.100063E+03   0.104652E+01  -0.374190E+01   0.435478E-03   0.565565E-03   0.159258E-04   0.205442E-02   0.188899E+03   0.000000E+00   0.000000E+00   0.188899E+03  -0.377798E+03
   0.100063E+03   0.104652E+01  -0.374190E+01   0.435478E-03   0.565565E-03   0.159258E-04   0.128913E-02   0.190755E+03   0.000000E+00   0.000000E+00   0.190755E+03  -0.381510E+03
   0.100063E+03   0.104652E+01  -0.483884E+01   0.435478E-03   0.565565E-03   0.159258E-04   0.128913E-02   0.190543E+03   0.000000E+00   0.000000E+00   0.190543E+03  -0.381086E+03
   0.100063E+03   0.196434E+01  -0.446840E+01   0.435478E-03   0.565565E-03   0.159258E-04   0.128913E-02   0.190412E+03   0.000000E+00   0.000000E+00   0.190412E+03  -0.380824E+03
   0.100063E+03   0.159718E+01  -0.319553E+01   0.435478E-03   0.639699E-03   0.159258E-04   0.128913E-02   0.190366E+03   0.000000E+00   0.000000E+00   0.190366E+03  -0.380732E+03
   0.100327E+03   0.159718E+01   0.295225E+01   0.435478E-03   0.639699E-03   0.159258E-04   0.128913E-02   0.190531E+03   0.000000E+00   0.000000E+00   0.190531E+03  -0.381062E+03
   0.100327E+03   0.159718E+01   0.295225E+01   0.435478E-03   0.467038E-03   0.159258E-04   0.734991E-03   0.191100E+03   0.000000E+00   0.000000E+00   0.191100E+03  -0.382200E+03
   0.100327E+03   0.159718E+01  -0.483436E+01   0.149553E-03   0.467038E-03   0.159258E-04   0.734991E-03   0.190787E+03   0.000000E+00   0.000000E+00   0.190787E+03  -0.381574E+03
   0.100327E+03   0.159718E+01  -0.257214E+01   0.149553E-03   0.467038E-03   0.159258E-04   0.106670E-02   0.192346E+03   0.000000E+00   0.000000E+00   0.192346E+03  -0.384692E+03
   0.100327E+03   0.159718E+01  -0.257214E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.106670E-02   0.192245E+03   0.000000E+00   0.000000E+00   0.192245E+03  -0.384490E+03
   0.100327E+03   0.326158E+01  -0.257214E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.106670E-02   0.192068E+03   0.000000E+00   0.000000E+00   0.192068E+03  -0.384136E+03
   0.100327E+03   0.326158E+01  -0.282456E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.255762E-02   0.188832E+03   0.000000E+00   0.000000E+00   0.188832E+03  -0.377664E+03
   0.100654E+03   0.450489E+01  -0.282456E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.885831E-03   0.191183E+03   0.000000E+00   0.000000E+00   0.191183E+03  -0.382366E+03
   0.100654E+03   0.216182E+01   0.415850E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.885831E-03   0.191731E+03   0.000000E+00   0.000000E+00   0.191731E+03  -0.383462E+03
   0.100654E+03   0.216182E+01   0.150119E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.885831E-03   0.192274E+03   0.000000E+00   0.000000E+00   0.192274E+03  -0.384548E+03
   0.100654E+03   0.216182E+01   0.150119E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.885831E-03   0.192274E+03   0.000000E+00   0.000000E+00   0.192274E+03  -0.384548E+03
   0.100654E+03   0.216182E+01   0.150119E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.885831E-03   0.192274E+03   0.000000E+00   0.000000E+00   0.192274E+03  -0.384548E+03
   0.100654E+03   0.216182E+01   0.150119E+01   0.149553E-03   0.167946E-03   0.368517E-03   0.885831E-03   0.192274E+03   0.000000E+00   0.000000E+00   0.192274E+03  -0.384548E+03
   0.101220E+03   0.216182E+01   0.941293E+01   0.149553E-03   0.167946E-03   0.270985E-03   0.885831E-03   0.190857E+03   0.000000E+00   0.000000E+00   0.190857E+03  -0.381714E+03
   0.101220E+03   0.216182E+01   0.941293E+01   0.149553E-03   0.167946E-03   0.270985E-03   0.885831E-03   0.190857E+03   0.000000E+00   0.000000E+00   0.190857E+03  -0.381714E+03
   0.101220E+03   0.216182E+01   0.941293E+01   0.685667E-04   0.167946E-03   0.270985E-03   0.885831E-03   0.190914E+03   0.000000E+00   0.000000E+00   0.190914E+03  -0.381828E+03
   0.102430E+03   0.388703E+01   0.924848E+01   0.685667E-04   0.167946E-03   0.270985E-03   0.885831E-03   0.190044E+03   0.000000E+00   0.000000E+00   0.190044E+03  -0.380088E+03
   0.102430E+03   0.388703E+01   0.786745E+01   0.685667E-04   0.167946E-03   0.270985E-03   0.885831E-03   0.190047E+03   0.000000E+00   0.000000E+00   0.190047E+03  -0.380094E+03
   0.102430E+03   0.340214E+01   0.786745E+01   0.685667E-04   0.167946E-03   0.270985E-03   0.885831E-03   0.190243E+03   0.000000E+00   0.000000E+00   0.190243E+03  -0.380486E+03
