a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181077E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.125884E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180066E+03
  0.100000E+03 -0.203505E+01 -0.677110E+01 -0.113787E+02  0.125884E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.179390E+03
  0.100000E+03 -0.304128E+01  0.851433E+00 -0.113787E+02  0.125884E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.179343E+03
  0.100000E+03 -0.304128E+01  0.851433E+00 -0.166582E+02  0.102023E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.179643E+03
  0.100000E+03 -0.337135E+01  0.851433E+00 -0.142027E+02  0.102023E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.179848E+03
  0.100000E+03 -0.337135E+01 -0.255412E+01 -0.340381E+01  0.102023E-02  0.100000E-02  0.100000E-02  0.106237E-02  0.179968E+03
  0.100000E+03 -0.337135E+01 -0.287174E+01 -0.116257E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.181292E+03
  0.100000E+03 -0.337135E+01  0.415998E+01 -0.138870E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.180790E+03
  0.100000E+03 -0.337135E+01 -0.994870E+01 -0.444972E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.180734E+03
  0.100000E+03 -0.337135E+01 -0.164754E+02 -0.189433E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.177317E+03
  0.100000E+03 -0.167939E+01 -0.164754E+02 -0.122316E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.179869E+03
  0.100000E+03 -0.167939E+01 -0.436790E+01 -0.398939E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.182370E+03
  0.100000E+03  0.717065E+01 -0.436790E+01  0.649838E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.106237E-02  0.182252E+03
  0.100000E+03  0.717065E+01 -0.436790E+01 -0.482184E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.180922E+03
  0.100000E+03  0.761776E+01 -0.436790E+01 -0.482184E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.180626E+03
  0.100000E+03 -0.225428E+01  0.638299E+00 -0.482184E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181492E+03
  0.100000E+03 -0.225428E+01 -0.656086E+01 -0.832639E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181561E+03
  0.100000E+03 -0.225428E+01 -0.606529E+01 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181495E+03
  0.100000E+03  0.537132E+01  0.203203E+01 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.180101E+03
  0.100000E+03  0.537132E+01 -0.509506E+00 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.180526E+03
  0.100000E+03  0.456813E+00 -0.382095E+01 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.182121E+03
  0.100000E+03  0.231802E+01 -0.322263E+01 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.140559E-02  0.181943E+03
  0.100000E+03  0.505153E+00 -0.322263E+01 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.181105E+03
  0.100000E+03  0.120183E+01 -0.347572E+01 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.181112E+03
  0.100490E+03  0.120183E+01 -0.142747E+02 -0.111865E+02  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.180536E+03
  0.100490E+03  0.568746E+00 -0.546165E+01 -0.972102E+01  0.463164E-03  0.100000E-02  0.100000E-02  0.179461E-02  0.181655E+03
  0.100490E+03  0.568746E+00 -0.907583E+01 -0.972102E+01  0.120566E-02  0.100000E-02  0.100000E-02  0.179461E-02  0.178515E+03
  0.100312E+03  0.568746E+00 -0.907583E+01 -0.196283E+01  0.325631E-05  0.100000E-02  0.100000E-02  0.179461E-02  0.182089E+03
  0.100312E+03  0.245814E+00 -0.662506E+01  0.923754E-01  0.325631E-05  0.100000E-02  0.100000E-02  0.179461E-02  0.182176E+03
  0.100312E+03  0.245814E+00 -0.852934E+01  0.923754E-01  0.325631E-05  0.100000E-02  0.100000E-02  0.179461E-02  0.181952E+03
  0.100312E+03  0.245814E+00 -0.943196E+01  0.133273E+01  0.325631E-05  0.100000E-02  0.100000E-02  0.156632E-02  0.182215E+03
  0.100312E+03  0.826682E+01 -0.951757E+01  0.126205E+02  0.760377E-04  0.100000E-02  0.100000E-02  0.114441E-02  0.180513E+03
  0.100312E+03  0.826682E+01  0.204000E+01  0.577902E+01  0.760377E-04  0.100000E-02  0.100000E-02  0.114441E-02  0.183205E+03
  0.100312E+03  0.826682E+01 -0.268484E+01  0.105970E+02  0.760377E-04  0.100000E-02  0.419668E-03  0.114441E-02  0.184975E+03
  0.100312E+03  0.826682E+01 -0.268484E+01  0.105976E+02  0.760377E-04  0.100000E-02  0.419668E-03  0.187501E-02  0.183544E+03
  0.100312E+03  0.745145E+01 -0.244843E+01  0.173387E+02  0.608718E-03  0.100000E-02  0.250135E-03  0.187501E-02  0.182451E+03
  0.100312E+03  0.745145E+01  0.107078E+01  0.173387E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.187501E-02  0.183733E+03
  0.100312E+03  0.745145E+01  0.600429E+01  0.173387E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.187501E-02  0.183835E+03
  0.100312E+03  0.745145E+01  0.600429E+01  0.173387E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.105724E-02  0.186020E+03
  0.100312E+03  0.745145E+01  0.600429E+01  0.169639E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.105724E-02  0.186073E+03
  0.100312E+03  0.745145E+01  0.600429E+01  0.169639E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.105724E-02  0.186073E+03
  0.100312E+03  0.745145E+01  0.600429E+01  0.108136E+02  0.608718E-03  0.959230E-03  0.250135E-03  0.105724E-02  0.186253E+03
  0.100312E+03  0.745145E+01  0.283440E+01  0.108136E+02  0.608718E-03  0.675554E-04  0.250135E-03  0.105724E-02  0.189506E+03
  0.100312E+03  0.648755E+01  0.190015E+01  0.108136E+02  0.671482E-04  0.675554E-04  0.250135E-03  0.105724E-02  0.191482E+03
  0.100312E+03  0.648755E+01  0.777738E+01  0.108136E+02  0.114988E-04  0.675554E-04  0.250135E-03  0.105724E-02  0.189288E+03
  0.100312E+03  0.648755E+01  0.777738E+01  0.108136E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.189385E+03
  0.100312E+03  0.657525E+01  0.456087E+01  0.108136E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.190784E+03
  0.100312E+03  0.476049E+01  0.456087E+01  0.107806E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.191186E+03
  0.100312E+03  0.476049E+01  0.456087E+01  0.107806E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.191186E+03
  0.100312E+03  0.476049E+01  0.456087E+01  0.107806E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.191186E+03
  0.100312E+03  0.476049E+01  0.320456E+01  0.107806E+02  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.191562E+03
  0.100312E+03  0.476049E+01  0.320456E+01 -0.487335E+01  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.189092E+03
  0.100312E+03  0.476049E+01  0.121888E+01 -0.269466E+01  0.114988E-04  0.262591E-03  0.250135E-03  0.105724E-02  0.190559E+03
  0.100312E+03  0.476049E+01  0.121888E+01  0.693475E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.105724E-02  0.192293E+03
  0.100312E+03  0.476049E+01  0.461890E+01  0.693475E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.105724E-02  0.191561E+03
  0.100312E+03  0.476049E+01 -0.167747E+01  0.693475E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.143320E-02  0.191620E+03
  0.100312E+03  0.476049E+01 -0.167747E+01  0.693475E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.191972E+03
  0.100312E+03  0.476049E+01 -0.167747E+01  0.693475E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.191972E+03
  0.100312E+03  0.476049E+01 -0.167747E+01  0.103037E+02  0.114988E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.191582E+03
  0.100312E+03  0.625408E+00 -0.300110E+01  0.103037E+02  0.114988E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.189997E+03
  0.100312E+03  0.354168E+01 -0.300110E+01  0.670613E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.192110E+03
  0.100312E+03  0.236121E+01 -0.300110E+01  0.135338E+01  0.114988E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.192635E+03
  0.100312E+03  0.236121E+01 -0.300110E+01  0.119045E+02  0.706948E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.190560E+03
  0.100312E+03  0.236121E+01 -0.154543E+01  0.119045E+02  0.706948E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.190758E+03
  0.100312E+03  0.236121E+01  0.305432E+01  0.106807E+02  0.706948E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.190652E+03
  0.100312E+03  0.236121E+01 -0.396134E+01  0.656869E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.191892E+03
  0.100312E+03  0.236121E+01 -0.396134E+01  0.656869E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.123638E-02  0.191892E+03
  0.100312E+03  0.314275E+01 -0.396134E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.190878E+03
  0.100312E+03  0.314275E+01 -0.195479E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.191112E+03
  0.100312E+03  0.314275E+01 -0.195479E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.191112E+03
  0.100312E+03  0.314275E+01 -0.195479E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.191112E+03
  0.100312E+03  0.276868E+01 -0.195479E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.191181E+03
  0.100312E+03  0.276868E+01  0.133309E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.190887E+03
  0.100312E+03  0.276868E+01  0.133309E+01  0.258819E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.190887E+03
  0.100312E+03  0.276868E+01  0.133309E+01  0.141487E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.190848E+03
  0.100312E+03  0.276868E+01  0.133309E+01  0.285467E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.190889E+03
  0.100312E+03  0.276868E+01  0.133309E+01  0.445232E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.188984E-02  0.190839E+03
  0.100312E+03  0.276868E+01 -0.636794E+01  0.445232E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.931990E-03  0.191299E+03
  0.100312E+03  0.276868E+01 -0.636794E+01  0.278003E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.119476E-02  0.191664E+03
  0.100312E+03  0.276868E+01 -0.118318E+02 -0.799979E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.119476E-02  0.188763E+03
  0.100312E+03  0.276868E+01 -0.118318E+02 -0.162049E+01  0.706948E-04  0.216796E-03  0.250135E-03  0.119476E-02  0.189107E+03
  0.100772E+03  0.276868E+01 -0.433371E+01 -0.162049E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.191662E+03
  0.100772E+03  0.276868E+01  0.650548E+01  0.540458E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.191319E+03
  0.100772E+03  0.276868E+01  0.650548E+01 -0.939481E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.190863E+03
  0.100772E+03  0.276868E+01  0.444128E+01 -0.503166E+00  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.191767E+03
  0.100772E+03  0.276868E+01  0.444128E+01  0.807393E+01  0.396249E-03  0.216796E-03  0.250135E-03  0.119476E-02  0.191754E+03
