a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100000E+03   0.100000E-02   0.100000E+02   0.100000E+02   0.179887E+03
   0.100000E+03   0.100000E-02   0.100000E+02   0.932965E+01   0.179715E+03
   0.100518E+03   0.699914E-03   0.891986E+01   0.938461E+01   0.183463E+03
   0.100512E+03   0.699914E-03   0.891986E+01   0.107285E+02   0.183289E+03
   0.100512E+03   0.699914E-03   0.965683E+01   0.106278E+02   0.183873E+03
   0.100512E+03   0.699914E-03   0.919553E+01   0.997322E+01   0.183880E+03
   0.100637E+03   0.699914E-03   0.919553E+01   0.997322E+01   0.183794E+03
   0.100637E+03   0.676053E-03   0.919553E+01   0.103022E+02   0.183969E+03
   0.100637E+03   0.676053E-03   0.916252E+01   0.110073E+02   0.183459E+03
   0.100637E+03   0.374112E-03   0.839752E+01   0.108414E+02   0.183217E+03
   0.100637E+03   0.374112E-03   0.839752E+01   0.108414E+02   0.183217E+03
   0.100637E+03   0.374112E-03   0.820317E+01   0.121775E+02   0.181074E+03
   0.100637E+03   0.358230E-03   0.842729E+01   0.120661E+02   0.181589E+03
   0.100637E+03   0.358230E-03   0.842729E+01   0.116643E+02   0.182201E+03
   0.100637E+03   0.358230E-03   0.842729E+01   0.116643E+02   0.182201E+03
   0.100637E+03   0.492023E-03   0.107874E+02   0.116643E+02   0.183701E+03
   0.100637E+03   0.492023E-03   0.107874E+02   0.106163E+02   0.184801E+03
   0.100637E+03   0.492023E-03   0.107874E+02   0.102463E+02   0.184986E+03
   0.100637E+03   0.492023E-03   0.933803E+01   0.912322E+01   0.184908E+03
   0.100637E+03   0.492023E-03   0.993915E+01   0.929241E+01   0.185211E+03
   0.100637E+03   0.492023E-03   0.993915E+01   0.929241E+01   0.185211E+03
   0.100637E+03   0.492023E-03   0.110595E+02   0.105032E+02   0.184626E+03
   0.100637E+03   0.492023E-03   0.110753E+02   0.110846E+02   0.184146E+03
   0.100637E+03   0.492023E-03   0.103581E+02   0.109794E+02   0.184776E+03
   0.100637E+03   0.492023E-03   0.113660E+02   0.100889E+02   0.184442E+03
   0.100637E+03   0.492023E-03   0.120951E+02   0.950401E+01   0.183325E+03
   0.100637E+03   0.366380E-03   0.115626E+02   0.103922E+02   0.183596E+03
   0.100637E+03   0.338700E-03   0.115626E+02   0.103095E+02   0.183355E+03
   0.100637E+03   0.169757E-03   0.104075E+02   0.101454E+02   0.181776E+03
   0.100637E+03   0.321059E-03   0.969042E+01   0.835723E+01   0.182974E+03
   0.100637E+03   0.719266E-03   0.934266E+01   0.986460E+01   0.183684E+03
   0.100637E+03   0.719266E-03   0.934266E+01   0.924406E+01   0.183449E+03
   0.100637E+03   0.744045E-03   0.902805E+01   0.924406E+01   0.182899E+03
   0.100037E+03   0.799865E-03   0.106670E+02   0.100829E+02   0.182647E+03
   0.100037E+03   0.652811E-03   0.100936E+02   0.100829E+02   0.184704E+03
   0.100037E+03   0.652811E-03   0.108421E+02   0.986213E+01   0.184325E+03
   0.100037E+03   0.652811E-03   0.108421E+02   0.986213E+01   0.184325E+03
   0.100037E+03   0.407086E-03   0.104778E+02   0.986213E+01   0.185596E+03
   0.100037E+03   0.407086E-03   0.115374E+02   0.862046E+01   0.183629E+03
   0.100037E+03   0.521881E-03   0.100903E+02   0.101320E+02   0.185656E+03
   0.100037E+03   0.666203E-03   0.971754E+01   0.101586E+02   0.184550E+03
   0.100037E+03   0.693733E-03   0.971754E+01   0.883255E+01   0.183629E+03
   0.100037E+03   0.270393E-03   0.911903E+01   0.883255E+01   0.183625E+03
   0.100037E+03   0.270393E-03   0.882709E+01   0.905307E+01   0.183556E+03
   0.100037E+03   0.294872E-03   0.882709E+01   0.905307E+01   0.183854E+03
   0.100037E+03   0.294872E-03   0.101198E+02   0.905307E+01   0.184489E+03
   0.100037E+03   0.294872E-03   0.101198E+02   0.911300E+01   0.184545E+03
   0.100037E+03   0.380862E-03   0.105578E+02   0.986989E+01   0.185435E+03
   0.100037E+03   0.380862E-03   0.101603E+02   0.986989E+01   0.185608E+03
   0.101374E+03   0.380862E-03   0.101603E+02   0.986989E+01   0.182872E+03
   0.101374E+03   0.711905E-03   0.943531E+01   0.986989E+01   0.182840E+03
   0.101374E+03   0.711905E-03   0.973764E+01   0.986989E+01   0.182942E+03
   0.101083E+03   0.711905E-03   0.996371E+01   0.831063E+01   0.181915E+03
   0.101083E+03   0.711905E-03   0.106744E+02   0.811164E+01   0.181180E+03
   0.101083E+03   0.578310E-03   0.106744E+02   0.824422E+01   0.182490E+03
   0.100251E+03   0.578310E-03   0.861149E+01   0.871350E+01   0.183587E+03
   0.100251E+03   0.583238E-03   0.108053E+02   0.890896E+01   0.184402E+03
   0.100251E+03   0.583238E-03   0.108053E+02   0.890896E+01   0.184402E+03
   0.100251E+03   0.583238E-03   0.912902E+01   0.892073E+01   0.184470E+03
   0.100251E+03   0.583238E-03   0.107080E+02   0.934812E+01   0.184869E+03
   0.100251E+03   0.529521E-03   0.100120E+02   0.934812E+01   0.185475E+03
   0.100251E+03   0.529521E-03   0.909421E+01   0.934812E+01   0.185120E+03
   0.100251E+03   0.529521E-03   0.101420E+02   0.104482E+02   0.185472E+03
   0.100251E+03   0.529521E-03   0.102050E+02   0.104482E+02   0.185455E+03
   0.100251E+03   0.529521E-03   0.103818E+02   0.956478E+01   0.185474E+03
   0.100251E+03   0.541342E-03   0.111975E+02   0.969369E+01   0.184812E+03
   0.100251E+03   0.541342E-03   0.976643E+01   0.101814E+02   0.185544E+03
   0.100251E+03   0.541342E-03   0.788538E+01   0.101715E+02   0.182966E+03
   0.100251E+03   0.691532E-03   0.788538E+01   0.107685E+02   0.181394E+03
   0.100251E+03   0.691532E-03   0.788538E+01   0.107685E+02   0.181394E+03
   0.100251E+03   0.691532E-03   0.937327E+01   0.862489E+01   0.183236E+03
   0.100251E+03   0.420221E-03   0.917537E+01   0.998545E+01   0.185435E+03
   0.100251E+03   0.420221E-03   0.913002E+01   0.868849E+01   0.184547E+03
   0.100251E+03   0.291852E-03   0.104130E+02   0.976258E+01   0.184585E+03
   0.100251E+03   0.364112E-03   0.104130E+02   0.100040E+02   0.185307E+03
   0.100251E+03   0.364112E-03   0.104130E+02   0.109466E+02   0.184808E+03
   0.100251E+03   0.364112E-03   0.938762E+01   0.938707E+01   0.185156E+03
   0.100251E+03   0.364112E-03   0.105206E+02   0.938707E+01   0.185113E+03
   0.100216E+03   0.364112E-03   0.102098E+02   0.927044E+01   0.185199E+03
   0.993756E+02   0.364112E-03   0.102098E+02   0.927044E+01   0.184723E+03
   0.993756E+02   0.364112E-03   0.102098E+02   0.927044E+01   0.184723E+03
   0.993756E+02   0.364112E-03   0.101964E+02   0.904507E+01   0.184535E+03
   0.993756E+02   0.341622E-03   0.954803E+01   0.904507E+01   0.184362E+03
   0.993756E+02   0.341622E-03   0.109779E+02   0.909226E+01   0.183940E+03
