               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   
N                 0.120100E+04   0.120100E+04   0.120100E+04   0.120100E+04
Minimum           0.982473E+02   0.367144E-04   0.758159E+01   0.744755E+01
Maximum           0.102401E+03   0.100000E-02   0.136931E+02   0.132052E+02
Range             0.415370E+01   0.963286E-03   0.611151E+01   0.575765E+01
Mean              0.100088E+03   0.478696E-03   0.100804E+02   0.100305E+02
Median            0.100092E+03   0.471456E-03   0.100430E+02   0.100158E+02
Q10%              0.992821E+02   0.302742E-03   0.887989E+01   0.872810E+01
Q25%              0.996730E+02   0.376145E-03   0.945221E+01   0.929383E+01
Q75%              0.100568E+03   0.561809E-03   0.107215E+02   0.106763E+02
Q90%              0.100845E+03   0.680272E-03   0.112616E+02   0.111748E+02
St.Dev.           0.640070E+00   0.145193E-03   0.930458E+00   0.992426E+00
Variance          0.409689E+00   0.210811E-07   0.865752E+00   0.984909E+00
CV                0.639508E-02   0.303310E+00   0.923037E-01   0.989412E-01
Skewness         -0.702175E-02   0.199014E+00   0.110404E+00   0.238656E+00
Kurtosis          0.161944E+00   0.543984E+00   0.478620E-01   0.665150E-01
MaxPost           0.100026E+03   0.443309E-03   0.966112E+01   0.960403E+01
