Event	Reach	x	t	Y_Z	Y_Q	Y_V	Yu_Z	Yu_Q	Yu_V
1	1	0.06	3420	0.112546100885235	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	0.65	3420	0.111932500885235	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	1.65	3420	0.11104583727793	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	3.65	3420	0.108083359589069	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	5.65	3420	0.10606103571843	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	7.65	3420	0.104516025467805	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	9.65	3420	0.102142037307596	-9999	-9999	0.000918152410034431	-9999	-9999
1	1	11.65	3420	0.100660291483	-9999	-9999	0.000918152410034431	-9999	-9999
2	1	0.06	3420	0.0782550233995833	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	0.65	3420	0.0776414233995833	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	1.65	3420	0.0766031082054995	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	3.65	3420	0.0738700246988197	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	5.65	3420	0.0716776693359027	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	7.65	3420	0.0698071952405972	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	9.65	3420	0.0672428149450282	-9999	-9999	0.00055324806411305	-9999	-9999
2	1	11.65	3420	0.0650094105104307	-9999	-9999	0.00055324806411305	-9999	-9999
3	1	0.06	3420	0.0572458507621955	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	0.65	3420	0.0566322507621955	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	1.65	3420	0.0560821740025561	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	3.65	3420	0.0539268526715562	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	5.65	3420	0.051590227047208	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	7.65	3420	0.0499853766811536	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	9.65	3420	0.0476208762398479	-9999	-9999	0.000458741988703076	-9999	-9999
3	1	11.65	3420	0.0456140871017645	-9999	-9999	0.000458741988703076	-9999	-9999
4	1	0.06	3420	0.0435691673674863	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	0.65	3420	0.0429555673674863	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	1.65	3420	0.0422573731960006	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	3.65	3420	0.0402545442625832	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	5.65	3420	0.0379332925006376	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	7.65	3420	0.0363894631862227	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	9.65	3420	0.0339300786940976	-9999	-9999	0.000438065899283914	-9999	-9999
4	1	11.65	3420	0.032020538345	-9999	-9999	0.000438065899283914	-9999	-9999
