a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100000E+03   0.000000E+00   0.100000E-02   0.100000E+02   0.100000E+02   0.179887E+03
   0.100000E+03   0.000000E+00   0.100000E-02   0.975932E+01   0.100000E+02   0.179881E+03
   0.100000E+03   0.153586E+01   0.100000E-02   0.108266E+02   0.979649E+01   0.179741E+03
   0.100000E+03   0.153586E+01   0.512607E-03   0.997896E+01   0.979649E+01   0.186169E+03
   0.100000E+03   0.153586E+01   0.512607E-03   0.982317E+01   0.987781E+01   0.186174E+03
   0.100000E+03   0.667199E+01   0.512607E-03   0.982317E+01   0.101844E+02   0.184083E+03
   0.100000E+03   0.136596E+01   0.512607E-03   0.105136E+02   0.107754E+02   0.185613E+03
   0.996699E+02   0.136596E+01   0.635379E-03   0.990970E+01   0.100104E+02   0.185080E+03
   0.996699E+02   0.136596E+01   0.350048E-03   0.956915E+01   0.110903E+02   0.185135E+03
   0.996699E+02   0.136596E+01   0.252875E-03   0.109052E+02   0.110903E+02   0.183788E+03
   0.996699E+02   0.360719E+01   0.252875E-03   0.109052E+02   0.110903E+02   0.183392E+03
   0.996699E+02  -0.410937E+00   0.313489E-03   0.905863E+01   0.113100E+02   0.183450E+03
   0.996699E+02  -0.410937E+00   0.313489E-03   0.101713E+02   0.113100E+02   0.183809E+03
   0.988418E+02  -0.410937E+00   0.313489E-03   0.101713E+02   0.102236E+02   0.182688E+03
   0.988418E+02   0.290094E+01   0.313489E-03   0.959005E+01   0.886734E+01   0.183083E+03
   0.988418E+02   0.290094E+01   0.313489E-03   0.959005E+01   0.932467E+01   0.183511E+03
   0.988418E+02   0.290094E+01   0.313489E-03   0.998691E+01   0.932467E+01   0.183558E+03
   0.988418E+02   0.290094E+01   0.313489E-03   0.998691E+01   0.101489E+02   0.183706E+03
   0.988418E+02   0.305876E+01   0.604228E-03   0.998691E+01   0.973940E+01   0.184014E+03
   0.988418E+02   0.200668E+01   0.604228E-03   0.103571E+02   0.107474E+02   0.183607E+03
   0.988418E+02   0.200668E+01   0.604228E-03   0.110862E+02   0.101625E+02   0.183372E+03
   0.988418E+02   0.200668E+01   0.337957E-03   0.110862E+02   0.104163E+02   0.183288E+03
   0.988418E+02   0.200668E+01   0.296587E-03   0.119550E+02   0.100784E+02   0.181868E+03
   0.988418E+02   0.200668E+01   0.296587E-03   0.119550E+02   0.974963E+01   0.181872E+03
   0.988418E+02   0.200668E+01   0.296587E-03   0.112350E+02   0.974963E+01   0.182850E+03
   0.988418E+02   0.333395E+01   0.547513E-03   0.108721E+02   0.974963E+01   0.183855E+03
   0.988418E+02   0.333395E+01   0.547513E-03   0.989920E+01   0.968303E+01   0.184281E+03
   0.999582E+02   0.333395E+01   0.547513E-03   0.107089E+02   0.938892E+01   0.185470E+03
   0.999582E+02   0.333395E+01   0.547513E-03   0.114905E+02   0.100694E+02   0.184795E+03
   0.999582E+02   0.333395E+01   0.547513E-03   0.114905E+02   0.100694E+02   0.184795E+03
   0.999582E+02   0.333395E+01   0.381940E-03   0.101807E+02   0.103300E+02   0.185857E+03
   0.999582E+02   0.333395E+01   0.381940E-03   0.103854E+02   0.103959E+02   0.185752E+03
   0.999582E+02   0.507493E+01   0.381940E-03   0.879626E+01   0.941816E+01   0.184180E+03
   0.999582E+02   0.507493E+01   0.381940E-03   0.879626E+01   0.809211E+01   0.182271E+03
   0.999582E+02   0.507493E+01   0.381940E-03   0.879626E+01   0.831667E+01   0.182786E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.950533E+01   0.837053E+01   0.184813E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.950533E+01   0.966322E+01   0.186193E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.950533E+01   0.972315E+01   0.186206E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.102622E+02   0.972315E+01   0.186225E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.102622E+02   0.972315E+01   0.186225E+03
   0.999582E+02   0.242096E+01   0.473290E-03   0.102622E+02   0.866912E+01   0.185376E+03
   0.999582E+02   0.161458E-01   0.473290E-03   0.954589E+01   0.866912E+01   0.184876E+03
   0.100699E+03   0.161458E-01   0.473290E-03   0.880195E+01   0.866912E+01   0.183759E+03
   0.100699E+03   0.246761E+01   0.473290E-03   0.860296E+01   0.866912E+01   0.183868E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.850127E+01   0.891336E+01   0.183932E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.851211E+01   0.111072E+02   0.183842E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.878834E+01   0.976837E+01   0.184926E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.909099E+01   0.998618E+01   0.185277E+03
   0.999393E+02   0.246761E+01   0.533555E-03   0.951838E+01   0.878684E+01   0.185317E+03
   0.999393E+02   0.246761E+01   0.533555E-03   0.951838E+01   0.914817E+01   0.185716E+03
   0.999393E+02  -0.225723E+01   0.533555E-03   0.951838E+01   0.902050E+01   0.183610E+03
   0.999393E+02  -0.225723E+01   0.533555E-03   0.957564E+01   0.902050E+01   0.183631E+03
   0.999393E+02   0.341592E+01   0.606615E-03   0.957564E+01   0.893081E+01   0.184892E+03
   0.100152E+03   0.341592E+01   0.659883E-03   0.878441E+01   0.893081E+01   0.183747E+03
   0.100152E+03   0.341592E+01   0.659883E-03   0.115280E+02   0.893081E+01   0.183304E+03
   0.100152E+03   0.341592E+01   0.235856E-03   0.106755E+02   0.897221E+01   0.183471E+03
   0.100152E+03   0.341592E+01   0.665972E-03   0.102480E+02   0.930100E+01   0.184675E+03
   0.100152E+03   0.341592E+01   0.589712E-03   0.932761E+01   0.909406E+01   0.185087E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.932761E+01   0.100109E+02   0.185391E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.104939E+02   0.100109E+02   0.185400E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.107134E+02   0.100109E+02   0.185258E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.110658E+02   0.100109E+02   0.184950E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.106823E+02   0.100109E+02   0.185280E+03
   0.100152E+03   0.337715E+01   0.596310E-03   0.106823E+02   0.942951E+01   0.185175E+03
   0.100152E+03   0.337715E+01   0.353599E-03   0.112092E+02   0.942951E+01   0.184819E+03
   0.100152E+03   0.337715E+01   0.647460E-03   0.112092E+02   0.941604E+01   0.184230E+03
   0.100152E+03   0.337715E+01   0.624970E-03   0.105609E+02   0.941604E+01   0.185006E+03
   0.100152E+03   0.337715E+01   0.624970E-03   0.105609E+02   0.941604E+01   0.185006E+03
   0.100152E+03   0.337715E+01   0.555306E-03   0.105609E+02   0.101822E+02   0.185615E+03
   0.100152E+03   0.337715E+01   0.555306E-03   0.115791E+02   0.996258E+01   0.184634E+03
   0.100152E+03   0.334421E+01   0.555306E-03   0.101968E+02   0.996258E+01   0.185825E+03
   0.100152E+03   0.334421E+01   0.500998E-03   0.101968E+02   0.106916E+02   0.185762E+03
   0.100152E+03   0.334421E+01   0.500998E-03   0.864378E+01   0.106669E+02   0.184902E+03
   0.100152E+03   0.334421E+01   0.272493E-03   0.927370E+01   0.102707E+02   0.184535E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.102707E+02   0.185055E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.102707E+02   0.185055E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.112137E+02   0.184347E+03
   0.100152E+03   0.222201E-02   0.381427E-03   0.959111E+01   0.112137E+02   0.184788E+03
   0.100152E+03   0.372688E+01   0.381427E-03   0.959111E+01   0.112137E+02   0.184944E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.105652E+02   0.107294E+02   0.185275E+03
