Spanwise profiles of the dimensionless mean streamwise velocity at x* from 2.2 to 16.8 positions for case Qf = 8 L/s and z* = 0.94,,
x* (m),y (mm),Ux (cm/s)
4.2,10,21.865
4.2,20,23.3779
4.2,50,24.5113
4.2,100,26.2508
4.2,200,25.1895
4.2,300,23.6826
4.2,400,23.1231
4.2,500,24.7793
4.2,600,24.6729
4.2,700,25.1293
4.2,800,26.2985
4.2,850,27.892
4.2,900,31.116
4.2,920,32.8272
4.2,940,35.2641
4.2,960,37.9096
4.2,980,42.6687
4.2,1000,47.5749
4.2,1020,53.021
4.2,1040,57.4695
4.2,1060,61.5755
4.2,1080,64.5197
4.2,1100,67.03
4.2,1150,70.5873
4.2,1200,70.5187
4.2,1250,71.2321
4.2,1300,70.2957
4.2,1350,71.548
4.2,1400,72.441
4.2,1450,70.4165
4.2,1500,72.0596
2.2,10,25.9605
2.2,20,26.9513
2.2,50,25.4994
2.2,100,25.3159
2.2,200,NaN
2.2,300,25.5257
2.2,400,19.4064
2.2,500,19.6196
2.2,600,22.8825
2.2,700,25.7479
2.2,800,25.5572
2.2,850,25.6755
2.2,900,27.0173
2.2,920,28.8736
2.2,940,31.2712
2.2,960,34.1648
2.2,980,38.8435
2.2,1000,46.5534
2.2,1020,53.9752
2.2,1040,61.0369
2.2,1060,64.5989
2.2,1080,66.6413
2.2,1100,67.1948
2.2,1150,64.8825
2.2,1200,62.5545
2.2,1250,64.4789
2.2,1300,61.0268
2.2,1350,64.39
2.2,1400,63.8806
2.2,1450,60.3574
2.2,1500,63.1052
6.2,10,14.69
6.2,20,14.467
6.2,50,21.9069
6.2,100,25.2096
6.2,200,25.2123
6.2,300,23.1656
6.2,400,24.0824
6.2,500,23.2152
6.2,600,23.3064
6.2,700,23.8589
6.2,800,26.8108
6.2,850,27.8965
6.2,900,31.7336
6.2,920,33.5935
6.2,940,35.7786
6.2,960,38.4434
6.2,980,42.0709
6.2,1000,47.511
6.2,1020,52.7861
6.2,1040,57.2324
6.2,1060,60.8116
6.2,1080,63.7131
6.2,1100,66.2621
6.2,1150,69.9906
6.2,1200,72.4907
6.2,1250,73.6674
6.2,1300,74.2728
6.2,1350,73.7783
6.2,1400,74.0276
6.2,1450,73.3851
6.2,1500,73.5091
8.2,10,12.6919
8.2,20,13.4234
8.2,50,16.6692
8.2,100,21.6094
8.2,200,25.572
8.2,300,24.8382
8.2,400,22.4063
8.2,500,22.679
8.2,600,23.4251
8.2,700,23.1621
8.2,800,26.7302
8.2,850,28.9216
8.2,900,32.397
8.2,920,33.8684
8.2,940,36.2122
8.2,960,38.816
8.2,980,42.7433
8.2,1000,47.3463
8.2,1020,51.3643
8.2,1040,55.0118
8.2,1060,58.5253
8.2,1080,61.5279
8.2,1100,64.2139
8.2,1150,68.9916
8.2,1200,72.6393
8.2,1250,75.2899
8.2,1300,76.869
8.2,1350,76.9611
8.2,1400,77.1306
8.2,1450,76.2296
8.2,1500,75.2803
10.2,10,7.3016
10.2,20,10.6664
10.2,50,16.4248
10.2,100,20.5861
10.2,200,22.2902
10.2,300,21.8208
10.2,400,17.3173
10.2,500,19.6057
10.2,600,21.4745
10.2,700,21.7405
10.2,800,26.8499
10.2,850,30.5916
10.2,900,34.2794
10.2,920,36.2379
10.2,940,37.1641
10.2,960,40.4158
