x (m);0.06;0.65;1.65;3.65;5.65;7.65;9.65;11.65;15.65
U1 (cm/s);38.733895;41.0834;41.319885;40.8993904761905;40.4541541666667;39.7648944444444;40.2058833333333;40.5606333333333;40.1027705882353
U2 (cm/s);41.73905;41.72847;41.111555;41.03985;40.5930571428571;40.1303333333333;40.4608117647059;40.9941625;40.4521294117647
Us (cm/s);3.005155;0.645070000000004;-0.208330000000004;0.140459523809511;0.138902976190487;0.365438888888882;0.254928431372548;0.433529166666659;0.349358823529407
Uc (cm/s);40.2364725;41.405935;41.21572;40.9696202380952;40.5236056547619;39.9476138888889;40.3333475490196;40.7773979166667;40.27745
Ui (cm/s);ND;ND;ND;ND;ND;ND;ND;ND;ND
yc (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
yi (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
lambda;0.037343668732392;0.00778958378792804;-0.00252731239439713;0.00171419118597182;0.00171385262917941;0.00457397643205075;0.00316026869655088;0.0053158022435937;0.00433690344757931
dU/dy max (s-1);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v/h;ND;ND;ND;ND;ND;ND;ND;ND;ND
h / cf (m);8.13829331569939;8.19060216411848;8.30392764562569;8.27466584032643;8.19151840105029;8.28333442726229;8.23026420135141;8.26802616765353;8.31245099259951
h1 (mm);40.2670626715291;40.2670626715291;40.0495938104742;40.7065445443621;40.3662388404445;40.5011908900295;40.3145603933061;40.5970214018616;40.4727140646135
h2 (mm);40.0211188528619;40.0211188528619;41.218434194638;40.4108407987503;40.2378952539715;41.0532424722778;40.6708720863897;40.5348328016674;41.1972184956113
h (mm);40.1440907621955;40.1440907621955;40.6340140025561;40.5586926715562;40.302067047208;40.7772166811536;40.4927162398479;40.5659271017645;40.8349662801124
cf1;0.00496953516286214;0.00490626946442188;0.00490592086993065;0.00489950730374376;0.00492009888421367;0.00493492806029157;0.00492804670664076;0.00491118762639593;0.00492655377884278
cf2;0.00489594626055977;0.00489620658259194;0.0048807766391598;0.00490359374086742;0.00491985143367625;0.00491067627676062;0.00491190867005272;0.00490153581670781;0.00489845843872514
cf;0.00493274071171095;0.00490123802350691;0.00489334875454522;0.00490155052230559;0.00491997515894496;0.00492280216852609;0.00491997768834674;0.00490636172155187;0.00491250610878396
S;ND;ND;ND;ND;ND;ND;ND;ND;ND
Max V/Uc (%);2.88874279321486;1.73486829589663;1.17051842576213;0.573310844284549;0.457299117454021;0.296386037343789;0.335088841829739;0.306999758129713;0.300113188970326
Froude1;0.616285134137293;0.653667509549868;0.659212664996218;0.647217442623592;0.642864551419386;0.630857736828549;0.639328610929512;0.642721959822457;0.636441821131165
Froude2;0.66613682613734;0.665967974004373;0.646522517293716;0.651811949162039;0.646099832648717;0.632360204555737;0.640557832040942;0.650089754624295;0.636316136594025
Re1 ;15597.0017747743;16543.078425595;16548.4461054551;16648.7286025631;16329.8204917983;16105.2558061632;16208.8251180788;16466.4089950639;16230.6796721644
Re2;16704.4348085555;16700.2005741808;16945.5392440674;16584.5484475459;16333.7918135277;16474.8030482667;16455.7649979384;16616.9152278188;16665.1521398921
number of measuring points across the channel;62;62;62;62;62;37;37;37;37
