x(m)	h2(mm)
0.504	97.81808418
0.604	93.43753315
0.704	95.41201734
0.804	96.6039884
0.904	94.70473476
1.004	93.67233163
1.104	99.16756696
1.204	94.99843726
1.304	94.32230377
1.404	100.0375376
1.504	95.77534668
1.604	94.61482032
1.704	100.0226547
1.804	94.99135303
1.904	93.41455166
2.004	97.3350614
2.104	95.49840093
2.204	90.99888802
2.304	94.34153111
2.404	95.90618471
2.504	92.20497765
2.604	93.82970682
2.704	96.11117681
2.804	93.88696428
2.904	93.0424621
3.004	95.98152861
3.104	94.95563694
3.204	92.80114389
3.304	95.07717035
3.404	95.93242236
3.504	94.82428508
3.604	94.09664077
3.704	94.94572455
3.804	95.13768455
3.904	93.20207801
4.004	93.08076061
4.104	95.34037145
4.204	93.85957569
4.304	91.86957726
4.404	94.3739387
4.504	94.82568049
4.604	91.15317011
4.704	93.76450182
4.804	96.2146469
4.904	92.95633622
5.004	91.57885226
5.104	94.18447426
5.204	94.22551773
5.304	90.93031486
5.404	92.98061635
5.504	96.50632504
5.604	94.74697441
5.704	92.53518022
5.804	95.91526224
5.904	96.8876712
6.004	93.91377368
6.104	94.95753435
6.204	96.78722029
6.304	95.20639157
6.404	92.76842112
6.504	95.56325883
6.604	96.15012777
6.704	93.04703589
6.804	92.83374143
6.904	95.85323121
7.004	94.98705863
7.104	93.18583091
7.204	94.73148309
7.304	97.09622691
7.404	94.55268001
7.504	93.77364089
7.604	96.91185132
7.704	96.76445344
7.804	93.37250507
7.904	94.69325201
8.004	97.19922072
8.104	94.92836977
8.204	92.84808054
8.304	96.23608833
8.404	95.73586673
8.504	92.34642055
8.604	92.8181325
8.704	96.18788602
8.804	93.32525471
8.904	93.01241847
9.004	95.86045641
9.104	95.72840716
9.204	93.70309458
9.304	94.45640846
9.404	96.39442546
9.504	94.76684132
9.604	94.05455793
9.704	95.77680715
9.804	95.7000747
9.904	94.36943326
10.004	95.43471642
10.104	97.62332479
10.204	96.06641513
10.304	95.22706278
10.404	97.65497232
10.504	97.9672058
10.604	96.60499007
10.704	96.55670169
10.804	97.49453844
10.904	95.60843027
11.004	95.77797026
11.104	97.08835221
11.204	96.04084232
11.304	95.45285347
11.404	96.43488273
11.504	96.51664363
11.604	95.17196177
11.704	94.72376784
11.804	96.43315115
11.904	95.96083855
12.004	94.93770734
12.104	95.2063368
12.204	96.33155208
12.304	95.01631195
12.404	94.60483637
12.504	96.28475675
12.604	95.5766801
12.704	94.47617776
12.804	94.61319013
12.904	96.07066876
13.004	96.55981814
13.104	96.22784399
13.204	96.67466449
13.304	96.52461825
13.404	96.66720206
13.504	96.88085974
13.604	97.1911722
13.704	95.88358228
13.804	95.40153319
13.904	95.36816563
14.004	95.71051875
14.104	95.6348697
14.204	94.7555676
14.304	95.42184967
14.404	96.07361463
14.504	95.8540479
14.604	96.66147878
14.704	97.14960008
14.804	97.02235012
14.904	97.31641611
15.004	96.78977664
15.104	97.51812887
15.204	96.83046793
15.304	97.12719098
15.404	97.21935749
15.504	96.67077144
15.604	96.61597787
15.704	96.32471268
15.804	96.23240461
15.904	96.28730551
16.004	96.20736321
16.104	96.77393587
16.204	96.50277288
16.304	95.9038232
16.404	96.13781557
16.504	96.02173055
