Station;Fuseau;Chronique;Unite
LAGNIEU;UTC+00;DEB;m3/s
DateHeure;Valeur;Qualite;Min;Max
08/12/2010 00:00:00;1278.919;v;;
08/12/2010 01:00:00;1279.249;v;;
08/12/2010 02:00:00;1285.341;v;;
08/12/2010 03:00:00;1299.682;v;;
08/12/2010 04:00:00;1308.009;v;;
08/12/2010 05:00:00;1313.035;v;;
08/12/2010 06:00:00;1332.578;v;;
08/12/2010 07:00:00;1343.028;v;;
08/12/2010 08:00:00;1349.598;v;;
08/12/2010 09:00:00;1350.836;v;;
08/12/2010 10:00:00;1345.987;v;;
08/12/2010 11:00:00;1336.248;v;;
08/12/2010 12:00:00;1321.389;v;;
08/12/2010 13:00:00;1293.529;v;;
08/12/2010 14:00:00;1242.197;v;;
08/12/2010 15:00:00;1182.515;v;;
08/12/2010 16:00:00;1151.515;v;;
08/12/2010 17:00:00;1143.991;v;;
08/12/2010 18:00:00;1154.000;v;;
08/12/2010 19:00:00;1180.204;v;;
08/12/2010 20:00:00;1201.901;v;;
08/12/2010 21:00:00;1210.652;v;;
08/12/2010 22:00:00;1220.828;v;;
08/12/2010 23:00:00;1222.877;v;;
09/12/2010 00:00:00;1205.538;v;;
