<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"2000-12-31 00:48:00";16;125480;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 01:24:00";16;133023;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 02:33:00";16;138869;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 03:36:00";16;136794;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 06:39:00";16;104640;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 08:00:00";16;99780;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 11:30:00";16;97420;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 13:30:00";16;98947;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 17:45:00";16;96031;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 19:51:00";16;96725;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 21:27:00";16;106722;20;10;0;<FLG>
V2942010;V294201001;;Q;"2000-12-31 22:30:00";16;112280;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 02:00:00";16;114543;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 03:48:00";16;112280;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 04:09:00";16;109451;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 05:06:00";16;99780;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 06:18:00";16;92005;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 08:18:00";16;73399;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 09:12:00";16;69437;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 13:45:00";16;63357;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-01 17:00:00";16;55252;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 03:00:00";16;53451;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 03:39:00";16;56603;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 04:48:00";16;68761;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 05:42:00";16;74788;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 10:00:00";16;84923;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 12:42:00";16;94226;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 13:06:00";16;98808;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 13:39:00";16;110960;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 15:12:00";16;179114;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 15:45:00";16;199984;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 16:48:00";16;232449;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 17:42:00";16;255994;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 19:24:00";16;282017;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-02 21:30:00";16;290954;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 00:15:00";16;295160;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 02:15:00";16;292531;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 05:30:00";16;269663;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 11:00:00";16;255731;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 14:15:00";16;236665;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 17:00:00";16;233081;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 20:15:00";16;233714;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 22:33:00";16;229708;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-03 23:21:00";16;222962;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 01:36:00";16;183119;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 03:12:00";16;172246;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 12:00:00";16;163949;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 13:06:00";16;159423;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 15:21:00";16;138680;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 18:00:00";16;135663;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 21:45:00";16;136794;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-04 23:42:00";16;153954;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-05 07:12:00";16;169040;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-05 07:45:00";16;173843;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-05 09:15:00";16;199773;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-05 10:12:00";16;207573;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-05 13:15:00";16;213476;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-05 23:45:00";16;221065;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 03:06:00";16;230341;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 05:15:00";16;255731;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 09:36:00";16;289903;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 11:00:00";16;314611;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 16:03:00";16;395908;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 17:30:00";16;439335;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 19:27:00";16;521296;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 20:18:00";16;549432;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 21:36:00";16;576039;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-06 23:12:00";16;591636;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 02:42:00";16;601422;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 06:00:00";16;593471;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 07:48:00";16;579097;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 08:42:00";16;562583;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 11:06:00";16;537199;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 13:06:00";16;504476;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 15:09:00";16;484291;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 16:18:00";16;461660;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 17:42:00";16;420068;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 18:24:00";16;406612;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 21:21:00";16;369913;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-07 23:15:00";16;354316;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-08 02:15:00";16;339320;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-08 04:21:00";16;316189;20;10;0;<FLG>
