<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2712010;V271201001;;Q;"2023-01-01 02:57:30";16;219921;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 11:55:00";16;213329;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 14:07:30";16;204785;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 15:20:00";16;188185;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 17:30:00";16;180374;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 21:15:00";16;176712;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 22:22:30";16;178909;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 23:45:00";16;176468;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-01 23:57:30";16;177932;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 00:17:30";16;173782;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 00:32:30";16;167924;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 00:45:00";16;167679;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 01:05:00";16;171097;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 01:42:30";16;185988;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 01:57:30";16;187453;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 02:24:59";16;182571;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 02:32:30";16;183303;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 03:07:30";16;178909;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 03:40:00";16;177444;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 04:25:00";16;178665;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 05:10:00";16;175979;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 06:25:00";16;177688;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 07:42:30";16;175979;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 09:05:00";16;177932;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 10:27:30";16;185988;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 11:10:00";16;202588;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 11:40:00";16;207959;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 12:02:30";16;210644;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 13:10:00";16;211621;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 13:39:59";16;210400;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 14:52:30";16;199659;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 15:17:30";16;194044;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 16:02:30";16;177688;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 16:30:00";16;172562;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 16:57:30";16;170121;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-02 19:57:30";16;168900;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 02:27:30";16;168900;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 06:15:00";16;172074;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 06:55:00";16;187941;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 07:55:00";16;205762;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 08:12:30";16;208447;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 09:25:00";16;211865;20;10;0;<FLG>
V2712010;V271201001;;Q;"2023-01-03 10:15:00";16;210888;20;10;0;<FLG>
