pk;Cote
61900;184,98
61820;183,88
61400;186,83
61000;186,53
60680;185,53
60370;185,33
60000;185,99
59500;185,88
59000;187,13
58520;189,11
58000;190,63
57600;189,945
55950;189,489
55900;189,745
55500;187,9204
55050;188,8144
55000;189,6276
54700;190,5771
54600;189,4358
54500;189,0346
54200;189,1493
53500;187,6951
53000;187,2376
52500;187,4836
52000;186,895
51500;188,48
50500;184,44
50450;184,63
50400;183,65
50000;186,661
49500;186
49000;184,805
48500;186,37
48000;185,48
47500;183,95
47000;185,17
46500;183,42
46000;186,04
45500;183,19
45120;185,15
45100;185,26
44480;186,28
44460;186,19
44100;183,72
44050;183,63
44000;182,69
43500;185,6
43000;185,11
42000;185,11
41500;185,16
41170;184,516
41050;184,24
41000;184,13
40500;184,57
40050;183,99
40000;183,94
39550;184,57
39300;184,5617
39000;184,55
38550;185,23
38500;185,5109
38250;182,7215
38000;182,9493
37750;184,0689
37500;177,8797
37250;183,0098
37000;184,0859
36750;182,3502
36500;181,1559
36250;183,3878
36000;181,6831
35750;183,9512
35500;182,8927
35250;180,8436
35000;181,6365
34750;182,0198
34500;181,0773
34250;180,9557
34000;181,9248
33500;180,2262
33250;181,1572
33000;179,7932
32750;181,2083
32500;179,6649
32250;180,4809
32000;179,5768
31750;180,0325
31500;179,3384
31250;177,2052
31000;177,1836
30750;178,4777
30500;177,0696
30250;175,7681
30000;179,7844
29750;179,8864
29500;178,3599
29250;179,1303
29000;176,4418
28500;178,12
28000;175,14
27500;177,98
27000;176,95
26750;175,7
