Date;Heure;Ain;Lagnieu
08/10/2008;00:00:00;115,217;308,37
08/10/2008;01:00:00;113,834;284,46
08/10/2008;02:00:00;115,098;254,959
08/10/2008;03:00:00;115,976;244,473
08/10/2008;04:00:00;117,251;244,067
08/10/2008;05:00:00;116,014;243,898
08/10/2008;06:00:00;115,186;242,928
08/10/2008;07:00:00;116,074;241,469
08/10/2008;08:00:00;120,088;238,184
08/10/2008;09:00:00;123,524;246,101
08/10/2008;10:00:00;127,326;274,818
08/10/2008;11:00:00;133,889;299,117
08/10/2008;12:00:00;139,763;307,954
08/10/2008;13:00:00;145,457;306,881
08/10/2008;14:00:00;143,3;299,803
08/10/2008;15:00:00;140,608;297,691
08/10/2008;16:00:00;139,503;297,896
08/10/2008;17:00:00;133,58;298,096
08/10/2008;18:00:00;129,064;296,788
08/10/2008;19:00:00;122,82;295,499
08/10/2008;20:00:00;112,694;289,977
08/10/2008;21:00:00;101,555;276,858
08/10/2008;22:00:00;94,76;237,166
08/10/2008;23:00:00;95,616;203,264
